solver,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Llama3-1B,Llama3-3B,Llama3-8B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B
Qwen3-0.6B,2.102473,2.473498,1.325088,4.798587,1.784452,1.353357,7.929329,1.395760,1.692580,2.742049,1.745583,1.293286
Qwen3-1.7B,1.725490,1.854342,1.047619,4.151261,1.316527,1.204482,6.820728,1.047619,1.285714,2.274510,1.120448,1.016807
Qwen3-4B,1.560000,1.785882,1.075294,3.816471,1.360000,1.150588,6.905882,1.054118,1.235294,1.995294,1.131765,1.051765
Qwen2.5-0.5B,6.074205,9.098940,9.535925,3.432273,2.097762,1.531213,8.070671,4.481743,6.943463,9.094229,9.481743,9.361602
Qwen2.5-1.5B,4.143503,7.670056,8.479096,3.413559,2.110734,1.309605,7.928814,3.502825,5.164972,7.445198,8.041808,8.166102
Qwen2.5-3B,3.036442,6.169346,7.325831,3.430868,2.033226,1.206860,7.400857,2.628081,3.640943,6.322615,6.783494,6.853162
Llama3-1B,7.224777,9.150702,9.203065,3.505747,2.787995,3.030651,4.845466,4.118774,6.199234,9.446999,9.375479,9.177522
Llama3-3B,5.640845,7.892019,7.731221,2.642019,2.157277,2.003521,6.334507,3.436620,4.333333,8.436620,8.186620,7.650235
Llama3-8B,5.198288,7.747504,7.921541,3.011412,2.567760,1.808845,8.228245,4.325250,4.838802,8.312411,7.968616,7.644793
DeepSeek-1.5B,1.330808,1.128788,1.075758,3.883838,1.739899,1.164141,8.191919,1.378788,1.237374,1.896465,1.116162,1.080808
DeepSeek-7B,1.186715,1.032316,1.008977,3.394973,1.556553,1.138241,8.222621,1.166966,1.211849,1.766607,1.059246,1.102334
DeepSeek-14B,1.281145,1.119529,1.037037,3.346801,1.636364,1.085859,8.139731,1.259259,1.143098,1.717172,1.063973,1.025253
