solver,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Llama3-1B,Llama3-3B,Llama3-8B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B
Qwen3-0.6B,1.173582,2.441152,3.199831,2.709568,2.182896,1.250635,7.939881,1.910246,2.005080,1.563082,1.320068,1.218459
Qwen3-1.7B,1.187919,2.518456,3.000000,4.333054,2.045302,1.256711,7.781040,1.558725,1.416107,1.640940,1.331376,1.135906
Qwen3-4B,1.227869,2.504098,2.922951,4.440164,1.951639,1.201639,7.398361,1.481967,1.310656,1.632787,1.271311,1.113115
Qwen2.5-0.5B,2.074627,3.106965,5.134328,6.641791,4.154229,2.166667,8.681592,5.718905,6.353234,2.417910,2.868159,4.089552
Qwen2.5-1.5B,1.469565,1.997101,3.292754,6.742029,4.211594,1.736232,9.040580,4.394203,4.034783,2.144928,1.797101,2.188406
Qwen2.5-3B,1.264271,1.346723,1.788584,6.382664,3.226216,1.308668,8.653277,2.720930,2.164905,1.674419,1.295983,1.456660
Llama3-1B,1.988806,2.895522,4.708955,7.529851,4.227612,2.130597,8.910448,6.186567,5.365672,2.589552,2.264925,3.496269
Llama3-3B,1.134301,1.200544,1.734120,4.997278,2.163339,1.327586,7.900181,2.718693,2.188748,1.320327,1.191470,1.362976
Llama3-8B,1.110236,1.147638,1.528543,4.912402,2.259843,1.251969,7.900591,2.806102,1.906496,1.313976,1.144685,1.203740
DeepSeek-1.5B,1.571429,2.380952,3.571429,5.095238,4.142857,2.333333,8.238095,5.000000,3.904762,4.428571,2.285714,2.904762
DeepSeek-7B,1.818182,2.636364,3.045455,6.090909,5.500000,1.000000,10.000000,2.636364,3.181818,3.863636,1.818182,1.818182
DeepSeek-14B,1.435159,1.213256,1.233429,5.435159,2.974063,1.146974,8.489914,2.135447,2.077810,2.377522,1.553314,1.172911
