solver,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Llama3-1B,Llama3-3B,Llama3-8B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B
Qwen3-0.6B,1.584507,2.894366,1.647887,4.281690,2.063380,1.500000,8.760563,3.070423,3.915493,1.880282,2.028169,1.985915
Qwen3-1.7B,1.397590,2.855422,1.265060,5.180723,2.385542,1.289157,8.614458,1.975904,2.385542,2.132530,1.650602,1.289157
Qwen3-4B,1.557895,2.410526,1.378947,4.178947,2.115789,1.326316,8.410526,1.947368,1.926316,2.084211,1.610526,1.136842
Qwen2.5-0.5B,4.496000,7.032000,8.104000,4.952000,3.408000,2.448000,8.672000,6.728000,9.496000,6.120000,7.264000,8.064000
Qwen2.5-1.5B,3.186047,4.941860,6.866279,4.639535,2.651163,1.883721,7.738372,5.180233,7.738372,4.883721,5.343023,6.325581
Qwen2.5-3B,2.422857,3.668571,5.937143,3.845714,2.365714,1.622857,7.702857,3.925714,5.508571,3.805714,4.748571,5.405714
Llama3-1B,4.975000,7.775000,8.200000,6.950000,5.375000,4.350000,9.625000,8.325000,8.950000,7.100000,7.850000,8.475000
Llama3-3B,2.402878,4.244604,6.654676,5.158273,2.834532,1.834532,7.920863,6.237410,7.151079,4.438849,5.000000,5.705036
Llama3-8B,2.103704,3.125926,5.103704,5.162963,2.844444,1.955556,8.118519,5.325926,4.733333,3.600000,3.481481,4.362963
DeepSeek-1.5B,2.307692,3.846154,1.769231,4.076923,3.923077,1.076923,6.846154,1.769231,2.153846,4.461538,1.692308,1.692308
DeepSeek-7B,1.511628,2.325581,1.348837,4.372093,2.488372,1.302326,7.558140,2.720930,2.651163,3.023256,1.697674,1.441860
DeepSeek-14B,1.393939,1.696970,1.212121,3.848485,2.212121,1.282828,8.343434,1.979798,2.040404,2.636364,1.454545,1.292929
