solver,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Llama3-1B,Llama3-3B,Llama3-8B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B
Qwen3-0.6B,1.126553,1.463509,1.567547,2.737578,1.246118,1.066770,4.173137,1.141304,1.183230,1.408385,1.592391,1.111025
Qwen3-1.7B,1.095238,1.360215,1.581413,2.766513,1.185868,1.026882,3.979263,1.072965,1.105223,1.324117,1.482335,1.033794
Qwen3-4B,1.064269,1.400153,1.534813,2.716909,1.169855,1.025249,4.039786,1.071155,1.088753,1.317521,1.459067,1.013772
Qwen2.5-0.5B,2.050199,3.149801,3.709960,2.999203,1.446215,1.297211,6.907570,3.513147,4.153785,2.556972,3.337849,3.501195
Qwen2.5-1.5B,1.244070,1.583015,1.917368,2.846213,1.274675,1.080337,6.367253,2.561591,2.823259,1.407804,1.651109,1.781943
Qwen2.5-3B,1.102428,1.188164,1.381639,2.552352,1.186646,1.031866,5.053869,2.178300,2.105463,1.184370,1.201821,1.261002
Llama3-1B,3.576389,4.576389,5.013889,5.861111,2.055556,2.472222,9.381944,5.791667,5.715278,4.368056,4.694444,5.055556
Llama3-3B,1.308866,1.591039,1.875119,2.829361,1.366063,1.177312,8.572927,3.530029,3.104862,1.471878,1.727359,1.773117
Llama3-8B,1.185215,1.287758,1.388712,2.782989,1.279809,1.080286,8.247218,2.563593,2.318760,1.247218,1.249603,1.284579
DeepSeek-1.5B,1.148515,1.284844,1.677075,2.473724,1.335872,1.094440,6.821782,1.587966,1.862909,1.190404,1.345011,1.463062
DeepSeek-7B,1.059451,1.065549,1.141768,2.200457,1.231707,1.051829,6.189024,1.358994,1.346799,1.179878,1.094512,1.078506
DeepSeek-14B,1.031939,1.033460,1.078327,2.138403,1.216730,1.047148,6.294297,1.317110,1.283650,1.127757,1.064639,1.042586
