solver,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Llama3-1B,Llama3-3B,Llama3-8B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B
Qwen3-0.6B,1.139121,1.677824,1.463389,2.311715,1.119247,1.371339,3.349372,1.167364,1.393305,2.250000,1.471757,1.243724
Qwen3-1.7B,1.086432,1.545729,1.095477,2.455276,1.017085,1.135678,2.807035,1.085427,1.215075,1.307538,1.062312,1.013065
Qwen3-4B,1.122000,1.625000,1.056000,2.322000,1.046000,1.092000,3.158000,1.056000,1.302000,1.225000,1.022000,1.000000
Qwen2.5-0.5B,3.519031,5.478662,9.514418,2.447520,1.434833,1.874279,2.447520,2.008074,2.078431,5.568627,4.561707,7.305652
Qwen2.5-1.5B,1.383000,1.456000,2.734000,2.220000,1.392000,1.159000,2.649000,1.412000,1.318000,1.427000,1.353000,1.404000
Qwen2.5-3B,1.250000,1.137000,1.765000,2.320000,1.401000,1.034000,1.894000,1.387000,1.109000,1.359000,1.205000,1.187000
Llama3-1B,3.970359,8.327613,9.951638,2.205928,1.653666,1.366615,2.865835,2.063963,3.836193,6.600624,7.012480,9.014041
Llama3-3B,1.620619,1.687629,2.643299,2.990722,1.101031,1.297938,3.392784,1.748454,1.637113,1.745361,1.463918,1.660825
Llama3-8B,1.273642,1.176056,1.293763,2.663984,1.444668,1.056338,2.665996,1.648893,1.492958,1.322938,1.094567,1.114688
DeepSeek-1.5B,1.401408,1.246479,2.268612,2.253521,1.396378,1.110664,2.829980,1.176056,1.214286,1.443662,1.246479,1.834004
DeepSeek-7B,1.028056,1.067134,1.028056,2.068136,1.199399,1.051102,4.826653,1.079158,1.211423,1.247495,1.045090,1.007014
DeepSeek-14B,1.010000,1.033000,1.010000,2.294000,1.221000,1.063000,4.873000,1.040000,1.190000,1.209000,1.032000,1.001000
