solver,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Llama3-1B,Llama3-3B,Llama3-8B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B
Qwen3-0.6B,1.313993,2.385666,2.225256,3.170648,2.283276,1.262799,7.692833,1.819113,1.651877,1.904437,1.525597,1.344710
Qwen3-1.7B,1.429508,2.200000,1.773770,4.731148,2.029508,1.249180,7.878689,1.462295,1.298361,2.104918,1.373770,1.127869
Qwen3-4B,1.465574,2.242623,1.681967,4.508197,2.062295,1.177049,7.737705,1.357377,1.239344,2.111475,1.337705,1.101639
Qwen2.5-0.5B,2.077465,4.000000,5.366197,5.260563,3.429577,1.957746,8.894366,4.359155,6.133803,2.739437,3.866197,5.281690
Qwen2.5-1.5B,1.463519,1.901288,2.656652,4.888412,2.635193,1.394850,8.403433,2.721030,3.257511,1.836910,1.931330,2.167382
Qwen2.5-3B,1.266917,1.330827,1.582707,5.052632,2.323308,1.176692,7.872180,1.902256,2.015038,1.518797,1.259398,1.368421
Llama3-1B,2.723404,3.382979,6.659574,8.042553,5.468085,2.744681,8.744681,5.765957,6.638298,3.425532,4.212766,5.765957
Llama3-3B,1.338403,1.479087,2.102662,5.087452,2.608365,1.235741,8.372624,2.722433,2.448669,1.539924,1.467681,1.657795
Llama3-8B,1.282051,1.304029,1.545788,4.813187,2.827839,1.300366,8.520147,2.622711,1.827839,1.468864,1.439560,1.377289
DeepSeek-1.5B,2.176471,1.764706,3.352941,4.647059,2.882353,1.117647,5.941176,1.352941,2.470588,2.647059,2.764706,1.823529
DeepSeek-7B,1.695652,1.565217,1.000000,4.173913,2.652174,1.695652,7.086957,1.739130,1.739130,3.739130,1.826087,1.391304
DeepSeek-14B,1.740260,1.688312,1.155844,3.753247,3.363636,1.428571,8.246753,1.857143,2.064935,3.038961,1.532468,1.181818
