solver,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Llama3-1B,Llama3-3B,Llama3-8B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B
Qwen3-0.6B,1.520134,2.775168,2.033557,3.305369,1.835570,1.298658,7.171141,1.818792,1.577181,2.197987,1.694631,1.365772
Qwen3-1.7B,1.600671,2.677852,1.697987,4.281879,1.862416,1.174497,7.073826,1.348993,1.355705,2.278523,1.436242,1.057047
Qwen3-4B,1.702265,2.702265,1.660194,4.576052,1.757282,1.148867,6.822006,1.365696,1.239482,2.187702,1.417476,1.071197
Qwen2.5-0.5B,3.028846,4.096154,5.057692,4.456731,3.048077,1.846154,8.197115,4.788462,6.384615,3.197115,4.668269,5.076923
Qwen2.5-1.5B,1.645038,2.286260,3.030534,4.561069,2.622137,1.324427,7.255725,2.881679,3.328244,2.255725,2.171756,2.664122
Qwen2.5-3B,1.435424,1.704797,2.169742,4.601476,2.269373,1.228782,7.169742,2.195572,2.295203,2.011070,1.660517,1.785978
Llama3-1B,2.965909,5.000000,5.238636,6.625000,5.090909,2.454545,7.795455,6.511364,6.954545,4.215909,4.431818,5.159091
Llama3-3B,1.600775,1.755814,2.286822,5.069767,2.391473,1.364341,6.895349,3.286822,3.100775,2.003876,1.930233,2.065891
Llama3-8B,1.370787,1.550562,1.835206,4.610487,2.453184,1.325843,7.621723,2.767790,2.280899,1.715356,1.573034,1.707865
DeepSeek-1.5B,1.432692,1.596154,1.451923,3.855769,2.230769,1.240385,6.894231,2.250000,1.836538,2.086538,1.384615,1.182692
DeepSeek-7B,1.756757,1.655405,1.128378,4.108108,2.168919,1.229730,7.344595,1.966216,1.682432,2.614865,1.405405,1.243243
DeepSeek-14B,1.582915,1.371859,1.090452,4.211055,2.190955,1.221106,7.427136,1.432161,1.331658,2.266332,1.452261,1.065327
