solver,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Llama3-1B,Llama3-3B,Llama3-8B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B
Qwen3-0.6B,1.264865,1.661622,1.521081,2.351351,1.313514,1.180541,1.722162,1.122162,1.539459,1.821622,1.198919,1.270270
Qwen3-1.7B,1.172798,1.306577,1.033445,3.031215,1.311037,1.064660,3.750279,1.047938,1.247492,1.782609,1.347826,1.024526
Qwen3-4B,1.272379,1.453964,1.016624,3.042199,1.222506,1.067775,3.650895,1.067775,1.273657,1.594629,1.108696,1.012788
Qwen2.5-0.5B,5.399000,7.322000,9.564000,4.315000,5.068000,5.222000,5.447000,6.792000,9.007000,4.068000,7.627000,9.082000
Qwen2.5-1.5B,1.871032,2.888889,3.246032,3.190476,1.789683,1.982143,2.744048,3.527778,7.192460,1.960317,2.797619,3.003968
Qwen2.5-3B,1.395445,1.557971,1.754658,2.148033,1.418219,1.306418,1.861284,1.892340,4.107660,1.307453,1.522774,1.584886
Llama3-1B,4.154762,5.696429,6.458333,7.922619,6.565476,4.119048,6.636905,5.220238,7.910714,4.083333,5.886905,5.916667
Llama3-3B,1.709774,2.117293,2.563910,3.664662,2.181955,1.747368,3.645113,4.642105,7.360902,1.633083,2.309774,2.380451
Llama3-8B,1.441273,1.622393,1.722283,3.576290,1.928650,1.511526,3.295280,2.012075,3.829857,1.411636,1.624588,1.644347
DeepSeek-1.5B,2.086957,2.173913,2.043478,5.173913,3.304348,1.826087,5.304348,1.608696,3.391304,4.173913,2.173913,1.956522
DeepSeek-7B,1.575221,1.336283,1.522124,2.884956,1.946903,1.433628,4.035398,1.469027,1.486726,1.973451,1.097345,1.221239
DeepSeek-14B,1.089744,1.060606,1.006993,3.034965,1.379953,1.095571,3.069930,1.188811,1.392774,1.210956,1.041958,1.004662
