solver,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Llama3-1B,Llama3-3B,Llama3-8B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B
Qwen3-0.6B,1.642487,2.668394,1.269430,4.427461,1.233161,2.217617,3.608808,2.645078,2.823834,2.287565,1.593264,1.310881
Qwen3-1.7B,1.212121,1.496343,1.026123,3.073145,1.022989,1.350052,2.009404,1.644723,1.739812,1.408568,1.077325,1.055381
Qwen3-4B,1.179899,1.442211,1.007035,2.558794,1.008040,1.347739,2.129648,1.576884,1.485427,1.515578,1.094472,1.036181
Qwen2.5-0.5B,4.441558,9.923521,10.000000,2.089466,1.438672,2.715729,4.942280,9.310245,9.793651,8.945166,9.805195,10.000000
Qwen2.5-1.5B,5.949000,9.819000,9.986000,1.722000,2.428000,2.620000,5.926000,6.295000,7.730000,9.241000,9.480000,9.962000
Qwen2.5-3B,3.554068,9.934089,9.983522,2.493306,1.471679,1.474768,3.147271,5.429454,9.416066,8.447992,8.935118,9.952626
Llama3-1B,7.071875,9.943750,9.987500,4.034375,4.703125,4.778125,7.784375,7.331250,9.171875,9.000000,9.750000,10.000000
Llama3-3B,5.245614,9.791228,9.892982,2.885965,2.298246,2.821053,6.185965,7.121053,9.342105,8.768421,9.294737,9.942105
Llama3-8B,5.670157,9.963351,9.968586,4.125654,2.769634,2.806283,6.554974,6.963351,9.010471,8.193717,8.408377,9.869110
DeepSeek-1.5B,2.369565,6.673913,7.456522,6.391304,5.369565,6.086957,9.456522,5.869565,9.021739,5.739130,5.956522,6.282609
DeepSeek-7B,1.024064,1.029412,1.006684,2.445187,1.705882,1.807487,3.556150,1.652406,2.707219,1.560160,1.139037,1.062834
DeepSeek-14B,1.024059,1.014644,1.001046,1.663180,1.584728,1.419456,3.839958,1.664226,2.383891,1.264644,1.050209,1.020921
