solver,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Llama3-1B,Llama3-3B,Llama3-8B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B
Qwen3-0.6B,-0.028169,-0.021127,0.000000,-0.007042,-0.014085,0.021127,-0.021127,0.007042,-0.035211,0.028169,0.042254,-0.007042
Qwen3-1.7B,0.012048,-0.024096,-0.012048,-0.036145,0.024096,0.000000,0.024096,0.024096,0.024096,-0.024096,0.036145,0.012048
Qwen3-4B,0.021053,0.010526,0.000000,-0.021053,0.010526,0.000000,-0.031579,-0.042105,0.000000,-0.021053,0.010526,-0.010526
Qwen2.5-0.5B,0.016000,-0.056000,0.024000,-0.040000,0.008000,0.024000,0.008000,0.016000,0.040000,-0.024000,-0.024000,0.032000
Qwen2.5-1.5B,-0.046512,-0.005814,0.017442,-0.011628,0.000000,-0.011628,-0.005814,-0.005814,-0.017442,0.011628,-0.023256,0.011628
Qwen2.5-3B,0.034286,0.017143,0.022857,0.005714,0.034286,0.017143,0.000000,0.011429,0.068571,0.000000,-0.005714,0.040000
Llama3-1B,-0.050000,-0.025000,0.000000,0.050000,0.050000,-0.100000,-0.050000,-0.100000,-0.050000,0.000000,0.000000,0.000000
Llama3-3B,0.014388,0.000000,-0.021583,-0.021583,-0.035971,0.000000,-0.064748,-0.050360,-0.021583,-0.014388,-0.057554,-0.007194
Llama3-8B,0.007407,0.022222,0.074074,0.051852,-0.014815,0.022222,0.044444,0.044444,0.066667,0.014815,0.044444,0.051852
DeepSeek-1.5B,0.000000,0.076923,0.076923,0.153846,0.000000,0.076923,0.384615,0.000000,0.076923,0.000000,0.000000,0.000000
DeepSeek-7B,0.023256,0.023256,0.000000,0.093023,-0.069767,0.023256,0.093023,0.046512,0.000000,0.046512,0.000000,0.000000
DeepSeek-14B,0.020202,0.010101,0.000000,0.040404,0.020202,0.010101,0.040404,-0.010101,-0.020202,0.010101,0.010101,0.010101
