solver,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Llama3-1B,Llama3-3B,Llama3-8B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B
Qwen3-0.6B,0.001046,0.001046,0.000000,0.004184,0.000000,0.000000,0.002092,0.001046,0.000000,0.003138,0.000000,0.002092
Qwen3-1.7B,0.004020,-0.014070,-0.001005,-0.042211,-0.001005,0.002010,-0.024121,-0.004020,-0.012060,0.008040,0.005025,0.003015
Qwen3-4B,-0.002000,0.016000,0.007000,0.014000,0.002000,-0.009000,0.001000,0.001000,0.001000,0.000000,-0.001000,0.000000
Qwen2.5-0.5B,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Qwen2.5-1.5B,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Qwen2.5-3B,-0.009000,-0.001000,0.006000,0.011000,-0.019000,0.000000,0.004000,-0.004000,-0.006000,0.008000,0.003000,0.003000
Llama3-1B,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Llama3-3B,0.027835,0.032990,0.071134,0.044330,0.001031,0.016495,0.030928,0.020619,0.028866,0.024742,0.028866,0.034021
Llama3-8B,0.042254,0.055332,0.088531,0.113682,0.025151,0.005030,0.058350,0.062374,0.054326,0.053320,0.034205,0.045272
DeepSeek-1.5B,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
DeepSeek-7B,-0.009018,0.001002,0.003006,0.023046,-0.018036,-0.004008,-0.016032,-0.014028,-0.027054,0.008016,0.006012,0.000000
DeepSeek-14B,0.002000,0.008000,0.008000,0.000000,0.008000,0.000000,-0.002000,-0.002000,0.001000,0.001000,0.006000,0.000000
