solver,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Llama3-1B,Llama3-3B,Llama3-8B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B
Qwen3-0.6B,0.003413,0.010239,0.020478,-0.006826,0.023891,-0.003413,-0.020478,0.000000,0.023891,-0.013652,0.027304,0.030717
Qwen3-1.7B,0.006557,0.006557,0.006557,-0.016393,0.016393,-0.009836,-0.032787,0.000000,0.000000,0.000000,0.006557,0.003279
Qwen3-4B,0.016393,0.013115,-0.003279,0.006557,0.000000,0.006557,0.013115,0.019672,0.016393,0.000000,0.006557,0.009836
Qwen2.5-0.5B,0.056338,0.225352,0.253521,-0.007042,0.077465,0.000000,0.042254,0.049296,0.105634,0.028169,0.147887,0.274648
Qwen2.5-1.5B,0.000000,0.072961,0.201717,0.030043,0.047210,-0.004292,0.008584,0.017167,0.051502,-0.004292,0.051502,0.124464
Qwen2.5-3B,0.003759,0.022556,0.078947,0.003759,-0.003759,-0.011278,-0.030075,0.030075,-0.007519,-0.015038,0.000000,0.052632
Llama3-1B,0.000000,0.042553,0.063830,0.021277,0.042553,0.021277,0.000000,0.021277,0.000000,0.021277,0.021277,0.106383
Llama3-3B,0.026616,0.060837,0.155894,0.034221,0.030418,0.038023,0.049430,0.049430,0.068441,0.041825,0.072243,0.129278
Llama3-8B,-0.007326,0.010989,0.058608,-0.032967,-0.043956,0.003663,-0.010989,-0.007326,0.007326,-0.007326,0.003663,0.025641
DeepSeek-1.5B,0.000000,0.000000,0.176471,0.117647,-0.058824,0.000000,0.117647,0.058824,0.117647,0.000000,0.117647,0.000000
DeepSeek-7B,0.000000,0.000000,0.000000,0.086957,0.000000,-0.043478,0.043478,0.043478,-0.043478,-0.043478,-0.043478,0.000000
DeepSeek-14B,-0.012987,0.025974,0.012987,-0.012987,0.025974,-0.038961,0.038961,-0.012987,0.025974,0.000000,0.012987,0.025974
