solver,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Llama3-1B,Llama3-3B,Llama3-8B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B
Qwen3-0.6B,0.030201,0.016779,0.046980,-0.030201,0.006711,0.003356,0.030201,0.016779,0.033557,0.046980,0.043624,0.046980
Qwen3-1.7B,-0.016779,-0.006711,0.003356,-0.016779,-0.020134,-0.010067,0.000000,-0.010067,-0.030201,-0.033557,-0.010067,0.000000
Qwen3-4B,-0.003236,-0.012945,-0.006472,0.009709,0.009709,0.003236,0.022654,0.000000,0.003236,-0.003236,0.006472,0.000000
Qwen2.5-0.5B,0.091346,0.177885,0.259615,0.057692,0.062500,0.052885,0.105769,0.052885,0.091346,0.062500,0.153846,0.225962
Qwen2.5-1.5B,0.030534,0.080153,0.145038,0.011450,0.030534,-0.011450,0.041985,-0.007634,0.041985,0.003817,0.072519,0.087786
Qwen2.5-3B,0.011070,0.062731,0.125461,0.040590,0.007380,0.007380,-0.029520,0.036900,0.055351,0.025830,0.044280,0.088561
Llama3-1B,0.000000,0.125000,0.159091,0.034091,-0.011364,-0.034091,0.056818,0.011364,0.034091,-0.011364,0.079545,0.113636
Llama3-3B,0.015504,0.050388,0.127907,-0.034884,-0.038760,0.023256,-0.023256,-0.015504,-0.023256,0.000000,0.042636,0.081395
Llama3-8B,0.018727,0.052434,0.082397,0.018727,0.018727,0.011236,0.007491,0.007491,0.029963,0.037453,0.029963,0.052434
DeepSeek-1.5B,0.000000,0.009615,0.038462,0.067308,0.000000,0.000000,0.048077,0.009615,0.038462,0.000000,0.019231,0.019231
DeepSeek-7B,0.006757,-0.020270,0.013514,0.013514,0.047297,0.027027,0.027027,0.027027,0.020270,0.027027,0.006757,0.000000
DeepSeek-14B,-0.020101,-0.020101,0.000000,-0.010050,0.015075,0.000000,0.025126,-0.010050,-0.015075,-0.010050,-0.010050,-0.005025
