solver,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Llama3-1B,Llama3-3B,Llama3-8B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B
Qwen3-0.6B,0.023784,0.082162,0.207568,0.018378,0.032432,0.020541,-0.006486,0.014054,0.054054,0.050811,0.055135,0.121081
Qwen3-1.7B,0.001115,0.008919,0.021182,0.008919,0.025641,0.010033,0.006689,0.014493,0.024526,-0.002230,0.011148,0.012263
Qwen3-4B,0.001279,0.001279,0.001279,0.002558,0.002558,0.001279,0.001279,0.001279,0.002558,0.000000,0.001279,0.000000
Qwen2.5-0.5B,0.031000,0.036000,0.048000,0.018000,0.022000,0.018000,0.015000,0.012000,0.021000,0.023000,0.043000,0.046000
Qwen2.5-1.5B,0.150794,0.375000,0.468254,-0.005952,0.005952,0.109127,-0.039683,0.067460,0.049603,0.184524,0.347222,0.406746
Qwen2.5-3B,0.122153,0.268116,0.340580,-0.020704,0.005176,0.076605,0.001035,0.039337,0.053830,0.123188,0.236025,0.271222
Llama3-1B,0.101190,0.196429,0.208333,-0.011905,0.065476,0.083333,-0.005952,0.035714,0.017857,0.095238,0.107143,0.220238
Llama3-3B,0.117293,0.303759,0.365414,-0.007519,-0.003008,0.093233,-0.018045,-0.007519,-0.036090,0.138346,0.279699,0.326316
Llama3-8B,0.135016,0.295280,0.356751,0.024149,-0.032931,0.065862,0.005488,0.043908,0.080132,0.120746,0.237102,0.295280
DeepSeek-1.5B,0.043478,0.000000,0.043478,0.043478,0.043478,0.000000,0.043478,0.000000,-0.043478,0.000000,0.000000,0.000000
DeepSeek-7B,0.017699,0.026549,0.008850,-0.035398,0.008850,-0.008850,0.026549,0.000000,0.000000,0.008850,0.008850,-0.008850
DeepSeek-14B,0.001166,0.001166,0.004662,0.011655,0.008159,-0.002331,0.012821,0.002331,0.010490,0.003497,0.004662,0.002331
