solver,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Llama3-1B,Llama3-3B,Llama3-8B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B
Qwen3-0.6B,-0.003534,0.021201,-0.003534,0.003534,0.014134,0.010601,-0.007067,0.000000,0.000000,-0.007067,0.000000,0.014134
Qwen3-1.7B,0.002801,-0.002801,0.002801,-0.014006,-0.005602,0.000000,-0.011204,-0.002801,-0.002801,-0.016807,-0.005602,0.000000
Qwen3-4B,0.000000,0.007059,0.000000,0.002353,0.000000,0.000000,0.002353,0.002353,-0.002353,0.002353,0.002353,0.000000
Qwen2.5-0.5B,0.005889,0.004711,0.005889,-0.003534,0.000000,0.002356,-0.007067,0.002356,-0.004711,0.002356,0.003534,0.005889
Qwen2.5-1.5B,0.033898,0.044068,0.054237,0.003390,0.009040,0.001130,0.011299,0.015819,0.007910,0.044068,0.041808,0.048588
Qwen2.5-3B,0.034298,0.053591,0.065380,-0.011790,-0.009646,0.005359,-0.006431,0.005359,0.017149,0.022508,0.052519,0.063237
Llama3-1B,0.015326,0.010217,0.022989,0.003831,0.000000,-0.002554,0.002554,-0.006386,0.001277,0.002554,0.011494,0.017880
Llama3-3B,0.048122,0.071596,0.107981,0.021127,0.014085,0.011737,0.003521,0.021127,0.023474,0.036385,0.058685,0.086854
Llama3-8B,0.029957,0.074180,0.072753,0.025678,0.017118,0.008559,0.012839,0.022825,0.038516,0.057061,0.085592,0.087019
DeepSeek-1.5B,0.012626,0.010101,0.000000,0.027778,0.002525,0.000000,0.015152,-0.002525,0.000000,0.025253,0.012626,0.005051
DeepSeek-7B,0.001795,-0.001795,0.001795,-0.003591,0.005386,0.000000,-0.001795,-0.001795,0.001795,0.001795,0.000000,0.000000
DeepSeek-14B,-0.005051,0.000000,-0.003367,-0.008418,-0.001684,-0.003367,-0.008418,-0.001684,0.001684,0.005051,0.000000,0.000000
