solver,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Llama3-1B,Llama3-3B,Llama3-8B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B
Qwen3-0.6B,-0.004234,0.002540,-0.004234,-0.019475,-0.002540,0.000000,0.017782,0.013548,0.022015,-0.009314,-0.003387,0.012701
Qwen3-1.7B,-0.005034,-0.001678,-0.005872,0.002517,-0.002517,-0.001678,-0.003356,-0.005872,0.005872,-0.002517,-0.001678,0.000839
Qwen3-4B,-0.000820,-0.000820,-0.001639,0.007377,-0.003279,0.000820,0.003279,-0.002459,0.004918,0.003279,-0.002459,0.004098
Qwen2.5-0.5B,-0.002488,0.034826,0.074627,-0.042289,-0.024876,0.017413,-0.027363,0.022388,0.014925,0.000000,0.017413,0.089552
Qwen2.5-1.5B,0.026087,0.031884,0.078261,-0.002899,-0.014493,0.014493,-0.014493,0.026087,0.026087,0.017391,0.017391,0.057971
Qwen2.5-3B,0.008457,0.023256,0.044397,0.021142,0.010571,0.002114,0.021142,0.004228,0.008457,0.004228,0.014799,0.029598
Llama3-1B,0.014925,0.041045,0.037313,-0.022388,-0.029851,0.022388,-0.022388,-0.026119,-0.026119,-0.011194,0.014925,0.029851
Llama3-3B,0.009074,0.029946,0.081670,-0.012704,0.004537,0.004537,-0.013612,0.009982,0.006352,0.010889,0.017241,0.052632
Llama3-8B,0.012795,0.021654,0.042323,0.006890,0.004921,0.012795,0.001969,0.007874,0.011811,0.010827,0.009843,0.027559
DeepSeek-1.5B,-0.047619,-0.047619,-0.047619,-0.047619,0.095238,0.047619,-0.095238,0.000000,0.000000,-0.047619,0.000000,0.047619
DeepSeek-7B,0.000000,0.000000,0.000000,0.000000,-0.045455,0.000000,0.000000,0.000000,-0.045455,0.000000,0.000000,0.000000
DeepSeek-14B,-0.011527,0.005764,0.000000,0.002882,0.014409,0.005764,0.005764,0.011527,0.005764,0.005764,0.005764,0.000000
