solver,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Llama3-1B,Llama3-3B,Llama3-8B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B
Qwen3-0.6B,0.003106,0.018634,0.020963,0.014752,0.010093,0.010093,0.008540,0.003106,0.008540,0.006211,0.031832,0.024845
Qwen3-1.7B,0.001536,-0.000768,0.001536,-0.009217,-0.000768,0.002304,-0.004608,0.000768,0.000768,-0.001536,0.000000,0.001536
Qwen3-4B,0.000000,0.001530,-0.000765,-0.000765,0.002295,0.000000,0.001530,0.000000,0.000000,-0.001530,0.000000,0.000000
Qwen2.5-0.5B,0.109960,0.126693,0.158566,0.009562,0.016733,0.042231,-0.005578,0.033466,0.061355,0.121116,0.130677,0.162550
Qwen2.5-1.5B,0.049732,0.086458,0.123948,0.028309,0.019893,0.013007,0.023718,0.025249,0.035960,0.079572,0.091813,0.120888
Qwen2.5-3B,0.020486,0.025797,0.044006,0.005311,0.010622,0.002276,-0.003794,0.003035,0.006070,0.021244,0.037178,0.039454
Llama3-1B,0.041667,0.041667,0.069444,0.013889,0.000000,0.034722,-0.027778,0.000000,0.013889,0.027778,0.041667,0.062500
Llama3-3B,0.045758,0.067684,0.086749,0.014299,0.006673,0.031459,0.001907,0.013346,0.022879,0.049571,0.072450,0.083889
Llama3-8B,0.038951,0.061208,0.078696,0.007949,0.015898,0.019873,0.007949,0.005564,0.014308,0.047695,0.069157,0.076312
DeepSeek-1.5B,0.022848,0.029703,0.065499,0.006855,0.005331,0.012947,-0.006855,0.015994,0.028941,0.022087,0.044174,0.049505
DeepSeek-7B,0.016768,0.014482,0.027439,0.017530,0.004573,0.001524,0.009909,0.002287,0.013720,0.006860,0.016006,0.025152
DeepSeek-14B,0.002281,0.003802,0.012928,0.006084,0.005323,0.000760,0.003802,0.003802,0.004563,0.004563,0.006844,0.009886
