solver,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Llama3-1B,Llama3-3B,Llama3-8B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B
Qwen3-0.6B,0.010363,0.028497,0.007772,0.007772,-0.007772,0.025907,-0.010363,-0.002591,-0.005181,0.005181,0.023316,0.018135
Qwen3-1.7B,0.000000,0.003135,0.000000,0.003135,0.000000,0.002090,0.000000,-0.001045,-0.001045,0.001045,0.000000,0.000000
Qwen3-4B,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Qwen2.5-0.5B,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Qwen2.5-1.5B,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Qwen2.5-3B,0.000000,0.001030,0.001030,0.001030,0.001030,0.001030,0.001030,0.000000,0.000000,0.000000,0.000000,0.001030
Llama3-1B,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Llama3-3B,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Llama3-8B,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
DeepSeek-1.5B,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
DeepSeek-7B,-0.001337,-0.001337,0.000000,0.002674,-0.002674,0.002674,-0.006684,0.002674,-0.045455,-0.001337,0.004011,0.002674
DeepSeek-14B,-0.002092,0.000000,0.000000,0.014644,0.011506,0.000000,0.015690,0.001046,-0.005230,0.003138,-0.002092,0.000000
