solver,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Llama3-1B,Llama3-3B,Llama3-8B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B
Qwen3-0.6B,1.000000,0.919737,0.917604,0.815200,0.815098,0.812513,0.806197,0.812253,0.809386,0.897510,0.896191,0.895932
Qwen3-1.7B,0.919737,1.000000,0.929471,0.816045,0.815953,0.816945,0.807005,0.813762,0.808603,0.903290,0.903693,0.902351
Qwen3-4B,0.917604,0.929471,1.000000,0.814174,0.816445,0.816121,0.805966,0.812493,0.807492,0.908422,0.907874,0.908504
Qwen2.5-0.5B,0.815200,0.816045,0.814174,1.000000,0.893673,0.889464,0.857551,0.854482,0.858796,0.806545,0.804853,0.800576
Qwen2.5-1.5B,0.815098,0.815953,0.816445,0.893673,1.000000,0.907670,0.853957,0.857626,0.857532,0.807247,0.807339,0.805112
Qwen2.5-3B,0.812513,0.816945,0.816121,0.889464,0.907670,1.000000,0.849776,0.853952,0.851787,0.809183,0.808041,0.804085
Llama3-1B,0.806197,0.807005,0.805966,0.857551,0.853957,0.849776,1.000000,0.867194,0.855969,0.794238,0.793868,0.791203
Llama3-3B,0.812253,0.813762,0.812493,0.854482,0.857626,0.853952,0.867194,1.000000,0.859678,0.803000,0.801638,0.800344
Llama3-8B,0.809386,0.808603,0.807492,0.858796,0.857532,0.851787,0.855969,0.859678,1.000000,0.798748,0.797685,0.794562
DeepSeek-1.5B,0.897510,0.903290,0.908422,0.806545,0.807247,0.809183,0.794238,0.803000,0.798748,1.000000,0.918432,0.919321
DeepSeek-7B,0.896191,0.903693,0.907874,0.804853,0.807339,0.808041,0.793868,0.801638,0.797685,0.918432,1.000000,0.924339
DeepSeek-14B,0.895932,0.902351,0.908504,0.800576,0.805112,0.804085,0.791203,0.800344,0.794562,0.919321,0.924339,1.000000
