solver,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Llama3-1B,Llama3-3B,Llama3-8B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B
Qwen3-0.6B,1.000000,0.902587,0.903121,0.755675,0.780993,0.807695,0.736274,0.783354,0.795631,0.853686,0.863868,0.874813
Qwen3-1.7B,0.902587,1.000000,0.917512,0.726971,0.755957,0.787146,0.709043,0.763168,0.777116,0.831237,0.847824,0.869155
Qwen3-4B,0.903121,0.917512,1.000000,0.744521,0.773203,0.804665,0.727215,0.779554,0.794238,0.842115,0.862889,0.885392
Qwen2.5-0.5B,0.755675,0.726971,0.744521,1.000000,0.834466,0.831054,0.806345,0.804732,0.811119,0.798322,0.808244,0.783505
Qwen2.5-1.5B,0.780993,0.755957,0.773203,0.834466,1.000000,0.879759,0.816686,0.842610,0.850802,0.815962,0.830141,0.810435
Qwen2.5-3B,0.807695,0.787146,0.804665,0.831054,0.879759,1.000000,0.815327,0.861587,0.870161,0.831733,0.850138,0.837687
Llama3-1B,0.736274,0.709043,0.727215,0.806345,0.816686,0.815327,1.000000,0.809101,0.813814,0.782630,0.796788,0.771653
Llama3-3B,0.783354,0.763168,0.779554,0.804732,0.842610,0.861587,0.809101,1.000000,0.866090,0.801842,0.820187,0.806304
Llama3-8B,0.795631,0.777116,0.794238,0.811119,0.850802,0.870161,0.813814,0.866090,1.000000,0.813915,0.833092,0.821668
DeepSeek-1.5B,0.853686,0.831237,0.842115,0.798322,0.815962,0.831733,0.782630,0.801842,0.813915,1.000000,0.893564,0.877193
DeepSeek-7B,0.863868,0.847824,0.862889,0.808244,0.830141,0.850138,0.796788,0.820187,0.833092,0.893564,1.000000,0.901002
DeepSeek-14B,0.874813,0.869155,0.885392,0.783505,0.810435,0.837687,0.771653,0.806304,0.821668,0.877193,0.901002,1.000000
