solver,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Llama3-1B,Llama3-3B,Llama3-8B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B
Qwen3-0.6B,1.000000,0.874737,0.871725,0.800544,0.815948,0.812259,0.793107,0.807049,0.818815,0.855687,0.858308,0.855346
Qwen3-1.7B,0.874737,1.000000,0.891066,0.789172,0.811274,0.809639,0.778294,0.804030,0.814665,0.867340,0.874720,0.870380
Qwen3-4B,0.871725,0.891066,1.000000,0.791523,0.813760,0.816580,0.786220,0.807335,0.825978,0.871865,0.886846,0.885338
Qwen2.5-0.5B,0.800544,0.789172,0.791523,1.000000,0.871347,0.842077,0.833111,0.837402,0.846636,0.790999,0.798189,0.787413
Qwen2.5-1.5B,0.815948,0.811274,0.813760,0.871347,1.000000,0.875102,0.839928,0.857862,0.874733,0.809139,0.820643,0.804934
Qwen2.5-3B,0.812259,0.809639,0.816580,0.842077,0.875102,1.000000,0.826962,0.852839,0.861168,0.805501,0.816031,0.804804
Llama3-1B,0.793107,0.778294,0.786220,0.833111,0.839928,0.826962,1.000000,0.853588,0.849258,0.780823,0.785421,0.778844
Llama3-3B,0.807049,0.804030,0.807335,0.837402,0.857862,0.852839,0.853588,1.000000,0.882590,0.801947,0.809659,0.802169
Llama3-8B,0.818815,0.814665,0.825978,0.846636,0.874733,0.861168,0.849258,0.882590,1.000000,0.818211,0.826337,0.820973
DeepSeek-1.5B,0.855687,0.867340,0.871865,0.790999,0.809139,0.805501,0.780823,0.801947,0.818211,1.000000,0.885934,0.883564
DeepSeek-7B,0.858308,0.874720,0.886846,0.798189,0.820643,0.816031,0.785421,0.809659,0.826337,0.885934,1.000000,0.897859
DeepSeek-14B,0.855346,0.870380,0.885338,0.787413,0.804934,0.804804,0.778844,0.802169,0.820973,0.883564,0.897859,1.000000
