solver,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Llama3-1B,Llama3-3B,Llama3-8B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B
Qwen3-0.6B,1.000000,0.941162,0.937924,0.871567,0.875321,0.882562,0.833108,0.846611,0.858763,0.894472,0.906354,0.903560
Qwen3-1.7B,0.941162,1.000000,0.946411,0.859114,0.863695,0.872700,0.819629,0.834014,0.847029,0.884440,0.899559,0.896754
Qwen3-4B,0.937924,0.946411,1.000000,0.861450,0.865715,0.874981,0.821988,0.835433,0.849146,0.887452,0.902529,0.899911
Qwen2.5-0.5B,0.871567,0.859114,0.861450,1.000000,0.956143,0.944339,0.917897,0.926715,0.933450,0.931979,0.918384,0.920298
Qwen2.5-1.5B,0.875321,0.863695,0.865715,0.956143,1.000000,0.952671,0.920404,0.930414,0.938249,0.937826,0.924538,0.926212
Qwen2.5-3B,0.882562,0.872700,0.874981,0.944339,0.952671,1.000000,0.906433,0.919351,0.929918,0.940923,0.930010,0.932453
Llama3-1B,0.833108,0.819629,0.821988,0.917897,0.920404,0.906433,1.000000,0.929047,0.928849,0.899371,0.883679,0.886238
Llama3-3B,0.846611,0.834014,0.835433,0.926715,0.930414,0.919351,0.929047,1.000000,0.947839,0.906024,0.893047,0.895053
Llama3-8B,0.858763,0.847029,0.849146,0.933450,0.938249,0.929918,0.928849,0.947839,1.000000,0.917805,0.905371,0.907883
DeepSeek-1.5B,0.894472,0.884440,0.887452,0.931979,0.937826,0.940923,0.899371,0.906024,0.917805,1.000000,0.943830,0.945127
DeepSeek-7B,0.906354,0.899559,0.902529,0.918384,0.924538,0.930010,0.883679,0.893047,0.905371,0.943830,1.000000,0.949653
DeepSeek-14B,0.903560,0.896754,0.899911,0.920298,0.926212,0.932453,0.886238,0.895053,0.907883,0.945127,0.949653,1.000000
