solver,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Llama3-1B,Llama3-3B,Llama3-8B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B
Qwen3-0.6B,1.000000,0.941595,0.931790,0.814650,0.773725,0.806577,0.782100,0.804036,0.852900,0.853229,0.902221,0.928252
Qwen3-1.7B,0.941595,1.000000,0.928971,0.808721,0.781568,0.809575,0.789840,0.795229,0.831923,0.836786,0.889759,0.914456
Qwen3-4B,0.931790,0.928971,1.000000,0.803095,0.777717,0.800810,0.781159,0.787082,0.834052,0.848727,0.894152,0.928173
Qwen2.5-0.5B,0.814650,0.808721,0.803095,1.000000,0.864517,0.891494,0.819497,0.825683,0.845518,0.827590,0.769499,0.764603
Qwen2.5-1.5B,0.773725,0.781568,0.777717,0.864517,1.000000,0.914086,0.847590,0.836744,0.853976,0.814645,0.734753,0.722523
Qwen2.5-3B,0.806577,0.809575,0.800810,0.891494,0.914086,1.000000,0.837265,0.822552,0.839006,0.828678,0.750417,0.748501
Llama3-1B,0.782100,0.789840,0.781159,0.819497,0.847590,0.837265,1.000000,0.857536,0.849540,0.845032,0.727826,0.720517
Llama3-3B,0.804036,0.795229,0.787082,0.825683,0.836744,0.822552,0.857536,1.000000,0.852599,0.893848,0.803547,0.781198
Llama3-8B,0.852900,0.831923,0.834052,0.845518,0.853976,0.839006,0.849540,0.852599,1.000000,0.855033,0.806317,0.807979
DeepSeek-1.5B,0.853229,0.836786,0.848727,0.827590,0.814645,0.828678,0.845032,0.893848,0.855033,1.000000,0.828099,0.830141
DeepSeek-7B,0.902221,0.889759,0.894152,0.769499,0.734753,0.750417,0.727826,0.803547,0.806317,0.828099,1.000000,0.933829
DeepSeek-14B,0.928252,0.914456,0.928173,0.764603,0.722523,0.748501,0.720517,0.781198,0.807979,0.830141,0.933829,1.000000
