solver,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Llama3-1B,Llama3-3B,Llama3-8B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B
Qwen3-0.6B,1.000000,0.927342,0.920977,0.850377,0.867593,0.873340,0.840665,0.859853,0.862870,0.904427,0.904592,0.908051
Qwen3-1.7B,0.927342,1.000000,0.938273,0.847997,0.867888,0.877279,0.838168,0.860430,0.865951,0.905890,0.912435,0.920375
Qwen3-4B,0.920977,0.938273,1.000000,0.848834,0.870465,0.882180,0.842398,0.861297,0.869138,0.908156,0.919964,0.930157
Qwen2.5-0.5B,0.850377,0.847997,0.848834,1.000000,0.894202,0.892141,0.862123,0.861075,0.868852,0.859655,0.857278,0.855650
Qwen2.5-1.5B,0.867593,0.867888,0.870465,0.894202,1.000000,0.918647,0.876275,0.884381,0.892323,0.874932,0.878027,0.878124
Qwen2.5-3B,0.873340,0.877279,0.882180,0.892141,0.918647,1.000000,0.883104,0.891741,0.900760,0.883562,0.890619,0.893164
Llama3-1B,0.840665,0.838168,0.842398,0.862123,0.876275,0.883104,1.000000,0.885134,0.887783,0.844181,0.848770,0.845594
Llama3-3B,0.859853,0.860430,0.861297,0.861075,0.884381,0.891741,0.885134,1.000000,0.914990,0.858314,0.862437,0.863280
Llama3-8B,0.862870,0.865951,0.869138,0.868852,0.892323,0.900760,0.887783,0.914990,1.000000,0.862508,0.867711,0.869531
DeepSeek-1.5B,0.904427,0.905890,0.908156,0.859655,0.874932,0.883562,0.844181,0.858314,0.862508,1.000000,0.927444,0.923711
DeepSeek-7B,0.904592,0.912435,0.919964,0.857278,0.878027,0.890619,0.848770,0.862437,0.867711,0.927444,1.000000,0.937481
DeepSeek-14B,0.908051,0.920375,0.930157,0.855650,0.878124,0.893164,0.845594,0.863280,0.869531,0.923711,0.937481,1.000000
