solver,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Llama3-1B,Llama3-3B,Llama3-8B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B
Qwen3-0.6B,1.000000,0.923853,0.918472,0.856442,0.865348,0.868868,0.839815,0.849006,0.856343,0.895621,0.900151,0.903064
Qwen3-1.7B,0.923853,1.000000,0.934531,0.852529,0.864096,0.865463,0.832714,0.844790,0.853903,0.895323,0.905214,0.909222
Qwen3-4B,0.918472,0.934531,1.000000,0.852306,0.864637,0.870208,0.829072,0.845703,0.854277,0.896717,0.909303,0.916642
Qwen2.5-0.5B,0.856442,0.852529,0.852306,1.000000,0.907542,0.903931,0.873778,0.876445,0.881723,0.855712,0.858960,0.848309
Qwen2.5-1.5B,0.865348,0.864096,0.864637,0.907542,1.000000,0.923291,0.882031,0.893370,0.902605,0.868317,0.873555,0.862572
Qwen2.5-3B,0.868868,0.865463,0.870208,0.903931,0.923291,1.000000,0.879621,0.890591,0.900271,0.870320,0.877763,0.868187
Llama3-1B,0.839815,0.832714,0.829072,0.873778,0.882031,0.879621,1.000000,0.897278,0.892147,0.834935,0.839263,0.832046
Llama3-3B,0.849006,0.844790,0.845703,0.876445,0.893370,0.890591,0.897278,1.000000,0.913007,0.845400,0.852000,0.845874
Llama3-8B,0.856343,0.853903,0.854277,0.881723,0.902605,0.900271,0.892147,0.913007,1.000000,0.853667,0.859255,0.855172
DeepSeek-1.5B,0.895621,0.895323,0.896717,0.855712,0.868317,0.870320,0.834935,0.845400,0.853667,1.000000,0.913141,0.911484
DeepSeek-7B,0.900151,0.905214,0.909303,0.858960,0.873555,0.877763,0.839263,0.852000,0.859255,0.913141,1.000000,0.924610
DeepSeek-14B,0.903064,0.909222,0.916642,0.848309,0.862572,0.868187,0.832046,0.845874,0.855172,0.911484,0.924610,1.000000
