solver,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Llama3-1B,Llama3-3B,Llama3-8B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B
Qwen3-0.6B,1.000000,0.877641,0.886109,0.147963,0.836842,0.805974,0.794378,0.784991,0.807738,0.516245,0.514109,0.867008
Qwen3-1.7B,0.877641,1.000000,0.903685,0.156272,0.811811,0.782848,0.767317,0.774238,0.776005,0.494684,0.488131,0.898755
Qwen3-4B,0.886109,0.903685,1.000000,0.150086,0.812791,0.777375,0.760239,0.779086,0.774831,0.496608,0.489006,0.899302
Qwen2.5-0.5B,0.147963,0.156272,0.150086,1.000000,0.207812,0.185722,0.236622,0.253426,0.221429,0.196601,0.208656,0.120037
Qwen2.5-1.5B,0.836842,0.811811,0.812791,0.207812,1.000000,0.853651,0.862134,0.830825,0.860628,0.502798,0.501441,0.785214
Qwen2.5-3B,0.805974,0.782848,0.777375,0.185722,0.853651,1.000000,0.818026,0.780197,0.825137,0.520223,0.518786,0.764319
Llama3-1B,0.794378,0.767317,0.760239,0.236622,0.862134,0.818026,1.000000,0.838073,0.890482,0.492648,0.502293,0.725264
Llama3-3B,0.784991,0.774238,0.779086,0.253426,0.830825,0.780197,0.838073,1.000000,0.838158,0.487639,0.497482,0.741911
Llama3-8B,0.807738,0.776005,0.774831,0.221429,0.860628,0.825137,0.890482,0.838158,1.000000,0.509698,0.519079,0.737083
DeepSeek-1.5B,0.516245,0.494684,0.496608,0.196601,0.502798,0.520223,0.492648,0.487639,0.509698,1.000000,0.573620,0.476754
DeepSeek-7B,0.514109,0.488131,0.489006,0.208656,0.501441,0.518786,0.502293,0.497482,0.519079,0.573620,1.000000,0.464215
DeepSeek-14B,0.867008,0.898755,0.899302,0.120037,0.785214,0.764319,0.725264,0.741911,0.737083,0.476754,0.464215,1.000000
