solver,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Llama3-1B,Llama3-3B,Llama3-8B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B
Qwen3-0.6B,1.000000,0.901584,0.890189,0.789722,0.370308,0.751025,0.785362,0.754289,0.824637,0.854618,0.847999,0.865852
Qwen3-1.7B,0.901584,1.000000,0.917649,0.762108,0.351656,0.731452,0.749686,0.737276,0.796936,0.839915,0.864869,0.859023
Qwen3-4B,0.890189,0.917649,1.000000,0.750694,0.383072,0.724863,0.737446,0.737143,0.821986,0.839668,0.821863,0.872448
Qwen2.5-0.5B,0.789722,0.762108,0.750694,1.000000,0.379237,0.740995,0.811107,0.782297,0.790551,0.744968,0.763182,0.755423
Qwen2.5-1.5B,0.370308,0.351656,0.383072,0.379237,1.000000,0.463340,0.344407,0.302106,0.385126,0.385003,0.381472,0.378835
Qwen2.5-3B,0.751025,0.731452,0.724863,0.740995,0.463340,1.000000,0.673523,0.694411,0.775100,0.730182,0.743016,0.738011
Llama3-1B,0.785362,0.749686,0.737446,0.811107,0.344407,0.673523,1.000000,0.771369,0.763609,0.735456,0.724020,0.735932
Llama3-3B,0.754289,0.737276,0.737143,0.782297,0.302106,0.694411,0.771369,1.000000,0.809977,0.709349,0.711532,0.742576
Llama3-8B,0.824637,0.796936,0.821986,0.790551,0.385126,0.775100,0.763609,0.809977,1.000000,0.796607,0.771149,0.819245
DeepSeek-1.5B,0.854618,0.839915,0.839668,0.744968,0.385003,0.730182,0.735456,0.709349,0.796607,1.000000,0.832225,0.835389
DeepSeek-7B,0.847999,0.864869,0.821863,0.763182,0.381472,0.743016,0.724020,0.711532,0.771149,0.832225,1.000000,0.833151
DeepSeek-14B,0.865852,0.859023,0.872448,0.755423,0.378835,0.738011,0.735932,0.742576,0.819245,0.835389,0.833151,1.000000
