solver,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Llama3-1B,Llama3-3B,Llama3-8B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B
Qwen3-0.6B,0.371495,0.160635,0.110543,-0.217640,-0.090445,-0.096964,-0.275287,-0.172962,-0.124793,0.127859,0.098860,0.108699
Qwen3-1.7B,0.213487,0.394774,0.241124,-0.273422,-0.144867,-0.143224,-0.330626,-0.215610,-0.159075,0.134203,0.136385,0.146852
Qwen3-4B,0.194544,0.261138,0.412479,-0.302852,-0.163845,-0.156384,-0.362976,-0.236507,-0.169914,0.151394,0.178606,0.194316
Qwen2.5-0.5B,-0.116626,-0.218081,-0.180105,0.281402,0.187004,0.114714,0.001051,-0.003223,-0.012080,-0.000834,-0.019935,-0.033287
Qwen2.5-1.5B,-0.120764,-0.171941,-0.151515,0.141264,0.244537,0.155450,-0.055629,-0.017677,-0.018039,0.019031,-0.004601,-0.020115
Qwen2.5-3B,-0.126668,-0.147506,-0.124278,0.103647,0.168366,0.242787,-0.095328,-0.038110,-0.027367,0.030735,0.017282,-0.003558
Llama3-1B,-0.081749,-0.202067,-0.114658,0.073576,0.097297,0.034343,0.240367,0.139738,0.103678,-0.077581,-0.100791,-0.112154
Llama3-3B,-0.103321,-0.201338,-0.118581,0.030681,0.092546,0.035892,0.127372,0.264014,0.159052,-0.079098,-0.098580,-0.108639
Llama3-8B,-0.074971,-0.123666,-0.067723,0.007230,0.067611,0.016627,0.045334,0.107837,0.183793,-0.044264,-0.047792,-0.070016
DeepSeek-1.5B,0.081831,0.018075,0.068960,-0.212187,-0.083988,-0.084816,-0.279727,-0.169559,-0.121734,0.312150,0.239974,0.231022
DeepSeek-7B,0.061402,0.026394,0.118487,-0.240254,-0.108288,-0.106768,-0.314814,-0.195035,-0.138905,0.260487,0.349294,0.288000
DeepSeek-14B,0.062396,0.031557,0.136070,-0.251605,-0.115425,-0.112498,-0.325063,-0.201802,-0.143492,0.259426,0.294733,0.365703
