solver,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Llama3-1B,Llama3-3B,Llama3-8B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B
Qwen3-0.6B,0.796217,-0.021651,-0.008025,-0.199854,-0.081797,-0.303893,-0.171414,-0.163739,-0.154609,0.212382,0.109778,-0.013395
Qwen3-1.7B,0.272373,0.761402,0.264657,-0.345254,-0.166199,-0.281729,-0.279908,-0.197575,-0.166286,0.031924,0.064020,0.042573
Qwen3-4B,0.189930,0.254776,0.775569,-0.378900,-0.181125,-0.267224,-0.301342,-0.176570,-0.120977,-0.021846,0.080261,0.147450
Qwen2.5-0.5B,-0.047824,-0.439358,-0.362219,0.692017,0.369708,0.036929,0.253131,0.024593,-0.003826,0.001046,-0.195515,-0.328682
Qwen2.5-1.5B,-0.155697,-0.337228,-0.298471,0.196161,0.556400,0.185782,0.163168,0.091250,0.097599,-0.115336,-0.153209,-0.230418
Qwen2.5-3B,-0.177619,-0.258305,-0.146821,0.055703,0.267264,0.492620,0.058901,0.104218,0.149551,-0.208263,-0.168496,-0.168753
Llama3-1B,-0.143927,-0.446111,-0.343821,0.166126,0.249156,0.027299,0.653512,0.299887,0.210311,-0.139620,-0.215986,-0.316826
Llama3-3B,-0.251235,-0.371188,-0.242092,0.003698,0.170034,0.089416,0.263504,0.639702,0.397065,-0.267275,-0.219166,-0.212462
Llama3-8B,-0.260082,-0.361501,-0.171097,-0.033673,0.152411,0.144747,0.186948,0.404329,0.592537,-0.291205,-0.221125,-0.142288
DeepSeek-1.5B,0.196387,-0.647017,-0.278851,-0.080731,0.041682,-0.239397,-0.053747,-0.117254,-0.092536,0.851096,0.303753,0.116616
DeepSeek-7B,0.082232,-0.513506,-0.129182,-0.282063,-0.068376,-0.238572,-0.178707,-0.144774,-0.072755,0.315054,0.921111,0.309539
DeepSeek-14B,0.007824,-0.442723,0.050699,-0.373198,-0.122106,-0.246408,-0.255463,-0.152369,-0.022389,0.210515,0.399899,0.945719
