solver,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Llama3-1B,Llama3-3B,Llama3-8B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B
Qwen3-0.6B,0.391080,0.081314,0.002142,-0.161406,-0.040388,-0.078709,-0.153741,-0.080333,-0.055426,0.069735,0.012855,0.012877
Qwen3-1.7B,0.141241,0.391947,0.149646,-0.240088,-0.102247,-0.105388,-0.211612,-0.114319,-0.069805,0.056519,0.047391,0.056716
Qwen3-4B,0.103427,0.193369,0.431049,-0.304228,-0.141132,-0.133330,-0.270423,-0.141796,-0.071766,0.077969,0.114881,0.141981
Qwen2.5-0.5B,-0.046438,-0.184029,-0.140444,0.320761,0.171051,0.047565,0.075721,0.021015,-0.018434,-0.056745,-0.095707,-0.094318
Qwen2.5-1.5B,-0.062066,-0.128188,-0.115044,0.088760,0.271137,0.099923,0.020670,0.034376,0.005636,-0.043530,-0.084077,-0.087596
Qwen2.5-3B,-0.092424,-0.112201,-0.090776,0.011491,0.144371,0.272285,-0.031277,0.033783,0.034510,-0.043655,-0.066034,-0.060071
Llama3-1B,-0.051251,-0.185964,-0.130698,0.075318,0.129996,-0.012832,0.360717,0.151283,0.056213,-0.097386,-0.143391,-0.152005
Llama3-3B,-0.112918,-0.137484,-0.092752,-0.049293,0.086571,0.018432,0.100280,0.347483,0.168851,-0.107882,-0.106810,-0.114478
Llama3-8B,-0.123948,-0.108787,-0.038698,-0.092018,0.052327,0.039483,0.026049,0.160519,0.297624,-0.093028,-0.069158,-0.050364
DeepSeek-1.5B,0.052154,-0.061407,-0.012164,-0.218103,-0.059896,-0.077703,-0.190766,-0.095618,-0.048868,0.381669,0.186339,0.144364
DeepSeek-7B,0.014839,-0.028429,0.095849,-0.313285,-0.125474,-0.116812,-0.274729,-0.138503,-0.058961,0.224227,0.460861,0.260419
DeepSeek-14B,-0.004254,-0.031131,0.149730,-0.354094,-0.148580,-0.133031,-0.306017,-0.148771,-0.052576,0.212318,0.298025,0.518379
