solver,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Llama3-1B,Llama3-3B,Llama3-8B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B
Qwen3-0.6B,0.519918,0.190449,0.179352,-0.221127,-0.096856,-0.200760,-0.344551,-0.242388,-0.217545,0.169320,0.134647,0.129541
Qwen3-1.7B,0.298001,0.526624,0.309647,-0.287264,-0.152901,-0.234019,-0.388965,-0.269623,-0.233894,0.143946,0.142427,0.146020
Qwen3-4B,0.275443,0.319293,0.552261,-0.320478,-0.172174,-0.246805,-0.419068,-0.287703,-0.241866,0.160158,0.184446,0.196493
Qwen2.5-0.5B,-0.095514,-0.222732,-0.205453,0.307318,0.217710,0.145978,0.001322,-0.009092,-0.035048,0.007372,-0.040187,-0.071673
Qwen2.5-1.5B,-0.118156,-0.166349,-0.162383,0.172565,0.247386,0.173435,-0.048059,-0.019368,-0.019793,0.011285,-0.021489,-0.049074
Qwen2.5-3B,-0.125727,-0.148869,-0.151887,0.137116,0.185764,0.243130,-0.072715,-0.029424,-0.014422,0.017596,-0.011112,-0.029449
Llama3-1B,-0.057648,-0.319988,-0.295220,0.104673,0.172715,-0.050000,0.376331,0.249645,0.153862,-0.064108,-0.113517,-0.156745
Llama3-3B,-0.117623,-0.271605,-0.240225,0.040721,0.149745,0.005039,0.202242,0.342128,0.244325,-0.088756,-0.111171,-0.154821
Llama3-8B,-0.121940,-0.230463,-0.198982,0.032768,0.132420,0.051015,0.135673,0.225976,0.310641,-0.101433,-0.104805,-0.130869
DeepSeek-1.5B,-0.023824,-0.115740,-0.116280,-0.040379,0.003989,-0.083223,-0.200882,-0.189617,-0.193734,0.406505,0.281928,0.271257
DeepSeek-7B,-0.021613,-0.106950,-0.052529,-0.098529,-0.031637,-0.103104,-0.241475,-0.201991,-0.191646,0.303557,0.420330,0.325588
DeepSeek-14B,-0.021451,-0.106584,-0.042868,-0.105268,-0.035047,-0.106986,-0.248134,-0.206615,-0.193548,0.300603,0.334492,0.431404
