solver,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Llama3-1B,Llama3-3B,Llama3-8B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B
Qwen3-0.6B,0.206779,0.082509,0.064329,-0.126689,-0.049655,-0.061003,-0.149763,-0.088130,-0.070284,0.073563,0.059578,0.058765
Qwen3-1.7B,0.114105,0.192501,0.118418,-0.148500,-0.071195,-0.076741,-0.170408,-0.101159,-0.077764,0.075232,0.072621,0.072890
Qwen3-4B,0.103270,0.120439,0.192795,-0.158517,-0.075047,-0.078781,-0.180756,-0.099174,-0.074429,0.077470,0.083244,0.089485
Qwen2.5-0.5B,-0.060446,-0.132463,-0.082921,0.153079,0.079834,0.023873,-0.003499,0.006372,-0.005734,0.012230,0.009855,-0.000179
Qwen2.5-1.5B,-0.049293,-0.050691,-0.037616,0.019681,0.056463,0.023592,-0.021540,0.011415,0.013129,0.018576,0.008410,0.007875
Qwen2.5-3B,-0.079704,-0.084597,-0.051390,0.028654,0.053835,0.067273,-0.036208,0.014107,0.015595,0.028396,0.022656,0.021383
Llama3-1B,-0.022940,-0.090451,-0.033852,0.023058,0.024999,-0.021032,0.129417,0.027762,0.021497,-0.020406,-0.014889,-0.023165
Llama3-3B,-0.017412,-0.041498,-0.027292,-0.004929,0.020888,0.010916,-0.012299,0.051932,0.030729,-0.001038,-0.004353,-0.005644
Llama3-8B,-0.026595,-0.023567,-0.014996,-0.018659,0.015846,0.013021,-0.017180,0.034701,0.052874,-0.006700,-0.002228,-0.006517
DeepSeek-1.5B,-0.042700,-0.051575,-0.034890,-0.013055,0.012971,-0.000447,-0.069120,-0.028985,-0.030463,0.108456,0.076231,0.073577
DeepSeek-7B,0.023550,-0.012606,0.032948,-0.100734,-0.036699,-0.045536,-0.125907,-0.069211,-0.047253,0.112993,0.147211,0.121245
DeepSeek-14B,0.018946,-0.003108,0.043277,-0.104332,-0.038642,-0.049925,-0.126730,-0.067242,-0.048140,0.107659,0.123527,0.144711
