solver,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Llama3-1B,Llama3-3B,Llama3-8B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B
Qwen3-0.6B,0.726611,0.006789,-0.021377,-0.184954,-0.052492,-0.216286,-0.170935,-0.129428,-0.120877,0.156854,0.049358,-0.043265
Qwen3-1.7B,0.228946,0.691338,0.248230,-0.319049,-0.128581,-0.201828,-0.270841,-0.164649,-0.126763,-0.001070,0.020269,0.023998
Qwen3-4B,0.149439,0.262092,0.711122,-0.368805,-0.145268,-0.192555,-0.299427,-0.154765,-0.089790,-0.047618,0.047211,0.128364
Qwen2.5-0.5B,-0.021794,-0.281059,-0.217771,0.527004,0.270770,0.044676,0.169342,0.033839,0.001065,-0.053604,-0.198546,-0.273921
Qwen2.5-1.5B,-0.090825,-0.187188,-0.153967,0.124130,0.424994,0.168522,0.072359,0.070951,0.071698,-0.125113,-0.158153,-0.217408
Qwen2.5-3B,-0.145726,-0.160917,-0.071827,0.018365,0.222748,0.414997,0.013700,0.083032,0.115116,-0.196040,-0.155071,-0.138378
Llama3-1B,-0.092786,-0.278720,-0.193797,0.107739,0.179320,0.020362,0.518231,0.246591,0.159269,-0.172441,-0.223351,-0.270416
Llama3-3B,-0.193976,-0.265016,-0.166020,-0.017367,0.148305,0.072155,0.226742,0.551289,0.338653,-0.263377,-0.211446,-0.219943
Llama3-8B,-0.214012,-0.252060,-0.105697,-0.050502,0.135358,0.127289,0.144647,0.332159,0.502031,-0.278473,-0.211435,-0.129306
DeepSeek-1.5B,0.165096,-0.432421,-0.227290,-0.113477,0.019193,-0.183514,-0.111326,-0.116452,-0.086822,0.764901,0.236842,0.085272
DeepSeek-7B,0.064087,-0.355790,-0.095346,-0.291767,-0.068967,-0.186006,-0.226923,-0.153139,-0.078767,0.269050,0.866222,0.257346
DeepSeek-14B,0.000902,-0.308264,0.072916,-0.390607,-0.115116,-0.189017,-0.293203,-0.154895,-0.023387,0.158581,0.335261,0.906827
