solver,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Llama3-1B,Llama3-3B,Llama3-8B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B
Qwen3-0.6B,0.582335,0.064533,0.035657,-0.198654,-0.069135,-0.190256,-0.211986,-0.143680,-0.127969,0.151655,0.072484,0.035018
Qwen3-1.7B,0.226501,0.568699,0.240759,-0.298880,-0.134633,-0.197658,-0.292831,-0.183686,-0.142670,0.070207,0.071072,0.073120
Qwen3-4B,0.178001,0.260205,0.596413,-0.346153,-0.158138,-0.205579,-0.329988,-0.193206,-0.129447,0.060757,0.113409,0.153727
Qwen2.5-0.5B,-0.060229,-0.288642,-0.224995,0.437707,0.235007,0.061771,0.122486,0.039360,-0.002757,-0.042642,-0.124178,-0.152889
Qwen2.5-1.5B,-0.104195,-0.197728,-0.170067,0.126303,0.342997,0.149362,0.033105,0.046754,0.044256,-0.051552,-0.093119,-0.126114
Qwen2.5-3B,-0.138577,-0.170713,-0.120894,0.048463,0.192393,0.325462,-0.018827,0.041693,0.062952,-0.069742,-0.070561,-0.081649
Llama3-1B,-0.082720,-0.305401,-0.232461,0.117370,0.163742,0.001752,0.450939,0.231516,0.143378,-0.110519,-0.172388,-0.205209
Llama3-3B,-0.164362,-0.264108,-0.202781,0.009188,0.136428,0.042740,0.195057,0.445269,0.267695,-0.153783,-0.152088,-0.159255
Llama3-8B,-0.174190,-0.226911,-0.134420,-0.034216,0.113210,0.088212,0.109729,0.255518,0.397777,-0.156686,-0.130668,-0.107353
DeepSeek-1.5B,0.096063,-0.263971,-0.126967,-0.160527,-0.023813,-0.142885,-0.173172,-0.123350,-0.099022,0.575159,0.261052,0.181434
DeepSeek-7B,0.030429,-0.224839,-0.022300,-0.268529,-0.088224,-0.156981,-0.256348,-0.160092,-0.102559,0.295023,0.645939,0.308480
DeepSeek-14B,0.028323,-0.210188,0.096049,-0.342423,-0.127089,-0.191882,-0.314410,-0.187288,-0.090778,0.269711,0.372718,0.697257
