solver,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Llama3-1B,Llama3-3B,Llama3-8B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B
Qwen3-0.6B,0.451006,0.115365,0.110933,-0.245030,-0.100834,-0.113862,-0.280330,-0.164366,-0.119291,0.144931,0.094943,0.106535
Qwen3-1.7B,0.222366,0.446843,0.246266,-0.312542,-0.163415,-0.152811,-0.332891,-0.201699,-0.138721,0.121676,0.123844,0.141083
Qwen3-4B,0.204737,0.260282,0.471575,-0.351987,-0.187019,-0.177179,-0.366247,-0.216317,-0.141245,0.136692,0.166243,0.200465
Qwen2.5-0.5B,-0.450738,-4.043523,-1.425260,1.938687,1.292199,0.593953,1.169153,0.314653,0.385495,0.246917,0.119706,-0.141241
Qwen2.5-1.5B,-0.054221,-0.172114,-0.097775,0.069930,0.187058,0.086416,0.013826,0.039339,0.034248,-0.010616,-0.038226,-0.057865
Qwen2.5-3B,-0.108332,-0.166314,-0.109890,0.020141,0.117777,0.200167,-0.037532,0.032739,0.040095,0.026721,0.000129,-0.015699
Llama3-1B,-0.064801,-0.232235,-0.122365,0.067330,0.098480,0.034697,0.262275,0.127102,0.095892,-0.075274,-0.086661,-0.104438
Llama3-3B,-0.087737,-0.247010,-0.133341,0.016379,0.106178,0.029502,0.093361,0.304477,0.167110,-0.056264,-0.070318,-0.122338
Llama3-8B,-0.101428,-0.226771,-0.088335,-0.038472,0.077489,0.067555,0.060773,0.155962,0.271980,-0.035111,-0.057819,-0.085823
DeepSeek-1.5B,-0.123816,-0.285262,-0.127592,0.044059,0.144030,0.108631,0.003120,0.062322,0.106267,-0.006732,0.041604,0.033366
DeepSeek-7B,0.505645,0.452288,0.521214,0.451412,0.263006,-0.078566,0.559695,0.530714,0.610513,-1.886874,0.452335,-2.381382
DeepSeek-14B,0.050699,-0.054890,0.141320,-0.307756,-0.142335,-0.124694,-0.315398,-0.155714,-0.081636,0.245426,0.306607,0.438371
