solver,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Llama3-1B,Llama3-3B,Llama3-8B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B
Qwen3-0.6B,0.300724,0.130573,0.116575,-0.253717,-0.124266,-0.096499,-0.242989,-0.119272,-0.048135,0.108809,0.109087,0.119111
Qwen3-1.7B,0.186398,0.302046,0.213771,-0.281035,-0.154894,-0.125059,-0.279884,-0.148058,-0.065391,0.097005,0.120548,0.134552
Qwen3-4B,0.185670,0.229976,0.322157,-0.294271,-0.165364,-0.132152,-0.298084,-0.158774,-0.073511,0.098728,0.132155,0.153471
Qwen2.5-0.5B,-0.010174,-0.133044,-0.051546,0.225386,0.108138,0.023859,0.037380,-0.012352,-0.015290,-0.070093,-0.034781,-0.067483
Qwen2.5-1.5B,-0.161719,-1.043581,-0.397189,0.368278,0.672679,-0.097946,0.147356,0.034240,0.009675,0.215054,0.126822,0.126331
Qwen2.5-3B,-0.005080,-0.059821,-0.024175,-0.006177,0.043795,0.101052,-0.035333,0.007319,0.014833,-0.018309,-0.009709,-0.008394
Llama3-1B,-0.071052,-0.144325,-0.089865,0.038939,0.065101,-0.014678,0.262513,0.118783,0.101261,-0.091760,-0.072210,-0.102706
Llama3-3B,-0.048061,-0.106861,-0.053724,-0.034552,0.033838,0.003260,0.042588,0.201414,0.116266,-0.059574,-0.045998,-0.048596
Llama3-8B,-0.016245,-0.029446,-0.010121,-0.020734,0.011890,0.009780,-0.011493,0.027838,0.069133,-0.019161,-0.002171,-0.009269
DeepSeek-1.5B,0.060324,-0.118332,-0.058657,-0.181287,-0.052533,-0.033145,-0.174876,-0.059647,-0.011731,0.316203,0.168479,0.145202
DeepSeek-7B,0.094304,-0.000401,0.074767,-0.251485,-0.117097,-0.089438,-0.253869,-0.115980,-0.043223,0.187496,0.296165,0.218763
DeepSeek-14B,0.101825,0.028884,0.117715,-0.278952,-0.137068,-0.105917,-0.286446,-0.137160,-0.049767,0.188118,0.240230,0.318539
