model,accuracy
Qwen3-0.6B-Base,0.025685
Qwen3-1.7B-Base,0.087068
Qwen3-4B-Base,0.271951
Qwen3-8B-Base,0.264198
Qwen3-14B-Base,0.347144
Qwen3-0.6B,0.565371
Qwen3-1.7B,0.935574
Qwen3-4B,0.978824
Qwen3-8B,0.978836
Qwen3-14B,0.981777
Qwen3-32B,0.983402
Qwen2.5-0.5B-Base,0.007614
Qwen2.5-1.5B-Base,0.024752
Qwen2.5-3B-Base,0.084223
Qwen2.5-7B-Base,0.227160
Qwen2.5-14B-Base,0.192220
Qwen2.5-32B-Base,0.239548
Qwen2.5-72B-Base,0.430605
Qwen2.5-0.5B,0.012956
Qwen2.5-1.5B,0.053107
Qwen2.5-3B,0.144695
Qwen2.5-7B,0.223404
Qwen2.5-14B,0.269556
Qwen2.5-32B,0.295238
Qwen2.5-72B,0.300106
Llama3-1B-Base,0.000000
Llama3-3B-Base,0.000000
Llama3-8B-Base,0.000000
Llama3-70B-Base,0.047619
Llama3-1B,0.033206
Llama3-3B,0.127934
Llama3-8B,0.121255
Llama3-70B,0.414118
DeepSeek-1.5B,0.787879
DeepSeek-7B,0.931777
DeepSeek-14B,0.936027
DeepSeek-32B,0.956240
