model,accuracy
Qwen3-0.6B-Base,0.454545
Qwen3-1.7B-Base,0.333333
Qwen3-4B-Base,0.703812
Qwen3-8B-Base,0.751701
Qwen3-14B-Base,0.820225
Qwen3-0.6B,0.563929
Qwen3-1.7B,0.744128
Qwen3-4B,0.800000
Qwen3-8B,0.828010
Qwen3-14B,0.844710
Qwen3-32B,0.849010
Qwen2.5-0.5B-Base,0.222222
Qwen2.5-1.5B-Base,0.444444
Qwen2.5-3B-Base,0.622951
Qwen2.5-7B-Base,0.759791
Qwen2.5-14B-Base,0.768595
Qwen2.5-32B-Base,0.797737
Qwen2.5-72B-Base,0.828014
Qwen2.5-0.5B,0.360697
Qwen2.5-1.5B,0.547826
Qwen2.5-3B,0.697674
Qwen2.5-7B,0.802875
Qwen2.5-14B,0.811805
Qwen2.5-32B,0.855513
Qwen2.5-72B,0.848329
Llama3-1B-Base,0.125000
Llama3-3B-Base,0.071429
Llama3-8B-Base,0.230769
Llama3-70B-Base,0.342857
Llama3-1B,0.417910
Llama3-3B,0.665154
Llama3-8B,0.727362
Llama3-70B,0.818482
DeepSeek-1.5B,0.476190
DeepSeek-7B,0.545455
DeepSeek-14B,0.801153
DeepSeek-32B,0.782258
