model,accuracy
Qwen3-0.6B-Base,0.484848
Qwen3-1.7B-Base,0.428571
Qwen3-4B-Base,0.743455
Qwen3-8B-Base,0.709677
Qwen3-14B-Base,0.833333
Qwen3-0.6B,0.569966
Qwen3-1.7B,0.777049
Qwen3-4B,0.859016
Qwen3-8B,0.898361
Qwen3-14B,0.904290
Qwen3-32B,0.882736
Qwen2.5-0.5B-Base,0.000000
Qwen2.5-1.5B-Base,0.545455
Qwen2.5-3B-Base,0.482759
Qwen2.5-7B-Base,0.712500
Qwen2.5-14B-Base,0.682119
Qwen2.5-32B-Base,0.828452
Qwen2.5-72B-Base,0.814159
Qwen2.5-0.5B,0.323944
Qwen2.5-1.5B,0.527897
Qwen2.5-3B,0.706767
Qwen2.5-7B,0.800000
Qwen2.5-14B,0.851974
Qwen2.5-32B,0.821168
Qwen2.5-72B,0.857651
Llama3-1B-Base,0.000000
Llama3-3B-Base,0.000000
Llama3-8B-Base,0.000000
Llama3-70B-Base,0.692308
Llama3-1B,0.340426
Llama3-3B,0.585551
Llama3-8B,0.758242
Llama3-70B,0.858553
DeepSeek-1.5B,0.117647
DeepSeek-7B,0.521739
DeepSeek-14B,0.792208
DeepSeek-32B,0.897436
