model,accuracy
Qwen3-0.6B-Base,0.363636
Qwen3-1.7B-Base,0.232558
Qwen3-4B-Base,0.550000
Qwen3-8B-Base,0.360656
Qwen3-14B-Base,0.596552
Qwen3-0.6B,0.583893
Qwen3-1.7B,0.798658
Qwen3-4B,0.864078
Qwen3-8B,0.903226
Qwen3-14B,0.898361
Qwen3-32B,0.903846
Qwen2.5-0.5B-Base,0.000000
Qwen2.5-1.5B-Base,0.076923
Qwen2.5-3B-Base,0.263736
Qwen2.5-7B-Base,0.470199
Qwen2.5-14B-Base,0.478469
Qwen2.5-32B-Base,0.511719
Qwen2.5-72B-Base,0.523810
Qwen2.5-0.5B,0.163462
Qwen2.5-1.5B,0.309160
Qwen2.5-3B,0.394834
Qwen2.5-7B,0.525952
Qwen2.5-14B,0.625806
Qwen2.5-32B,0.602076
Qwen2.5-72B,0.586207
Llama3-1B-Base,0.200000
Llama3-3B-Base,0.000000
Llama3-8B-Base,0.000000
Llama3-70B-Base,0.347826
Llama3-1B,0.238636
Llama3-3B,0.457364
Llama3-8B,0.505618
Llama3-70B,0.606452
DeepSeek-1.5B,0.394231
DeepSeek-7B,0.574324
DeepSeek-14B,0.804020
DeepSeek-32B,0.727273
