model,accuracy
Qwen3-0.6B-Base,0.155844
Qwen3-1.7B-Base,0.019481
Qwen3-4B-Base,0.461039
Qwen3-8B-Base,0.285714
Qwen3-14B-Base,0.730519
Qwen3-0.6B,0.542208
Qwen3-1.7B,0.769481
Qwen3-4B,0.850649
Qwen3-8B,0.889610
Qwen3-14B,0.889610
Qwen3-32B,0.879870
Qwen2.5-0.5B-Base,0.000000
Qwen2.5-1.5B-Base,0.019481
Qwen2.5-3B-Base,0.090909
Qwen2.5-7B-Base,0.370130
Qwen2.5-14B-Base,0.334416
Qwen2.5-32B-Base,0.642857
Qwen2.5-72B-Base,0.597403
Qwen2.5-0.5B,0.149351
Qwen2.5-1.5B,0.399351
Qwen2.5-3B,0.610390
Qwen2.5-7B,0.740260
Qwen2.5-14B,0.840909
Qwen2.5-32B,0.730519
Qwen2.5-72B,0.782468
Llama3-1B-Base,0.000000
Llama3-3B-Base,0.000000
Llama3-8B-Base,0.000000
Llama3-70B-Base,0.029221
Llama3-1B,0.051948
Llama3-3B,0.500000
Llama3-8B,0.672078
Llama3-70B,0.847403
DeepSeek-1.5B,0.006494
DeepSeek-7B,0.038961
DeepSeek-14B,0.198052
DeepSeek-32B,0.113636
