model,accuracy
Qwen3-0.6B-Base,0.151899
Qwen3-1.7B-Base,0.031646
Qwen3-4B-Base,0.348101
Qwen3-8B-Base,0.139241
Qwen3-14B-Base,0.547468
Qwen3-0.6B,0.550633
Qwen3-1.7B,0.753165
Qwen3-4B,0.844937
Qwen3-8B,0.886076
Qwen3-14B,0.867089
Qwen3-32B,0.892405
Qwen2.5-0.5B-Base,0.000000
Qwen2.5-1.5B-Base,0.003165
Qwen2.5-3B-Base,0.075949
Qwen2.5-7B-Base,0.224684
Qwen2.5-14B-Base,0.316456
Qwen2.5-32B-Base,0.414557
Qwen2.5-72B-Base,0.417722
Qwen2.5-0.5B,0.107595
Qwen2.5-1.5B,0.256329
Qwen2.5-3B,0.338608
Qwen2.5-7B,0.481013
Qwen2.5-14B,0.613924
Qwen2.5-32B,0.550633
Qwen2.5-72B,0.537975
Llama3-1B-Base,0.003165
Llama3-3B-Base,0.000000
Llama3-8B-Base,0.000000
Llama3-70B-Base,0.025316
Llama3-1B,0.066456
Llama3-3B,0.373418
Llama3-8B,0.427215
Llama3-70B,0.594937
DeepSeek-1.5B,0.129747
DeepSeek-7B,0.268987
DeepSeek-14B,0.506329
DeepSeek-32B,0.354430
