model,filter_rate
Qwen3-0.6B-Base,0.393562
Qwen3-1.7B-Base,0.188993
Qwen3-4B-Base,0.148494
Qwen3-8B-Base,0.158879
Qwen3-14B-Base,0.072690
Qwen3-0.6B,0.706127
Qwen3-1.7B,0.629283
Qwen3-4B,0.558671
Qwen3-8B,0.607477
Qwen3-14B,0.544133
Qwen3-32B,0.499481
Qwen2.5-0.5B-Base,0.181724
Qwen2.5-1.5B-Base,0.790239
Qwen2.5-3B-Base,0.124611
Qwen2.5-7B-Base,0.158879
Qwen2.5-14B-Base,0.092420
Qwen2.5-32B-Base,0.080997
Qwen2.5-72B-Base,0.124611
Qwen2.5-0.5B,0.118380
Qwen2.5-1.5B,0.080997
Qwen2.5-3B,0.031153
Qwen2.5-7B,0.023884
Qwen2.5-14B,0.017653
Qwen2.5-32B,0.018692
Qwen2.5-72B,0.020768
Llama3-1B-Base,0.996885
Llama3-3B-Base,0.985462
Llama3-8B-Base,0.973001
Llama3-70B-Base,0.956386
Llama3-1B,0.186916
Llama3-3B,0.115265
Llama3-8B,0.272066
Llama3-70B,0.117342
DeepSeek-1.5B,0.588785
DeepSeek-7B,0.421599
DeepSeek-14B,0.383178
DeepSeek-32B,0.359294
