model,filter_rate
Qwen3-0.6B-Base,0.963964
Qwen3-1.7B-Base,0.992629
Qwen3-4B-Base,0.720721
Qwen3-8B-Base,0.759214
Qwen3-14B-Base,0.416871
Qwen3-0.6B,0.032760
Qwen3-1.7B,0.023751
Qwen3-4B,0.000819
Qwen3-8B,0.000000
Qwen3-14B,0.040131
Qwen3-32B,0.007371
Qwen2.5-0.5B-Base,0.992629
Qwen2.5-1.5B-Base,0.992629
Qwen2.5-3B-Base,0.950041
Qwen2.5-7B-Base,0.372645
Qwen2.5-14B-Base,0.801802
Qwen2.5-32B-Base,0.420966
Qwen2.5-72B-Base,0.538084
Qwen2.5-0.5B,0.670762
Qwen2.5-1.5B,0.717445
Qwen2.5-3B,0.612613
Qwen2.5-7B,0.202293
Qwen2.5-14B,0.042588
Qwen2.5-32B,0.569206
Qwen2.5-72B,0.362817
Llama3-1B-Base,0.993448
Llama3-3B-Base,0.977068
Llama3-8B-Base,0.978706
Llama3-70B-Base,0.971335
Llama3-1B,0.780508
Llama3-3B,0.097461
Llama3-8B,0.167895
Llama3-70B,0.007371
DeepSeek-1.5B,0.982801
DeepSeek-7B,0.981982
DeepSeek-14B,0.715807
DeepSeek-32B,0.898444
