model,filter_rate
Qwen3-0.6B-Base,0.696970
Qwen3-1.7B-Base,0.863636
Qwen3-4B-Base,0.272727
Qwen3-8B-Base,0.621212
Qwen3-14B-Base,0.131313
Qwen3-0.6B,0.282828
Qwen3-1.7B,0.580808
Qwen3-4B,0.520202
Qwen3-8B,0.520202
Qwen3-14B,0.434343
Qwen3-32B,0.409091
Qwen2.5-0.5B-Base,0.919192
Qwen2.5-1.5B-Base,0.934343
Qwen2.5-3B-Base,0.570707
Qwen2.5-7B-Base,0.717172
Qwen2.5-14B-Base,0.338384
Qwen2.5-32B-Base,0.202020
Qwen2.5-72B-Base,0.141414
Qwen2.5-0.5B,0.368687
Qwen2.5-1.5B,0.131313
Qwen2.5-3B,0.116162
Qwen2.5-7B,0.065657
Qwen2.5-14B,0.035354
Qwen2.5-32B,0.075758
Qwen2.5-72B,0.111111
Llama3-1B-Base,1.000000
Llama3-3B-Base,0.989899
Llama3-8B-Base,0.994949
Llama3-70B-Base,0.919192
Llama3-1B,0.797980
Llama3-3B,0.297980
Llama3-8B,0.318182
Llama3-70B,0.106061
DeepSeek-1.5B,0.934343
DeepSeek-7B,0.782828
DeepSeek-14B,0.500000
DeepSeek-32B,0.555556
