model,filter_rate
Qwen3-0.6B-Base,0.705838
Qwen3-1.7B-Base,0.523124
Qwen3-4B-Base,0.152388
Qwen3-8B-Base,0.212282
Qwen3-14B-Base,0.059894
Qwen3-0.6B,0.023503
Qwen3-1.7B,0.012889
Qwen3-4B,0.009098
Qwen3-8B,0.012889
Qwen3-14B,0.006065
Qwen3-32B,0.004549
Qwen2.5-0.5B-Base,0.848370
Qwen2.5-1.5B-Base,0.941622
Qwen2.5-3B-Base,0.268385
Qwen2.5-7B-Base,0.166793
Qwen2.5-14B-Base,0.003791
Qwen2.5-32B-Base,0.007582
Qwen2.5-72B-Base,0.017437
Qwen2.5-0.5B,0.048522
Qwen2.5-1.5B,0.009098
Qwen2.5-3B,0.000758
Qwen2.5-7B,0.000000
Qwen2.5-14B,0.000758
Qwen2.5-32B,0.000000
Qwen2.5-72B,0.000758
Llama3-1B-Base,0.988628
Llama3-3B-Base,0.974223
Llama3-8B-Base,0.990902
Llama3-70B-Base,0.984837
Llama3-1B,0.890826
Llama3-3B,0.204701
Llama3-8B,0.046247
Llama3-70B,0.016679
DeepSeek-1.5B,0.004549
DeepSeek-7B,0.005307
DeepSeek-14B,0.003033
DeepSeek-32B,0.000758
