model,filter_rate
Qwen3-0.6B-Base,0.827000
Qwen3-1.7B-Base,0.001000
Qwen3-4B-Base,0.504000
Qwen3-8B-Base,0.000000
Qwen3-14B-Base,0.000000
Qwen3-0.6B,0.044000
Qwen3-1.7B,0.005000
Qwen3-4B,0.000000
Qwen3-8B,0.000000
Qwen3-14B,0.000000
Qwen3-32B,0.000000
Qwen2.5-0.5B-Base,0.106000
Qwen2.5-1.5B-Base,0.000000
Qwen2.5-3B-Base,0.102000
Qwen2.5-7B-Base,0.040000
Qwen2.5-14B-Base,0.000000
Qwen2.5-32B-Base,0.000000
Qwen2.5-72B-Base,0.000000
Qwen2.5-0.5B,0.133000
Qwen2.5-1.5B,0.000000
Qwen2.5-3B,0.000000
Qwen2.5-7B,0.000000
Qwen2.5-14B,0.000000
Qwen2.5-32B,0.000000
Qwen2.5-72B,0.000000
Llama3-1B-Base,1.000000
Llama3-3B-Base,1.000000
Llama3-8B-Base,1.000000
Llama3-70B-Base,1.000000
Llama3-1B,0.359000
Llama3-3B,0.030000
Llama3-8B,0.006000
Llama3-70B,0.000000
DeepSeek-1.5B,0.006000
DeepSeek-7B,0.002000
DeepSeek-14B,0.000000
DeepSeek-32B,0.001000
