model,filter_rate
Qwen3-0.6B-Base,0.678571
Qwen3-1.7B-Base,0.954545
Qwen3-4B-Base,0.379870
Qwen3-8B-Base,0.597403
Qwen3-14B-Base,0.123377
Qwen3-0.6B,0.048701
Qwen3-1.7B,0.009740
Qwen3-4B,0.009740
Qwen3-8B,0.009740
Qwen3-14B,0.016234
Qwen3-32B,0.003247
Qwen2.5-0.5B-Base,0.993506
Qwen2.5-1.5B-Base,0.964286
Qwen2.5-3B-Base,0.811688
Qwen2.5-7B-Base,0.480519
Qwen2.5-14B-Base,0.509740
Qwen2.5-32B-Base,0.224026
Qwen2.5-72B-Base,0.266234
Qwen2.5-0.5B,0.538961
Qwen2.5-1.5B,0.243506
Qwen2.5-3B,0.136364
Qwen2.5-7B,0.074675
Qwen2.5-14B,0.012987
Qwen2.5-32B,0.110390
Qwen2.5-72B,0.087662
Llama3-1B-Base,1.000000
Llama3-3B-Base,0.990260
Llama3-8B-Base,0.996753
Llama3-70B-Base,0.957792
Llama3-1B,0.847403
Llama3-3B,0.146104
Llama3-8B,0.113636
Llama3-70B,0.012987
DeepSeek-1.5B,0.944805
DeepSeek-7B,0.925325
DeepSeek-14B,0.750000
DeepSeek-32B,0.873377
