model,filter_rate
Qwen3-0.6B-Base,0.582278
Qwen3-1.7B-Base,0.863924
Qwen3-4B-Base,0.367089
Qwen3-8B-Base,0.613924
Qwen3-14B-Base,0.082278
Qwen3-0.6B,0.056962
Qwen3-1.7B,0.056962
Qwen3-4B,0.022152
Qwen3-8B,0.018987
Qwen3-14B,0.034810
Qwen3-32B,0.012658
Qwen2.5-0.5B-Base,0.917722
Qwen2.5-1.5B-Base,0.958861
Qwen2.5-3B-Base,0.712025
Qwen2.5-7B-Base,0.522152
Qwen2.5-14B-Base,0.338608
Qwen2.5-32B-Base,0.189873
Qwen2.5-72B-Base,0.202532
Qwen2.5-0.5B,0.341772
Qwen2.5-1.5B,0.170886
Qwen2.5-3B,0.142405
Qwen2.5-7B,0.085443
Qwen2.5-14B,0.018987
Qwen2.5-32B,0.085443
Qwen2.5-72B,0.082278
Llama3-1B-Base,0.984177
Llama3-3B-Base,0.990506
Llama3-8B-Base,0.996835
Llama3-70B-Base,0.927215
Llama3-1B,0.721519
Llama3-3B,0.183544
Llama3-8B,0.155063
Llama3-70B,0.018987
DeepSeek-1.5B,0.670886
DeepSeek-7B,0.531646
DeepSeek-14B,0.370253
DeepSeek-32B,0.512658
