model,filter_rate
Qwen3-0.6B-Base,0.036000
Qwen3-1.7B-Base,0.064000
Qwen3-4B-Base,0.060000
Qwen3-8B-Base,0.319000
Qwen3-14B-Base,0.028000
Qwen3-0.6B,0.614000
Qwen3-1.7B,0.043000
Qwen3-4B,0.005000
Qwen3-8B,0.014000
Qwen3-14B,0.006000
Qwen3-32B,0.043000
Qwen2.5-0.5B-Base,0.568000
Qwen2.5-1.5B-Base,0.652000
Qwen2.5-3B-Base,0.175000
Qwen2.5-7B-Base,0.000000
Qwen2.5-14B-Base,0.124000
Qwen2.5-32B-Base,0.021000
Qwen2.5-72B-Base,0.004000
Qwen2.5-0.5B,0.307000
Qwen2.5-1.5B,0.000000
Qwen2.5-3B,0.029000
Qwen2.5-7B,0.008000
Qwen2.5-14B,0.003000
Qwen2.5-32B,0.000000
Qwen2.5-72B,0.000000
Llama3-1B-Base,1.000000
Llama3-3B-Base,1.000000
Llama3-8B-Base,1.000000
Llama3-70B-Base,1.000000
Llama3-1B,0.680000
Llama3-3B,0.430000
Llama3-8B,0.809000
Llama3-70B,0.435000
DeepSeek-1.5B,0.954000
DeepSeek-7B,0.252000
DeepSeek-14B,0.044000
DeepSeek-32B,0.026000
