solver,Qwen3-0.6B-Base,Qwen3-1.7B-Base,Qwen3-4B-Base,Qwen3-8B-Base,Qwen3-14B-Base,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen3-8B,Qwen3-14B,Qwen3-32B,Qwen2.5-0.5B-Base,Qwen2.5-1.5B-Base,Qwen2.5-3B-Base,Qwen2.5-7B-Base,Qwen2.5-14B-Base,Qwen2.5-32B-Base,Qwen2.5-72B-Base,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Qwen2.5-7B,Qwen2.5-14B,Qwen2.5-32B,Qwen2.5-72B,Llama3-1B-Base,Llama3-3B-Base,Llama3-8B-Base,Llama3-70B-Base,Llama3-1B,Llama3-3B,Llama3-8B,Llama3-70B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B,DeepSeek-32B
Qwen3-0.6B-Base,0.785455,0.757426,0.678119,0.736746,0.818182,0.799270,0.916190,0.951417,0.974414,0.970874,0.976608,0.747283,0.482143,0.891626,0.649254,0.776364,0.796134,0.607143,0.721040,0.565126,0.492174,0.639794,0.783505,0.839931,0.804124,0.000000,0.000000,0.000000,0.000000,0.763636,0.752768,0.788350,0.736380,0.940860,0.954902,0.957230,0.945565
Qwen3-1.7B-Base,0.801598,0.684028,0.539974,0.487582,0.566013,0.649867,0.885675,0.953172,0.963259,0.965616,0.965318,0.879182,0.601695,0.838938,0.509485,0.619236,0.617571,0.355670,0.809346,0.427128,0.282216,0.318357,0.585147,0.622108,0.668387,0.000000,0.000000,0.000000,0.000000,0.753968,0.654618,0.704965,0.622739,0.883459,0.935933,0.923631,0.946667
Qwen3-4B-Base,0.458388,0.666667,0.448750,0.544654,0.512947,0.643489,0.820645,0.921397,0.919937,0.938017,0.909091,0.514523,0.540816,0.707031,0.494872,0.573566,0.546798,0.388957,0.713462,0.598266,0.454657,0.369963,0.489024,0.529268,0.462103,0.000000,0.000000,0.000000,0.000000,0.692913,0.535623,0.596538,0.543424,0.795848,0.847914,0.885714,0.876022
Qwen3-8B-Base,0.663706,0.652252,0.620513,0.679270,0.681250,0.658660,0.863214,0.930163,0.931402,0.951909,0.938804,0.647166,0.655462,0.707278,0.565841,0.715561,0.703379,0.595985,0.590083,0.504323,0.420074,0.564198,0.658838,0.658838,0.652228,0.000000,0.000000,0.000000,0.000000,0.652330,0.631579,0.654008,0.604506,0.813531,0.888736,0.912181,0.918994
Qwen3-14B-Base,0.622146,0.644068,0.574053,0.639860,0.657303,0.682594,0.832936,0.919481,0.934813,0.932099,0.931677,0.581433,0.464789,0.654519,0.601399,0.693182,0.685039,0.529478,0.648986,0.528061,0.406074,0.492705,0.636058,0.627100,0.626126,0.000000,0.000000,0.000000,0.000000,0.597156,0.581176,0.609459,0.600907,0.765579,0.863354,0.886220,0.889586
Qwen3-0.6B,0.476744,0.470968,0.422131,0.562753,0.557143,0.586364,0.576087,0.584229,0.615658,0.643110,0.652482,0.475000,0.625000,0.414343,0.586066,0.517699,0.658273,0.602888,0.448430,0.604651,0.583039,0.593640,0.618375,0.618375,0.618375,0.000000,0.000000,0.000000,0.000000,0.426230,0.600719,0.620567,0.604240,0.542986,0.556738,0.609929,0.621908
Qwen3-1.7B,0.304147,0.158470,0.110390,0.570064,0.562147,0.901099,0.672515,0.914773,0.812325,0.932773,0.941176,0.493151,0.538462,0.147157,0.430380,0.137795,0.915014,0.913295,0.143357,0.853293,0.901685,0.915966,0.921569,0.938375,0.932773,0.000000,0.000000,0.000000,0.000000,0.514286,0.920904,0.854286,0.932773,0.667897,0.873950,0.926761,0.938375
Qwen3-4B,0.284047,0.098712,0.071618,0.625654,0.608491,0.910494,0.741379,0.950355,0.858824,0.976415,0.974118,0.468085,0.406977,0.127027,0.493438,0.126246,0.966981,0.952153,0.098266,0.871212,0.933649,0.969412,0.981176,0.976471,0.976471,0.000000,0.000000,0.000000,0.000000,0.546667,0.963942,0.928230,0.976471,0.748485,0.908235,0.973934,0.974118
Qwen3-8B,0.322581,0.121359,0.073016,0.619883,0.601064,0.910653,0.760331,0.946381,0.835979,0.978780,0.976190,0.491124,0.459459,0.186335,0.470930,0.113074,0.959786,0.973262,0.100324,0.887906,0.936340,0.976190,0.976190,0.978836,0.978836,0.000000,0.000000,0.000000,0.000000,0.611111,0.975936,0.931217,0.973545,0.677741,0.912000,0.973545,0.978836
Qwen3-14B,0.338129,0.130802,0.053908,0.658163,0.636986,0.918367,0.736342,0.949541,0.888383,0.979499,0.981777,0.531250,0.423077,0.140541,0.525253,0.143770,0.960557,0.969484,0.101449,0.893300,0.940367,0.972665,0.979499,0.981777,0.981777,0.000000,0.000000,0.000000,0.000000,0.712871,0.974654,0.919169,0.979452,0.682099,0.917995,0.981609,0.979499
Qwen3-32B,0.297125,0.152941,0.063529,0.626147,0.652807,0.937337,0.749460,0.958071,0.862500,0.987552,0.987552,0.523585,0.444444,0.170264,0.509390,0.160458,0.970650,0.977035,0.104592,0.909513,0.943515,0.979253,0.983402,0.985477,0.985477,0.000000,0.000000,0.000000,0.000000,0.600000,0.970650,0.949474,0.983402,0.692506,0.916667,0.985477,0.987552
Qwen2.5-0.5B-Base,0.905836,0.805944,0.782956,0.824632,0.942559,0.872093,0.973580,0.987569,0.991477,0.990765,0.989175,0.917563,0.595238,0.901361,0.584677,0.887863,0.939589,0.809399,0.836522,0.510608,0.370229,0.727041,0.896947,0.940355,0.929668,0.000000,0.000000,0.000000,0.000000,0.787330,0.789333,0.890157,0.904215,0.953571,0.983718,0.982094,0.986188
Qwen2.5-1.5B-Base,0.867550,0.910256,0.919255,0.892405,0.953846,0.864130,0.926966,0.980519,0.959459,0.970414,0.994083,0.571429,0.530864,0.916667,0.804233,0.927374,0.860963,0.840206,0.800000,0.796610,0.773869,0.860697,0.875622,0.910448,0.904523,0.000000,0.000000,0.000000,0.000000,0.657143,0.854430,0.858896,0.852792,0.956835,0.919786,0.954023,0.994444
Qwen2.5-3B-Base,0.830073,0.744792,0.581595,0.630408,0.691756,0.668299,0.895859,0.952381,0.966717,0.976934,0.963415,0.853571,0.373333,0.809748,0.483951,0.715854,0.739496,0.511323,0.788296,0.492598,0.236842,0.431116,0.637337,0.665480,0.691299,0.000000,0.000000,0.000000,0.000000,0.719870,0.633540,0.698391,0.630513,0.887640,0.925295,0.924630,0.934959
Qwen2.5-7B-Base,0.657516,0.646362,0.532911,0.478261,0.515038,0.657692,0.862534,0.921922,0.933775,0.947902,0.916193,0.715667,0.493827,0.736559,0.474968,0.593434,0.496879,0.333333,0.723938,0.492690,0.356608,0.367120,0.504938,0.488257,0.566832,0.000000,0.000000,0.000000,0.000000,0.682353,0.596104,0.606906,0.500000,0.833031,0.864828,0.885269,0.904486
Qwen2.5-14B-Base,0.758460,0.721170,0.598086,0.662621,0.735805,0.662750,0.869193,0.950000,0.960563,0.962821,0.944301,0.755700,0.545455,0.735336,0.577830,0.741135,0.788863,0.655852,0.685714,0.534550,0.329897,0.524628,0.656751,0.707094,0.709049,0.000000,0.000000,0.000000,0.000000,0.675768,0.667467,0.705179,0.677419,0.815431,0.903771,0.928854,0.935271
Qwen2.5-32B-Base,0.724855,0.723473,0.620098,0.730445,0.782066,0.684455,0.863415,0.925828,0.945714,0.953964,0.932584,0.694444,0.539326,0.746818,0.628070,0.756919,0.748565,0.680233,0.533019,0.526316,0.414496,0.603175,0.713801,0.668552,0.697727,0.000000,0.000000,0.000000,0.000000,0.730769,0.703297,0.699355,0.639816,0.829412,0.906210,0.910371,0.930323
Qwen2.5-72B-Base,0.563218,0.639515,0.551345,0.572650,0.598558,0.638686,0.825032,0.911017,0.927711,0.932507,0.923181,0.548276,0.531469,0.567812,0.587578,0.628606,0.609581,0.504172,0.610586,0.546479,0.503571,0.508897,0.604982,0.603796,0.607610,0.000000,0.000000,0.000000,0.000000,0.576471,0.540943,0.577608,0.608592,0.726210,0.846351,0.875668,0.892761
Qwen2.5-0.5B,0.910951,0.743349,0.720049,0.840796,0.933571,0.876960,0.973171,0.992337,0.991925,0.992611,0.990012,0.940663,0.641975,0.879518,0.609181,0.917676,0.970449,0.915357,0.854740,0.453247,0.344379,0.696217,0.926714,0.961131,0.961995,0.000000,0.000000,0.000000,0.000000,0.817352,0.829787,0.894665,0.907253,0.951863,0.987484,0.985987,0.988342
Qwen2.5-1.5B,0.879863,0.733945,0.613689,0.697842,0.817768,0.752601,0.953271,0.986335,0.989474,0.987908,0.990279,0.889262,0.701299,0.834758,0.585424,0.831591,0.910329,0.737875,0.845220,0.478819,0.246032,0.472789,0.827469,0.866667,0.867045,0.000000,0.000000,0.000000,0.000000,0.752252,0.738351,0.787958,0.770642,0.919236,0.971014,0.976190,0.977301
Qwen2.5-3B,0.804372,0.699045,0.591257,0.616423,0.686359,0.682314,0.895973,0.964548,0.968750,0.967290,0.966507,0.769231,0.594203,0.757739,0.554204,0.731360,0.799136,0.564885,0.786730,0.489796,0.262594,0.386924,0.652361,0.693462,0.699353,0.000000,0.000000,0.000000,0.000000,0.723404,0.632000,0.656716,0.600872,0.838710,0.924419,0.935561,0.939394
Qwen2.5-7B,0.741658,0.741641,0.590611,0.603583,0.668443,0.659091,0.868304,0.932530,0.949468,0.956151,0.945368,0.711290,0.609375,0.716931,0.573610,0.744287,0.759062,0.536717,0.732938,0.556480,0.318085,0.423855,0.585912,0.615957,0.566239,0.000000,0.000000,0.000000,0.000000,0.675277,0.591581,0.675573,0.578664,0.785714,0.889019,0.904421,0.910165
Qwen2.5-14B,0.694624,0.698462,0.598263,0.576063,0.643617,0.645022,0.853741,0.931280,0.937166,0.951749,0.941520,0.668702,0.546512,0.688546,0.586667,0.681425,0.706070,0.501604,0.699413,0.541913,0.342857,0.437500,0.538136,0.573996,0.569459,0.000000,0.000000,0.000000,0.000000,0.591603,0.598224,0.642409,0.556745,0.814607,0.879769,0.899879,0.887255
Qwen2.5-32B,0.667742,0.696049,0.606061,0.600667,0.646809,0.657358,0.844345,0.916667,0.942105,0.948478,0.938967,0.680187,0.452055,0.677707,0.580752,0.687031,0.698514,0.537393,0.682891,0.512019,0.383475,0.462434,0.580508,0.562963,0.580508,0.000000,0.000000,0.000000,0.000000,0.561338,0.586475,0.661597,0.577375,0.771429,0.883803,0.886228,0.898465
Qwen2.5-72B,0.684946,0.710265,0.610811,0.630872,0.658874,0.651515,0.841639,0.922711,0.941406,0.950877,0.928655,0.632378,0.478261,0.657068,0.586169,0.723358,0.729211,0.588235,0.687692,0.590144,0.394904,0.482503,0.573701,0.608696,0.540340,0.000000,0.000000,0.000000,0.000000,0.636364,0.571746,0.635688,0.572198,0.750345,0.851894,0.872706,0.890887
Llama3-1B-Base,1.000000,0.000000,0.500000,1.000000,1.000000,1.000000,0.666667,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.500000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.500000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
Llama3-3B-Base,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.923077,0.928571,1.000000,1.000000,1.000000,0.818182,1.000000,1.000000,0.846154,1.000000,1.000000,1.000000,0.818182,0.750000,0.785714,0.923077,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.777778,0.928571,0.928571,1.000000,1.000000,1.000000,1.000000,1.000000
