solver,Qwen3-0.6B-Base,Qwen3-1.7B-Base,Qwen3-4B-Base,Qwen3-8B-Base,Qwen3-14B-Base,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen3-8B,Qwen3-14B,Qwen3-32B,Qwen2.5-0.5B-Base,Qwen2.5-1.5B-Base,Qwen2.5-3B-Base,Qwen2.5-7B-Base,Qwen2.5-14B-Base,Qwen2.5-32B-Base,Qwen2.5-72B-Base,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Qwen2.5-7B,Qwen2.5-14B,Qwen2.5-32B,Qwen2.5-72B,Llama3-1B-Base,Llama3-3B-Base,Llama3-8B-Base,Llama3-70B-Base,Llama3-1B,Llama3-3B,Llama3-8B,Llama3-70B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B,DeepSeek-32B
Qwen3-0.6B-Base,0.476190,0.538462,0.609756,0.500000,0.704545,0.545455,0.545455,0.795455,0.704545,0.750000,0.863636,0.590909,0.000000,0.500000,0.625000,0.480000,0.690476,0.666667,0.583333,0.406250,0.568182,0.704545,0.818182,0.750000,0.840909,0.000000,0.000000,0.000000,0.000000,0.500000,0.512195,0.609756,0.795455,0.545455,0.568182,0.795455,0.750000
Qwen3-1.7B-Base,0.625000,0.750000,0.375000,0.888889,0.777778,0.555556,0.777778,1.000000,1.000000,1.000000,1.000000,0.500000,1.000000,0.666667,0.500000,0.666667,0.777778,0.750000,1.000000,0.166667,0.777778,0.666667,0.777778,0.888889,0.888889,0.000000,0.000000,0.000000,0.000000,1.000000,0.555556,0.714286,0.888889,0.666667,0.333333,0.777778,0.888889
Qwen3-4B-Base,0.396000,0.360656,0.616613,0.631922,0.715134,0.640118,0.642229,0.753666,0.747801,0.771261,0.788856,0.374408,0.000000,0.320000,0.524116,0.421525,0.717262,0.622951,0.382979,0.444030,0.508824,0.703812,0.736070,0.718475,0.719764,0.000000,0.000000,0.000000,0.000000,0.447761,0.484756,0.596721,0.727273,0.657576,0.639296,0.692082,0.727273
Qwen3-8B-Base,0.280277,0.398907,0.671329,0.683794,0.720137,0.707483,0.744898,0.707483,0.734694,0.741497,0.785714,0.454545,0.750000,0.300493,0.613383,0.534884,0.699659,0.647260,0.446154,0.413127,0.683673,0.727891,0.738095,0.748299,0.772109,0.000000,0.000000,0.000000,0.000000,0.305556,0.442105,0.685606,0.768707,0.677656,0.755102,0.755102,0.761905
Qwen3-14B-Base,0.195467,0.461538,0.757235,0.792332,0.808511,0.797468,0.818820,0.817416,0.838483,0.823034,0.851124,0.380550,0.000000,0.276316,0.373846,0.572491,0.796897,0.757576,0.377193,0.436066,0.749648,0.811798,0.823034,0.817416,0.838483,0.000000,0.000000,0.000000,0.000000,0.368852,0.442336,0.692053,0.815233,0.705109,0.792135,0.827247,0.831461
Qwen3-0.6B,0.449203,0.423929,0.458716,0.447230,0.525630,0.547863,0.522881,0.488754,0.649153,0.696020,0.744699,0.391236,0.608696,0.463940,0.528746,0.486486,0.686644,0.649108,0.550079,0.548049,0.569009,0.624047,0.718882,0.767993,0.751905,0.000000,0.000000,0.000000,0.000000,0.518987,0.603565,0.647220,0.657070,0.522427,0.552677,0.635284,0.645216
Qwen3-1.7B,0.284065,0.247525,0.289246,0.268456,0.558925,0.705532,0.534512,0.480736,0.711522,0.736709,0.772460,0.270169,0.833333,0.317560,0.559581,0.326228,0.737595,0.728571,0.468599,0.608961,0.709732,0.732383,0.775168,0.773490,0.795302,0.000000,0.000000,0.000000,0.000000,0.396040,0.703986,0.731749,0.755034,0.597874,0.689949,0.745164,0.765940
Qwen3-4B,0.200228,0.182137,0.244558,0.195286,0.589831,0.726439,0.563681,0.486763,0.747334,0.777411,0.806743,0.176056,0.500000,0.288363,0.578708,0.303003,0.770559,0.749384,0.472067,0.627119,0.742200,0.779508,0.805738,0.808197,0.804918,0.000000,0.000000,0.000000,0.000000,0.452555,0.740066,0.781638,0.796721,0.611979,0.723564,0.783073,0.799180
Qwen3-8B,0.163551,0.183362,0.207523,0.210438,0.600847,0.760469,0.577997,0.496170,0.766393,0.746908,0.828407,0.209979,0.000000,0.282103,0.558550,0.310193,0.805761,0.779508,0.419453,0.653061,0.772765,0.806716,0.829648,0.830467,0.828829,0.000000,0.000000,0.000000,0.000000,0.429530,0.754967,0.784411,0.826372,0.633841,0.706078,0.802621,0.828010
Qwen3-14B,0.165198,0.139963,0.185644,0.185000,0.625874,0.758921,0.579487,0.469114,0.789249,0.793814,0.845890,0.148973,1.000000,0.260304,0.578748,0.276377,0.817324,0.800171,0.489362,0.683114,0.769428,0.807167,0.845563,0.839590,0.845563,0.000000,0.000000,0.000000,0.000000,0.519685,0.788296,0.802620,0.835324,0.637030,0.753460,0.811805,0.837031
