solver,Qwen3-0.6B-Base,Qwen3-1.7B-Base,Qwen3-4B-Base,Qwen3-8B-Base,Qwen3-14B-Base,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen3-8B,Qwen3-14B,Qwen3-32B,Qwen2.5-0.5B-Base,Qwen2.5-1.5B-Base,Qwen2.5-3B-Base,Qwen2.5-7B-Base,Qwen2.5-14B-Base,Qwen2.5-32B-Base,Qwen2.5-72B-Base,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Qwen2.5-7B,Qwen2.5-14B,Qwen2.5-32B,Qwen2.5-72B,Llama3-1B-Base,Llama3-3B-Base,Llama3-8B-Base,Llama3-70B-Base,Llama3-1B,Llama3-3B,Llama3-8B,Llama3-70B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B,DeepSeek-32B
Qwen3-0.6B-Base,0.913793,0.965517,0.719298,0.884615,0.783333,0.583333,0.750000,0.803571,0.703704,0.857143,0.839286,0.533333,0.333333,0.885714,0.771930,0.865385,0.775862,0.714286,0.807692,0.711864,0.666667,0.733333,0.700000,0.816667,0.728814,0.000000,0.000000,0.000000,0.000000,0.750000,0.795918,0.767442,0.666667,0.636364,0.754386,0.830508,0.672727
Qwen3-1.7B-Base,0.800000,0.882353,0.576923,0.800000,0.925926,0.592593,0.629630,0.777778,0.777778,0.814815,0.777778,0.823529,0.000000,1.000000,0.769231,0.880000,0.884615,0.730769,0.923077,0.736842,0.592593,0.555556,0.740741,0.814815,0.666667,0.000000,0.000000,0.000000,0.000000,0.666667,0.958333,0.818182,0.777778,0.550000,0.888889,0.777778,0.851852
Qwen3-4B-Base,0.452991,0.741573,0.461538,0.571429,0.479167,0.479167,0.527778,0.592857,0.629371,0.715278,0.683099,0.728814,0.375000,0.679487,0.627737,0.646154,0.587413,0.472222,0.822581,0.612903,0.493056,0.409722,0.458333,0.500000,0.423611,0.000000,0.000000,0.000000,0.000000,0.800000,0.633803,0.697674,0.510490,0.536585,0.485915,0.659722,0.647887
Qwen3-8B-Base,0.767123,0.770833,0.500000,0.636364,0.733333,0.506667,0.567568,0.684932,0.666667,0.662162,0.640000,0.687500,0.333333,0.773585,0.569444,0.680556,0.638889,0.675676,0.725000,0.552239,0.520000,0.613333,0.533333,0.613333,0.533333,0.000000,0.000000,0.000000,0.000000,0.588235,0.712329,0.725806,0.533333,0.655738,0.555556,0.586667,0.573333
Qwen3-14B-Base,0.808140,0.696429,0.382716,0.439490,0.403509,0.415205,0.488235,0.608187,0.654762,0.639535,0.651163,0.712766,0.000000,0.701613,0.594937,0.606452,0.461988,0.378698,0.697674,0.472393,0.333333,0.395349,0.424419,0.476744,0.426901,0.000000,0.000000,0.000000,0.000000,0.754717,0.613497,0.704698,0.497076,0.421053,0.500000,0.584795,0.538012
Qwen3-0.6B,0.662921,0.762500,0.737288,0.712871,0.695652,0.357664,0.489362,0.402878,0.565217,0.500000,0.443662,0.452381,0.250000,0.680000,0.628319,0.731707,0.613139,0.492754,0.628571,0.522388,0.382979,0.535211,0.535211,0.528169,0.524823,0.000000,0.000000,0.000000,0.000000,0.437500,0.514706,0.546099,0.485915,0.503937,0.478261,0.517730,0.549296
Qwen3-1.7B,0.418605,0.478261,0.516129,0.459016,0.421687,0.537500,0.481928,0.567901,0.506024,0.566265,0.530120,0.500000,0.000000,0.486842,0.426230,0.478873,0.575000,0.543210,0.488372,0.567901,0.578313,0.554217,0.590361,0.578313,0.554217,0.000000,0.000000,0.000000,0.000000,0.166667,0.576923,0.560976,0.493976,0.506667,0.536585,0.554217,0.578313
Qwen3-4B,0.333333,0.367347,0.310811,0.352113,0.462366,0.655914,0.478723,0.666667,0.531915,0.673684,0.673684,0.423077,0.666667,0.333333,0.461538,0.364706,0.638298,0.715789,0.311475,0.696629,0.642105,0.663158,0.726316,0.694737,0.673684,0.000000,0.000000,0.000000,0.000000,0.636364,0.641304,0.670213,0.694737,0.556818,0.645161,0.663158,0.663158
Qwen3-8B,0.260870,0.193548,0.246575,0.215385,0.347368,0.647727,0.494737,0.741573,0.489362,0.757895,0.789474,0.500000,0.800000,0.282353,0.469136,0.223529,0.712766,0.776596,0.232558,0.659091,0.744681,0.768421,0.768421,0.789474,0.768421,0.000000,0.000000,0.000000,0.000000,0.875000,0.782609,0.776596,0.800000,0.571429,0.728261,0.800000,0.778947
Qwen3-14B,0.206349,0.368421,0.289157,0.333333,0.508929,0.637255,0.508929,0.707547,0.594595,0.794643,0.774775,0.513514,0.375000,0.278351,0.463918,0.280899,0.747748,0.745455,0.415094,0.596330,0.687500,0.723214,0.741071,0.758929,0.741071,0.000000,0.000000,0.000000,0.000000,0.500000,0.706422,0.660550,0.785714,0.536082,0.666667,0.756757,0.750000
Qwen3-32B,0.250000,0.276923,0.185567,0.283951,0.551724,0.628319,0.478632,0.704762,0.589744,0.777778,0.803419,0.416667,0.625000,0.303922,0.458333,0.283019,0.787611,0.769231,0.262295,0.669811,0.726496,0.700855,0.769231,0.786325,0.786325,0.000000,0.000000,0.000000,0.000000,0.555556,0.715596,0.756522,0.786325,0.537736,0.721739,0.769231,0.803419
Qwen2.5-0.5B-Base,0.866667,0.700000,0.625000,0.687500,0.750000,0.875000,0.937500,1.000000,0.866667,0.875000,0.875000,0.833333,0.000000,0.600000,0.615385,0.692308,0.687500,0.812500,0.666667,0.583333,0.812500,0.687500,0.750000,0.812500,0.750000,0.000000,0.000000,0.000000,0.000000,0.000000,0.785714,0.666667,0.812500,0.785714,0.875000,0.937500,0.812500
Qwen2.5-1.5B-Base,0.636364,0.750000,0.923077,0.818182,0.769231,0.538462,0.846154,0.916667,1.000000,0.923077,1.000000,0.857143,0.500000,1.000000,0.583333,0.777778,0.923077,0.909091,0.454545,0.615385,0.833333,0.692308,0.769231,0.846154,0.923077,0.000000,0.000000,0.000000,0.000000,0.500000,1.000000,0.666667,0.769231,0.800000,0.923077,0.846154,0.923077
Qwen2.5-3B-Base,0.764706,0.716981,0.411765,0.525641,0.559524,0.435294,0.559524,0.741176,0.761905,0.811765,0.729412,0.666667,0.000000,0.746479,0.615385,0.750000,0.752941,0.571429,0.666667,0.580247,0.317647,0.552941,0.552941,0.705882,0.658824,0.000000,0.000000,0.000000,0.000000,0.750000,0.738095,0.743243,0.623529,0.569444,0.635294,0.800000,0.726190
Qwen2.5-7B-Base,0.716981,0.765957,0.436364,0.470588,0.482143,0.464286,0.482143,0.745098,0.777778,0.722222,0.763636,0.741935,1.000000,0.851064,0.666667,0.700000,0.603774,0.563636,0.666667,0.537037,0.464286,0.446429,0.446429,0.571429,0.553571,0.000000,0.000000,0.000000,0.000000,0.800000,0.836364,0.680000,0.571429,0.530612,0.696429,0.607143,0.690909
Qwen2.5-14B-Base,0.801527,0.750000,0.532787,0.669355,0.661538,0.534351,0.610687,0.759690,0.722222,0.748092,0.728682,0.680556,1.000000,0.682927,0.528926,0.688525,0.726562,0.685039,0.576923,0.585366,0.419847,0.564885,0.610687,0.648855,0.687023,0.000000,0.000000,0.000000,0.000000,0.697674,0.739837,0.699115,0.587786,0.572917,0.666667,0.687500,0.713178
Qwen2.5-32B-Base,0.780645,0.673077,0.418919,0.579310,0.576923,0.525316,0.550633,0.662420,0.619355,0.715190,0.624204,0.727273,0.333333,0.710526,0.615894,0.621622,0.619355,0.572368,0.540000,0.503497,0.455696,0.569620,0.575949,0.518987,0.575949,0.000000,0.000000,0.000000,1.000000,0.769231,0.751678,0.706767,0.538462,0.582677,0.605096,0.700637,0.592357
Qwen2.5-72B-Base,0.798817,0.772277,0.456790,0.500000,0.508876,0.422619,0.585799,0.727273,0.689024,0.735294,0.698795,0.645833,0.500000,0.704348,0.588608,0.677852,0.597633,0.422619,0.766667,0.483871,0.300000,0.435294,0.435294,0.464706,0.400000,0.000000,0.000000,0.000000,0.000000,0.644444,0.698795,0.767606,0.520710,0.496599,0.619048,0.615385,0.641176
Qwen2.5-0.5B,0.870968,0.810811,0.716667,0.814159,0.846774,0.640000,0.792000,0.830645,0.833333,0.856000,0.830645,0.716049,1.000000,0.863636,0.782609,0.886957,0.887097,0.829268,0.833333,0.603448,0.488000,0.758065,0.816000,0.864000,0.822581,0.000000,0.000000,0.000000,0.000000,0.600000,0.843478,0.887850,0.806452,0.650485,0.840000,0.792000,0.803279
Qwen2.5-1.5B,0.818713,0.739130,0.598802,0.643312,0.700000,0.526316,0.656977,0.803571,0.796512,0.835294,0.839286,0.771739,0.000000,0.796610,0.689024,0.764706,0.817647,0.716867,0.762887,0.546584,0.447674,0.610465,0.725146,0.767442,0.755814,0.000000,0.000000,0.000000,0.000000,0.651163,0.754491,0.800000,0.717647,0.631944,0.771930,0.810651,0.769231
Qwen2.5-3B,0.867052,0.676471,0.481481,0.620482,0.591954,0.457143,0.600000,0.775862,0.790698,0.844828,0.834286,0.727273,1.000000,0.785124,0.698795,0.721519,0.731429,0.558824,0.796117,0.601190,0.308571,0.497143,0.582857,0.611429,0.634286,0.000000,0.000000,0.000000,0.000000,0.812500,0.668639,0.770833,0.554286,0.580000,0.641618,0.741379,0.739884
Qwen2.5-7B,0.832432,0.768595,0.453039,0.473988,0.472826,0.421622,0.627027,0.697802,0.719780,0.783784,0.760870,0.670000,0.000000,0.737226,0.622857,0.700000,0.583784,0.436464,0.725275,0.543353,0.356757,0.443243,0.567568,0.551351,0.529730,0.000000,0.000000,0.000000,0.000000,0.760000,0.651685,0.760000,0.557377,0.533742,0.702703,0.652174,0.718919
Qwen2.5-14B,0.752632,0.793388,0.426966,0.463687,0.476440,0.486772,0.492063,0.611702,0.570652,0.645503,0.617021,0.722222,0.500000,0.711111,0.635870,0.614525,0.523560,0.402116,0.747748,0.508380,0.397906,0.371728,0.376963,0.434555,0.387435,0.000000,0.000000,0.000000,0.000000,0.716981,0.595745,0.595092,0.378947,0.509202,0.505263,0.544503,0.560209
Qwen2.5-32B,0.814208,0.728070,0.395480,0.441860,0.430939,0.346154,0.480663,0.563536,0.605556,0.609890,0.585635,0.730000,0.000000,0.717742,0.633136,0.600000,0.521978,0.404494,0.719512,0.462428,0.324176,0.401099,0.387978,0.393443,0.404372,0.000000,0.000000,0.000000,0.000000,0.741379,0.615819,0.641509,0.362637,0.467949,0.552486,0.551913,0.530055
Qwen2.5-72B,0.770115,0.757009,0.430303,0.403614,0.400000,0.409091,0.445714,0.589595,0.514620,0.565714,0.614943,0.700000,0.000000,0.744000,0.625767,0.600000,0.497143,0.337209,0.793478,0.487654,0.295455,0.357955,0.340909,0.352273,0.352273,0.000000,0.000000,0.000000,0.000000,0.704545,0.562130,0.645161,0.388571,0.420382,0.454545,0.448864,0.442529
Llama3-1B-Base,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Llama3-3B-Base,1.000000,1.000000,1.000000,1.000000,1.000000,0.500000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,0.500000,0.500000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.500000,1.000000,1.000000
Llama3-8B-Base,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000
Llama3-70B-Base,0.928571,1.000000,0.833333,0.888889,0.937500,0.600000,0.875000,0.866667,0.714286,0.812500,0.923077,1.000000,1.000000,0.875000,1.000000,0.916667,0.933333,0.933333,0.750000,0.800000,0.625000,0.687500,0.500000,0.875000,0.750000,0.000000,0.000000,0.000000,0.000000,0.600000,0.500000,0.750000,0.750000,0.363636,0.615385,0.666667,0.687500
Llama3-1B,0.775000,0.695652,0.702703,0.757576,0.736842,0.550000,0.650000,0.725000,0.736842,0.800000,0.825000,0.652174,0.000000,0.884615,0.736842,0.777778,0.815789,0.775000,0.714286,0.657895,0.400000,0.625000,0.725000,0.825000,0.725000,0.000000,0.000000,0.000000,0.000000,0.789474,0.736842,0.756757,0.750000,0.709677,0.700000,0.775000,0.750000
Llama3-3B,0.775362,0.817204,0.598485,0.676923,0.640288,0.539568,0.625899,0.776978,0.742647,0.797101,0.757353,0.641975,0.000000,0.718447,0.687500,0.748031,0.802920,0.671533,0.742857,0.625000,0.453237,0.539568,0.647482,0.741007,0.669065,0.000000,0.000000,0.000000,0.000000,0.738095,0.715328,0.728000,0.659420,0.575000,0.647059,0.753623,0.791045
Llama3-8B,0.744361,0.687500,0.504065,0.611111,0.511278,0.377778,0.544776,0.706767,0.711111,0.753731,0.706767,0.644737,0.000000,0.818182,0.608696,0.688525,0.607407,0.569231,0.704918,0.628788,0.410448,0.422222,0.437037,0.511111,0.488889,0.000000,0.000000,0.000000,0.000000,0.771429,0.759398,0.683333,0.447761,0.508475,0.567164,0.611940,0.649254
Llama3-70B,0.738636,0.747967,0.500000,0.557692,0.548571,0.431818,0.542373,0.586207,0.612717,0.664773,0.628571,0.688172,0.000000,0.738095,0.643275,0.654088,0.579545,0.502857,0.588889,0.638554,0.384181,0.502825,0.446328,0.446328,0.463277,0.000000,0.000000,0.000000,0.000000,0.588235,0.744186,0.679739,0.367232,0.559748,0.588571,0.536723,0.534091
DeepSeek-1.5B,0.454545,0.545455,0.333333,0.307692,0.538462,0.363636,0.538462,0.461538,0.384615,0.384615,0.384615,0.625000,0.250000,0.615385,0.333333,0.583333,0.307692,0.461538,0.583333,0.666667,0.384615,0.230769,0.230769,0.384615,0.461538,0.000000,0.000000,0.000000,0.000000,1.000000,0.538462,0.384615,0.461538,0.583333,0.384615,0.384615,0.307692
DeepSeek-7B,0.437500,0.586207,0.634146,0.550000,0.581395,0.488372,0.547619,0.547619,0.604651,0.558140,0.581395,0.588235,0.571429,0.487179,0.540541,0.694444,0.674419,0.651163,0.540541,0.650000,0.558140,0.558140,0.604651,0.604651,0.604651,0.000000,0.000000,0.000000,0.000000,0.333333,0.595238,0.682927,0.534884,0.473684,0.523810,0.488372,0.534884
DeepSeek-14B,0.455882,0.581081,0.510638,0.510417,0.525253,0.463918,0.474747,0.434343,0.525253,0.535354,0.515152,0.533333,0.480000,0.591398,0.613636,0.563830,0.578947,0.515152,0.492063,0.500000,0.444444,0.525253,0.464646,0.474747,0.454545,0.000000,0.000000,0.000000,0.000000,0.727273,0.505051,0.526316,0.434343,0.458824,0.494949,0.525253,0.474747
DeepSeek-32B,0.377358,0.591549,0.658228,0.620690,0.659091,0.586207,0.488636,0.647727,0.625000,0.659091,0.602273,0.361111,0.518519,0.437500,0.560976,0.519481,0.662791,0.666667,0.452830,0.530120,0.517241,0.534091,0.613636,0.613636,0.613636,0.000000,0.000000,0.000000,0.000000,0.230769,0.568182,0.559524,0.590909,0.481013,0.590909,0.636364,0.602273
