solver,Qwen3-0.6B-Base,Qwen3-1.7B-Base,Qwen3-4B-Base,Qwen3-8B-Base,Qwen3-14B-Base,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen3-8B,Qwen3-14B,Qwen3-32B,Qwen2.5-0.5B-Base,Qwen2.5-1.5B-Base,Qwen2.5-3B-Base,Qwen2.5-7B-Base,Qwen2.5-14B-Base,Qwen2.5-32B-Base,Qwen2.5-72B-Base,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Qwen2.5-7B,Qwen2.5-14B,Qwen2.5-32B,Qwen2.5-72B,Llama3-1B-Base,Llama3-3B-Base,Llama3-8B-Base,Llama3-70B-Base,Llama3-1B,Llama3-3B,Llama3-8B,Llama3-70B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B,DeepSeek-32B
Qwen3-0.6B-Base,0.524590,0.583333,0.644628,0.708824,0.717617,0.734536,0.768041,0.775773,0.814433,0.796392,0.811856,0.509804,0.441860,0.569767,0.607955,0.673913,0.718016,0.710526,0.574257,0.575000,0.682990,0.701031,0.744186,0.768041,0.760309,0.000000,0.000000,0.000000,0.000000,0.566265,0.570571,0.682779,0.761658,0.729805,0.740260,0.786082,0.811370
Qwen3-1.7B-Base,0.244409,0.678337,0.843393,0.847863,0.865815,0.861685,0.899682,0.947452,0.960254,0.963434,0.971383,0.252049,0.625000,0.750533,0.583196,0.850671,0.881978,0.864217,0.694377,0.823423,0.839428,0.852146,0.912420,0.907790,0.926868,0.000000,0.000000,0.000000,0.000000,0.406667,0.477002,0.720841,0.928458,0.895935,0.929936,0.952229,0.952229
Qwen3-4B-Base,0.574561,0.673228,0.862305,0.887562,0.857271,0.895349,0.916816,0.954383,0.949016,0.956132,0.959750,0.218216,0.487179,0.236510,0.542884,0.692227,0.903052,0.914182,0.414201,0.823656,0.830645,0.903399,0.916816,0.932916,0.908684,0.000000,0.000000,0.000000,0.000000,0.421986,0.546119,0.712269,0.928122,0.905540,0.931127,0.940072,0.946333
Qwen3-8B-Base,0.177388,0.702332,0.879041,0.885297,0.884802,0.893925,0.915222,0.933590,0.939365,0.944177,0.947064,0.220025,0.600000,0.655360,0.627255,0.870935,0.901354,0.910939,0.541667,0.852688,0.892960,0.904716,0.923892,0.917228,0.923003,0.000000,0.000000,0.000000,0.000000,0.500000,0.424274,0.700125,0.904532,0.896686,0.916266,0.929740,0.942252
Qwen3-14B-Base,0.135179,0.708426,0.933786,0.915631,0.900806,0.920161,0.928168,0.953226,0.946774,0.956452,0.956452,0.211726,0.774194,0.724064,0.670302,0.888230,0.922518,0.930950,0.629073,0.909010,0.919355,0.928975,0.931396,0.937903,0.942742,0.000000,0.000000,0.000000,0.000000,0.447811,0.468723,0.710685,0.926196,0.896356,0.937097,0.951613,0.950806
Qwen3-0.6B,0.288889,0.266250,0.232335,0.375281,0.490938,0.799031,0.684003,0.647581,0.748638,0.845257,0.856809,0.347143,0.470588,0.483302,0.691976,0.703824,0.833072,0.810618,0.485671,0.776997,0.820513,0.820652,0.828416,0.836180,0.868012,0.000000,1.000000,0.000000,0.000000,0.713402,0.797478,0.800794,0.835276,0.687648,0.671937,0.862471,0.865683
Qwen3-1.7B,0.158111,0.170213,0.112360,0.238263,0.396688,0.914557,0.757837,0.663192,0.716821,0.918399,0.927035,0.370321,0.478261,0.384964,0.669787,0.771036,0.925350,0.912226,0.398162,0.859983,0.912943,0.920123,0.921659,0.923963,0.927803,0.000000,0.000000,0.000000,0.000000,0.766544,0.900077,0.892523,0.924673,0.717849,0.652377,0.919355,0.930876
Qwen3-4B,0.147177,0.176400,0.086525,0.205215,0.434612,0.937304,0.765346,0.665342,0.742879,0.946278,0.954858,0.386486,0.564103,0.387522,0.704117,0.800161,0.956086,0.946636,0.369925,0.890456,0.943932,0.951798,0.954093,0.954093,0.953328,0.000000,0.000000,0.000000,0.000000,0.734021,0.938281,0.921462,0.953328,0.719503,0.667697,0.947972,0.954093
Qwen3-8B,0.123529,0.138060,0.067723,0.215622,0.396197,0.942924,0.752722,0.674381,0.733796,0.953041,0.963846,0.442623,0.536585,0.388592,0.726734,0.753623,0.964479,0.957878,0.249196,0.917508,0.949113,0.960829,0.960061,0.960061,0.963134,0.000000,0.000000,0.000000,0.000000,0.804642,0.932337,0.938426,0.960829,0.723602,0.690163,0.953917,0.960829
Qwen3-14B,0.169246,0.116798,0.065949,0.323404,0.452065,0.946833,0.787926,0.698553,0.753435,0.957983,0.963387,0.320323,0.351351,0.468720,0.717667,0.798115,0.959907,0.957430,0.437803,0.920000,0.957854,0.962624,0.961861,0.964150,0.961861,0.000000,0.000000,0.000000,0.000000,0.774757,0.937258,0.941950,0.964912,0.749228,0.716268,0.957285,0.963387
