solver,Qwen3-0.6B-Base,Qwen3-1.7B-Base,Qwen3-4B-Base,Qwen3-8B-Base,Qwen3-14B-Base,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen3-8B,Qwen3-14B,Qwen3-32B,Qwen2.5-0.5B-Base,Qwen2.5-1.5B-Base,Qwen2.5-3B-Base,Qwen2.5-7B-Base,Qwen2.5-14B-Base,Qwen2.5-32B-Base,Qwen2.5-72B-Base,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Qwen2.5-7B,Qwen2.5-14B,Qwen2.5-32B,Qwen2.5-72B,Llama3-1B-Base,Llama3-3B-Base,Llama3-8B-Base,Llama3-70B-Base,Llama3-1B,Llama3-3B,Llama3-8B,Llama3-70B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B,DeepSeek-32B
Qwen3-0.6B-Base,0.947977,0.873786,1.000000,1.000000,1.000000,0.763006,0.849711,0.941860,0.924855,0.953757,0.959538,0.582609,0.500000,0.944882,1.000000,0.992126,1.000000,1.000000,0.598540,0.777778,0.375723,1.000000,0.531792,1.000000,0.994220,0.000000,0.000000,0.000000,0.000000,0.511278,0.933735,1.000000,1.000000,0.594118,0.780347,0.786127,0.959538
Qwen3-1.7B-Base,0.638776,0.765677,0.831276,0.956250,0.794613,0.164329,0.669670,0.800201,0.963964,0.967968,0.704409,0.740977,0.119134,0.844706,0.507415,0.976498,0.935143,0.420513,0.979702,0.924242,0.498980,0.519878,0.536437,0.937938,0.707415,0.000000,0.000000,0.000000,0.000000,0.398347,0.477124,0.395095,0.658923,0.568757,0.693159,0.945361,0.828313
Qwen3-4B-Base,0.257606,0.823077,0.808333,0.793926,0.792339,0.768145,0.854839,0.870968,0.893145,0.891129,0.925403,0.598958,0.387097,0.372340,0.446939,0.498856,0.668699,0.765182,0.244726,0.771784,0.803681,0.832661,0.824597,0.828629,0.838710,0.000000,0.000000,0.000000,0.000000,0.551630,0.555102,0.751606,0.866397,0.807771,0.854839,0.844758,0.848790
Qwen3-8B-Base,0.738739,0.675944,0.544084,0.567100,0.483936,0.713000,0.765000,0.789000,0.780000,0.787000,0.758000,0.330049,0.239316,0.670886,0.378788,0.458198,0.442656,0.559000,0.447191,0.320833,0.686687,0.671000,0.613000,0.626000,0.713000,0.000000,0.000000,0.000000,0.000000,0.577128,0.585391,0.582251,0.703704,0.761497,0.766000,0.781000,0.788000
Qwen3-14B-Base,0.357000,0.596429,0.689845,0.691446,0.598394,0.692000,0.699000,0.735000,0.727000,0.723000,0.749000,0.518634,0.700000,0.463830,0.445122,0.420875,0.679359,0.654655,0.321199,0.585143,0.685055,0.691000,0.693000,0.693000,0.701000,0.000000,0.000000,0.000000,0.000000,0.498701,0.554995,0.704162,0.703704,0.697248,0.700000,0.707000,0.714000
Qwen3-0.6B,0.552723,0.833006,0.992272,0.411111,0.344900,0.089485,0.307692,0.324353,0.171399,0.112159,0.482180,0.361502,0.117647,0.619601,0.518677,0.318622,0.094737,0.067653,0.670213,0.081828,0.242932,0.102618,0.068063,0.059623,0.121339,0.000000,0.000000,0.000000,0.000000,0.269406,0.126850,0.258749,0.075472,0.536585,0.280628,0.193277,0.127615
Qwen3-1.7B,0.505459,0.630112,0.649924,0.411494,0.365657,0.348663,0.450176,0.378819,0.368580,0.366197,0.389950,0.450858,0.464286,0.448949,0.556680,0.385787,0.345418,0.344444,0.567680,0.334343,0.382442,0.347739,0.339698,0.338693,0.351759,0.000000,0.000000,0.000000,0.000000,0.474187,0.344097,0.384929,0.345729,0.451120,0.374622,0.340704,0.341709
Qwen3-4B,0.490482,0.215126,0.075926,0.751724,0.926755,0.917219,0.663057,0.896552,0.911824,0.913000,0.930931,0.658915,0.906250,0.567829,0.508577,0.689834,0.927492,0.928499,0.279762,0.916236,0.852705,0.928000,0.929000,0.929000,0.929000,0.000000,0.000000,0.000000,0.000000,0.715596,0.885542,0.743642,0.927000,0.797583,0.912913,0.926000,0.929000
Qwen3-8B,0.527877,0.459627,0.346008,0.551637,0.618182,0.623922,0.540107,0.611971,0.558116,0.633000,0.623000,0.539202,0.538462,0.468114,0.513131,0.571429,0.623742,0.622869,0.404935,0.609929,0.586172,0.622000,0.624000,0.624000,0.623000,0.000000,0.000000,0.000000,0.000000,0.643939,0.605290,0.582661,0.623000,0.586313,0.609829,0.624000,0.624000
Qwen3-14B,0.578947,0.143951,0.033333,0.406393,0.916667,0.964912,0.720844,0.920040,0.903711,0.942943,0.979000,0.656609,0.850000,0.574349,0.427411,0.663223,0.976861,0.968907,0.293353,0.973739,0.901902,0.975000,0.977000,0.977000,0.977000,0.000000,0.000000,0.000000,0.000000,0.750487,0.930931,0.749741,0.975976,0.803229,0.945892,0.976000,0.977000
