solver,Qwen3-0.6B-Base,Qwen3-1.7B-Base,Qwen3-4B-Base,Qwen3-8B-Base,Qwen3-14B-Base,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen3-8B,Qwen3-14B,Qwen3-32B,Qwen2.5-0.5B-Base,Qwen2.5-1.5B-Base,Qwen2.5-3B-Base,Qwen2.5-7B-Base,Qwen2.5-14B-Base,Qwen2.5-32B-Base,Qwen2.5-72B-Base,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Qwen2.5-7B,Qwen2.5-14B,Qwen2.5-32B,Qwen2.5-72B,Llama3-1B-Base,Llama3-3B-Base,Llama3-8B-Base,Llama3-70B-Base,Llama3-1B,Llama3-3B,Llama3-8B,Llama3-70B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B,DeepSeek-32B
Qwen3-0.6B-Base,0.474227,0.470588,0.614583,0.662338,0.767677,0.616162,0.717172,0.848485,0.888889,0.909091,0.939394,0.481481,0.000000,0.596774,0.494624,0.666667,0.693878,0.822917,0.454545,0.440476,0.636364,0.653061,0.808081,0.828283,0.888889,0.000000,0.000000,0.000000,0.000000,0.478261,0.511111,0.670330,0.868687,0.581395,0.676768,0.848485,0.818182
Qwen3-1.7B-Base,0.428571,0.363636,0.428571,0.461538,0.571429,0.285714,0.642857,0.785714,0.571429,0.857143,0.714286,0.454545,0.000000,0.666667,0.583333,0.428571,0.750000,0.714286,0.750000,0.538462,0.500000,0.571429,0.714286,0.714286,0.785714,0.000000,0.000000,0.000000,0.000000,0.500000,0.285714,0.461538,0.785714,0.500000,0.357143,0.714286,0.642857
Qwen3-4B-Base,0.353659,0.495726,0.601190,0.647059,0.778947,0.612565,0.623037,0.811518,0.801047,0.853403,0.869110,0.357143,0.500000,0.460177,0.579545,0.521429,0.743316,0.721925,0.443299,0.429412,0.565445,0.726316,0.790576,0.759162,0.748691,0.000000,0.000000,0.000000,0.000000,0.500000,0.470588,0.554945,0.794737,0.627027,0.748691,0.774869,0.769634
Qwen3-8B-Base,0.311475,0.576923,0.663793,0.672727,0.776860,0.661290,0.733871,0.733871,0.774194,0.774194,0.830645,0.428571,0.666667,0.369565,0.611570,0.609195,0.762295,0.693548,0.526316,0.534483,0.653226,0.733871,0.782258,0.814516,0.774194,0.000000,0.000000,0.000000,0.000000,0.400000,0.406504,0.666667,0.798387,0.598361,0.774194,0.774194,0.782258
Qwen3-14B-Base,0.198502,0.644172,0.813688,0.803150,0.832714,0.791822,0.807407,0.844444,0.844444,0.844444,0.862963,0.352632,0.000000,0.357895,0.585366,0.585366,0.817844,0.772727,0.430769,0.453125,0.788889,0.855556,0.859259,0.837037,0.848148,0.000000,0.000000,0.000000,0.000000,0.333333,0.528736,0.730594,0.822222,0.714829,0.818519,0.833333,0.837037
Qwen3-0.6B,0.443089,0.425926,0.462222,0.487179,0.519164,0.544828,0.494845,0.525000,0.595890,0.716724,0.722603,0.384615,0.500000,0.452756,0.558491,0.505535,0.660839,0.642612,0.484848,0.523466,0.587629,0.641638,0.686007,0.740614,0.754266,0.000000,0.000000,0.000000,0.000000,0.418605,0.593857,0.602113,0.689420,0.500000,0.592466,0.634812,0.696246
Qwen3-1.7B,0.210526,0.240838,0.294444,0.278146,0.546713,0.652027,0.576159,0.581560,0.575658,0.765677,0.763934,0.262712,0.500000,0.321033,0.562500,0.368794,0.749175,0.744262,0.508475,0.533582,0.712871,0.747541,0.767213,0.803279,0.800000,0.000000,0.000000,0.000000,0.000000,0.440000,0.722772,0.726073,0.773770,0.554745,0.698997,0.754098,0.786885
Qwen3-4B,0.189573,0.178571,0.214689,0.224242,0.563140,0.702341,0.634868,0.612457,0.572848,0.779605,0.859016,0.188976,0.000000,0.278986,0.545788,0.360140,0.872131,0.828947,0.557522,0.614286,0.796721,0.826230,0.859016,0.865574,0.862295,0.000000,0.000000,0.000000,0.000000,0.500000,0.825083,0.837209,0.865574,0.565693,0.789298,0.862295,0.855738
Qwen3-8B,0.111111,0.156627,0.180851,0.137725,0.594595,0.740741,0.558140,0.601449,0.684211,0.773026,0.895082,0.223301,0.000000,0.252788,0.471831,0.286219,0.858553,0.874172,0.435897,0.564885,0.826230,0.845902,0.895082,0.901639,0.895082,0.000000,0.000000,0.000000,0.000000,0.454545,0.828383,0.854730,0.895082,0.576512,0.745033,0.888525,0.891803
Qwen3-14B,0.166667,0.114458,0.173684,0.171429,0.634483,0.797297,0.654485,0.668990,0.609272,0.817881,0.904290,0.119048,1.000000,0.281369,0.476364,0.349650,0.870861,0.867110,0.495413,0.585271,0.827815,0.815182,0.897690,0.904290,0.910891,0.000000,0.000000,0.000000,0.000000,0.476190,0.836120,0.857143,0.900990,0.669014,0.802013,0.877888,0.897690
