solver,Qwen3-0.6B-Base,Qwen3-1.7B-Base,Qwen3-4B-Base,Qwen3-8B-Base,Qwen3-14B-Base,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen3-8B,Qwen3-14B,Qwen3-32B,Qwen2.5-0.5B-Base,Qwen2.5-1.5B-Base,Qwen2.5-3B-Base,Qwen2.5-7B-Base,Qwen2.5-14B-Base,Qwen2.5-32B-Base,Qwen2.5-72B-Base,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Qwen2.5-7B,Qwen2.5-14B,Qwen2.5-32B,Qwen2.5-72B,Llama3-1B-Base,Llama3-3B-Base,Llama3-8B-Base,Llama3-70B-Base,Llama3-1B,Llama3-3B,Llama3-8B,Llama3-70B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B,DeepSeek-32B
Qwen3-0.6B-Base,0.600000,0.573333,0.658730,0.612613,0.710938,0.583333,0.700000,0.753846,0.778626,0.803030,0.793893,0.478873,0.500000,0.626667,0.547009,0.666667,0.719697,0.771654,0.616438,0.450000,0.666667,0.583333,0.742424,0.757576,0.742424,0.000000,0.000000,0.000000,0.000000,0.508475,0.644628,0.617647,0.689394,0.636364,0.656489,0.750000,0.755725
Qwen3-1.7B-Base,0.692308,0.533333,0.410256,0.500000,0.523810,0.348837,0.488372,0.534884,0.534884,0.534884,0.581395,0.757576,1.000000,0.640000,0.439024,0.375000,0.428571,0.534884,0.500000,0.540541,0.279070,0.418605,0.488372,0.534884,0.558140,0.000000,0.000000,0.000000,0.000000,0.571429,0.600000,0.416667,0.441860,0.390244,0.465116,0.534884,0.558140
Qwen3-4B-Base,0.375000,0.496000,0.477778,0.466667,0.590000,0.465000,0.507538,0.605000,0.625000,0.645000,0.675000,0.622642,0.416667,0.444444,0.505319,0.456647,0.580808,0.593909,0.500000,0.469136,0.487437,0.535000,0.580000,0.580000,0.537688,0.000000,0.000000,0.000000,0.000000,0.428571,0.429293,0.554348,0.605000,0.471795,0.605000,0.615000,0.590000
Qwen3-8B-Base,0.575000,0.627907,0.449153,0.546296,0.603306,0.487603,0.631148,0.633333,0.613445,0.696721,0.708333,0.588235,0.545455,0.639535,0.572650,0.617647,0.650000,0.616667,0.569444,0.532710,0.508197,0.611570,0.557377,0.622951,0.614754,0.000000,0.000000,0.000000,1.000000,0.527778,0.521739,0.575472,0.561983,0.576577,0.586777,0.631148,0.633333
Qwen3-14B-Base,0.406250,0.562162,0.566787,0.572464,0.602787,0.570934,0.631034,0.652778,0.655172,0.667820,0.689655,0.457447,0.000000,0.430556,0.468635,0.480663,0.613793,0.595819,0.469512,0.409594,0.565517,0.606897,0.610345,0.631034,0.662069,0.000000,0.000000,0.000000,0.000000,0.361111,0.496403,0.500000,0.631034,0.512545,0.608997,0.631034,0.653979
Qwen3-0.6B,0.418919,0.408046,0.435407,0.430769,0.455172,0.549645,0.540541,0.609929,0.641892,0.753378,0.774411,0.460317,0.555556,0.436508,0.536496,0.485714,0.702055,0.666667,0.481707,0.528986,0.619529,0.620805,0.701342,0.775168,0.768456,0.000000,0.000000,0.000000,0.000000,0.625000,0.650685,0.620690,0.681208,0.537367,0.622449,0.703704,0.684564
Qwen3-1.7B,0.229665,0.188482,0.269430,0.258427,0.385965,0.674740,0.549153,0.648746,0.582492,0.797980,0.802013,0.299145,0.333333,0.241379,0.515267,0.384058,0.797297,0.793220,0.229008,0.605839,0.768456,0.795302,0.791946,0.798658,0.802013,0.000000,0.000000,0.000000,0.000000,0.530612,0.696970,0.679054,0.805369,0.483755,0.692568,0.812081,0.797980
Qwen3-4B,0.157635,0.167539,0.223301,0.266304,0.420530,0.687708,0.551948,0.682927,0.636364,0.844156,0.860841,0.281481,0.500000,0.262963,0.584906,0.428571,0.820261,0.831715,0.309677,0.664336,0.782468,0.815534,0.851133,0.844660,0.857605,0.000000,0.000000,0.000000,0.000000,0.528302,0.796667,0.794118,0.857605,0.489865,0.743506,0.850649,0.864078
Qwen3-8B,0.130045,0.104396,0.152709,0.178010,0.430921,0.690236,0.541935,0.701754,0.641935,0.873786,0.906149,0.235772,0.800000,0.272388,0.546125,0.332168,0.872964,0.867314,0.307143,0.665493,0.845161,0.861290,0.893548,0.890323,0.900000,0.000000,0.000000,0.000000,0.000000,0.519231,0.814570,0.833876,0.896774,0.472414,0.708738,0.880645,0.890323
Qwen3-14B,0.146939,0.107955,0.130890,0.184783,0.459732,0.674658,0.528053,0.689655,0.659016,0.842105,0.898361,0.191489,0.500000,0.260700,0.571429,0.346021,0.860927,0.855263,0.355932,0.630597,0.829508,0.839344,0.872131,0.885246,0.891803,0.000000,0.000000,0.000000,0.000000,0.476923,0.842809,0.847682,0.888525,0.432526,0.735099,0.861842,0.885246
