solver,Qwen3-0.6B-Base,Qwen3-1.7B-Base,Qwen3-4B-Base,Qwen3-8B-Base,Qwen3-14B-Base,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen3-8B,Qwen3-14B,Qwen3-32B,Qwen2.5-0.5B-Base,Qwen2.5-1.5B-Base,Qwen2.5-3B-Base,Qwen2.5-7B-Base,Qwen2.5-14B-Base,Qwen2.5-32B-Base,Qwen2.5-72B-Base,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Qwen2.5-7B,Qwen2.5-14B,Qwen2.5-32B,Qwen2.5-72B,Llama3-1B-Base,Llama3-3B-Base,Llama3-8B-Base,Llama3-70B-Base,Llama3-1B,Llama3-3B,Llama3-8B,Llama3-70B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B,DeepSeek-32B
Qwen3-0.6B-Base,0.741886,0.771795,0.772652,0.728421,0.760943,0.568100,0.714035,0.796327,0.811166,0.767939,0.762406,0.230189,0.611111,0.686957,0.677316,0.752080,0.688889,0.704000,0.596730,0.635802,0.647779,0.692424,0.676737,0.699248,0.706325,0.000000,0.000000,0.000000,0.000000,0.662602,0.689304,0.738596,0.712121,0.574324,0.551471,0.741463,0.715789
Qwen3-1.7B-Base,0.502041,0.566176,0.503268,0.558621,0.565657,0.736111,0.793333,0.803371,0.764103,0.761702,0.740891,0.519084,0.428571,0.486842,0.641975,0.533981,0.556962,0.563559,0.452381,0.548117,0.631148,0.676113,0.736842,0.747967,0.677551,0.000000,0.000000,0.000000,0.000000,0.505682,0.582524,0.484694,0.724696,0.200000,0.526316,0.796875,0.817073
Qwen3-4B-Base,0.261146,0.686848,0.723554,0.775602,0.752055,0.837110,0.933148,0.948481,0.962060,0.940415,0.938903,0.521484,0.620690,0.316583,0.788146,0.568336,0.539062,0.750329,0.474895,0.697772,0.761905,0.602244,0.887218,0.898623,0.877805,0.000000,0.000000,0.000000,0.000000,0.572072,0.528996,0.423611,0.847990,0.693878,0.562500,0.940379,0.936409
Qwen3-8B-Base,0.185830,0.694690,0.747512,0.811594,0.803922,0.851511,0.953125,0.963705,0.949132,0.920281,0.956120,0.569620,0.481481,0.238095,0.757009,0.453145,0.579812,0.771765,0.409664,0.734908,0.789108,0.573581,0.881062,0.890300,0.891455,0.000000,0.000000,0.000000,0.000000,0.565460,0.593712,0.370234,0.848555,0.672727,0.852941,0.928395,0.960739
Qwen3-14B-Base,0.115847,0.838415,0.879953,0.926744,0.950174,0.926380,0.976630,0.987239,0.985849,0.951220,0.984699,0.462527,0.363636,0.196513,0.759300,0.615646,0.738649,0.912900,0.586864,0.821040,0.889989,0.839344,0.946448,0.967213,0.958470,0.000000,0.000000,0.000000,0.000000,0.656899,0.706278,0.298246,0.940789,0.785185,0.750000,0.966042,0.975956
Qwen3-0.6B,0.508343,0.487988,0.373970,0.528996,0.808343,0.638655,0.612987,0.887059,0.915663,0.849945,0.884324,0.578154,0.500000,0.474599,0.562914,0.510957,0.784205,0.770742,0.342187,0.624321,0.676056,0.714595,0.812973,0.873514,0.783784,0.000000,0.000000,0.000000,0.000000,0.606980,0.633038,0.622449,0.811892,0.546939,0.637168,0.794475,0.856216
Qwen3-1.7B,0.357143,0.239945,0.081905,0.432877,0.839390,0.838710,0.763192,0.977053,0.976427,0.945824,0.964246,0.526210,0.272727,0.343923,0.658703,0.574794,0.966254,0.968397,0.124774,0.737557,0.917411,0.958751,0.958751,0.964326,0.960981,0.000000,0.000000,0.000000,0.000000,0.780405,0.958857,0.863905,0.945373,0.598592,0.768421,0.865633,0.966555
Qwen3-4B,0.356771,0.318812,0.056391,0.654036,0.897574,0.797414,0.775385,0.994286,0.995595,0.962190,0.998721,0.559653,0.357143,0.388106,0.638243,0.594183,0.993606,0.990944,0.096386,0.826873,0.947503,0.998721,0.996164,0.997442,0.997442,0.000000,0.000000,0.000000,0.000000,0.875000,0.968961,0.848444,0.992327,0.569182,0.792453,0.985450,0.997442
Qwen3-8B,0.304348,0.195876,0.126437,0.409524,0.801527,0.419355,0.680556,0.924528,0.934211,0.890244,0.988571,0.582418,0.222222,0.296296,0.750000,0.436709,0.965517,0.971264,0.050505,0.767442,0.914286,0.977143,0.982857,0.994286,0.988571,0.000000,0.000000,0.000000,0.000000,0.697674,0.965116,0.807692,0.988571,0.625806,0.909091,0.916667,0.988571
Qwen3-14B,0.356858,0.251641,0.037267,0.603041,0.853425,0.822995,0.722132,0.982659,0.992537,0.974497,0.985583,0.622328,0.650000,0.332253,0.709720,0.414226,0.988095,0.981358,0.185682,0.845013,0.946265,0.985602,0.988220,0.988220,0.977749,0.000000,0.000000,0.000000,0.000000,0.812689,0.932785,0.790795,0.985602,0.558621,0.804545,0.979339,0.989529
