solver,Qwen3-0.6B-Base,Qwen3-1.7B-Base,Qwen3-4B-Base,Qwen3-8B-Base,Qwen3-14B-Base,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen3-8B,Qwen3-14B,Qwen3-32B,Qwen2.5-0.5B-Base,Qwen2.5-1.5B-Base,Qwen2.5-3B-Base,Qwen2.5-7B-Base,Qwen2.5-14B-Base,Qwen2.5-32B-Base,Qwen2.5-72B-Base,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Qwen2.5-7B,Qwen2.5-14B,Qwen2.5-32B,Qwen2.5-72B,Llama3-1B-Base,Llama3-3B-Base,Llama3-8B-Base,Llama3-70B-Base,Llama3-1B,Llama3-3B,Llama3-8B,Llama3-70B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B,DeepSeek-32B
Qwen3-0.6B-Base,0.951042,0.936937,0.977528,1.000000,1.000000,0.905208,0.990506,0.996875,1.000000,0.998963,1.000000,0.144118,1.000000,0.978102,0.993443,1.000000,0.997919,1.000000,0.421341,0.942446,0.970924,0.997921,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.942693,0.920792,1.000000,0.997925,0.639220,0.776271,1.000000,1.000000
Qwen3-1.7B-Base,0.684869,0.474057,0.690372,0.967908,0.933333,0.815252,0.971061,1.000000,1.000000,1.000000,0.988248,0.867925,0.666667,0.858144,0.623272,0.897408,0.980132,0.943807,0.904636,0.243451,0.209555,0.959402,0.908120,0.950855,0.846154,0.000000,0.000000,0.000000,0.000000,0.553306,0.719912,0.972467,0.912393,0.941250,0.973291,0.997863,0.992513
Qwen3-4B-Base,0.825352,0.565000,0.735069,0.794749,0.740077,0.519744,0.738806,0.773950,0.906283,0.936170,0.881663,0.691332,0.432331,0.775832,0.659176,0.678436,0.824053,0.694379,0.572632,0.508497,0.475275,0.724468,0.738594,0.847661,0.653887,0.000000,0.000000,0.000000,0.625000,0.639706,0.641975,0.756477,0.714439,0.785283,0.762842,0.882979,0.830851
Qwen3-8B-Base,0.705882,0.373494,0.483360,0.550442,0.582596,0.564065,0.951542,0.979442,0.977974,0.975037,0.967695,0.520325,0.400000,0.570149,0.599673,0.676271,0.691740,0.709581,0.415493,0.299766,0.505882,0.744493,0.637298,0.693098,0.704846,0.000000,0.000000,0.000000,0.000000,0.504817,0.537538,0.769113,0.662261,0.640068,0.755523,0.922173,0.960352
Qwen3-14B-Base,0.722222,0.394872,0.541307,0.619916,0.550515,0.589267,0.980453,0.990741,0.986626,0.987654,0.975309,0.459459,0.000000,0.665468,0.430310,0.680736,0.687307,0.641387,0.391176,0.287105,0.357732,0.744856,0.621399,0.651235,0.681070,0.000000,0.000000,0.000000,0.000000,0.542974,0.561331,0.757292,0.642268,0.653012,0.791152,0.958848,0.973251
Qwen3-0.6B,0.637725,0.679144,0.750000,0.446991,0.331593,0.370370,0.501385,0.307087,0.305699,0.303109,0.310881,0.486486,0.500000,0.647321,0.498599,0.553425,0.348052,0.342105,0.587983,0.262467,0.519481,0.375648,0.308290,0.318653,0.306494,0.000000,0.000000,0.000000,0.000000,0.391941,0.493438,0.521164,0.329016,0.414566,0.353403,0.334197,0.391192
Qwen3-1.7B,0.238693,0.258517,0.058465,0.890951,0.993664,0.850763,0.646600,0.985216,0.985356,0.990596,0.986416,0.720848,0.920000,0.445205,0.566955,0.710177,0.992678,0.992561,0.548969,0.986170,0.666318,0.879833,0.993730,0.992685,0.993730,0.000000,0.000000,0.000000,0.000000,0.766625,0.522995,0.536663,0.963427,0.791809,0.930962,0.956067,0.971787
Qwen3-4B,0.266985,0.285714,0.174564,0.970588,0.997990,0.891720,0.650052,0.992958,0.966327,0.995980,0.993970,0.763682,0.933333,0.247126,0.675560,0.656085,0.994965,0.991903,0.428797,0.996970,0.680402,0.918593,1.000000,0.998995,1.000000,0.000000,0.000000,0.000000,0.000000,0.684729,0.557949,0.620408,0.987940,0.686901,0.923618,0.967839,0.932663
Qwen3-8B,0.116422,0.255692,0.087980,0.862656,0.995927,0.847368,0.614561,0.988776,0.931606,0.990872,0.992893,0.785714,0.916667,0.395745,0.684771,0.627063,0.993902,0.988706,0.406593,0.992879,0.703854,0.913793,0.996957,0.995943,0.996957,0.000000,0.000000,0.000000,0.000000,0.813869,0.531712,0.743616,0.978702,0.738990,0.945233,0.948276,0.947262
Qwen3-14B,0.235012,0.440313,0.289409,0.990164,0.998992,0.947589,0.718057,0.998991,0.966463,0.998994,0.996982,0.816495,0.821429,0.334842,0.814346,0.748108,1.000000,0.986762,0.802839,0.998928,0.607251,0.806841,1.000000,0.998994,1.000000,0.000000,0.000000,0.000000,0.000000,0.751908,0.560406,0.687759,0.975855,0.768987,0.951710,0.952669,0.975855
Qwen3-32B,0.159259,0.507099,0.274563,0.992161,0.998954,0.963003,0.652921,0.996849,0.961175,1.000000,0.994775,0.758836,0.512821,0.338863,0.872527,0.801303,0.998954,0.993644,0.753644,0.997831,0.541841,0.928945,1.000000,0.998955,1.000000,0.000000,0.000000,0.000000,0.000000,0.783282,0.573977,0.801724,0.996865,0.810307,0.960293,0.951933,0.978056
Qwen2.5-0.5B-Base,0.484756,0.727273,0.756014,0.986339,0.997561,0.656542,0.983796,1.000000,0.997685,1.000000,0.997685,0.810345,0.264706,0.928287,0.865103,0.950739,0.982500,0.984127,0.518841,0.294643,0.516854,0.974118,0.997664,1.000000,0.827907,0.000000,0.000000,0.000000,0.000000,0.743295,0.866822,0.939904,1.000000,0.898630,0.951276,0.995370,0.993056
Qwen2.5-1.5B-Base,0.843750,0.415094,0.452736,0.903780,0.965278,0.776812,0.956897,1.000000,1.000000,1.000000,1.000000,0.625000,0.590909,0.741573,0.732704,0.967949,0.947368,0.977987,0.485944,0.260000,0.677419,0.927746,0.930836,0.946903,0.902299,0.000000,0.000000,0.000000,0.000000,0.715356,0.744000,0.979381,0.916667,0.736655,0.691860,0.997118,0.985251
Qwen2.5-3B-Base,0.951515,0.234043,0.808424,0.861823,0.880982,0.675971,0.998788,1.000000,1.000000,1.000000,0.998788,0.588832,0.000000,0.791444,0.564854,0.966150,0.958537,0.980050,0.362683,0.053506,0.557039,0.990303,0.894545,0.916364,0.945455,0.000000,0.000000,0.000000,0.000000,0.703279,0.718137,0.961776,0.859223,0.908964,0.967193,0.998788,1.000000
Qwen2.5-7B-Base,0.839000,0.817326,0.860814,0.731707,0.816000,0.787575,0.972973,0.982000,0.981000,0.975000,0.974000,0.263514,0.000000,0.917949,0.835106,0.825946,0.878758,0.814629,0.427119,0.826331,0.335335,0.623000,0.759000,0.766000,0.899000,0.000000,0.000000,0.000000,0.000000,0.855728,0.536610,0.756501,0.733000,0.854497,0.923695,0.965000,0.980000
Qwen2.5-14B-Base,0.702982,0.356354,0.693168,0.764793,0.747642,0.672000,0.948630,0.953196,0.954338,0.952055,0.941781,0.571066,0.571429,0.545648,0.712859,0.753978,0.743649,0.738443,0.405722,0.332506,0.398857,0.736301,0.787671,0.820776,0.787671,0.000000,0.000000,0.000000,0.000000,0.570000,0.690173,0.755202,0.789233,0.722678,0.839041,0.931507,0.941781
Qwen2.5-32B-Base,0.649897,0.635048,0.663017,0.696839,0.727273,0.608384,0.962206,0.968335,0.972421,0.965271,0.940756,0.611732,0.375000,0.576696,0.672875,0.643177,0.698658,0.728507,0.428571,0.533602,0.369231,0.648621,0.735444,0.740552,0.750766,0.000000,0.000000,0.000000,0.000000,0.565152,0.653251,0.690350,0.717791,0.694976,0.775844,0.911134,0.942799
