solver,Qwen3-0.6B-Base,Qwen3-1.7B-Base,Qwen3-4B-Base,Qwen3-8B-Base,Qwen3-14B-Base,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen3-8B,Qwen3-14B,Qwen3-32B,Qwen2.5-0.5B-Base,Qwen2.5-1.5B-Base,Qwen2.5-3B-Base,Qwen2.5-7B-Base,Qwen2.5-14B-Base,Qwen2.5-32B-Base,Qwen2.5-72B-Base,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Qwen2.5-7B,Qwen2.5-14B,Qwen2.5-32B,Qwen2.5-72B,Llama3-1B-Base,Llama3-3B-Base,Llama3-8B-Base,Llama3-70B-Base,Llama3-1B,Llama3-3B,Llama3-8B,Llama3-70B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B,DeepSeek-32B
Qwen3-0.6B-Base,0.842160,0.711319,0.782970,0.812046,0.870197,0.848390,0.893043,0.881620,0.868120,0.912773,0.913811,0.679128,0.449637,0.769470,0.754933,0.836968,0.863967,0.746625,0.710280,0.672897,0.687435,0.780893,0.867082,0.900312,0.879543,0.393562,0.393562,0.393562,0.393562,0.568017,0.817238,0.815161,0.828660,0.757009,0.899273,0.881620,0.880582
Qwen3-1.7B-Base,0.814123,0.598131,0.616822,0.576324,0.638629,0.697819,0.856698,0.844237,0.815161,0.888889,0.882658,0.680166,0.262721,0.681205,0.579439,0.677051,0.685358,0.475597,0.638629,0.496366,0.416407,0.446521,0.663551,0.691589,0.726895,0.188993,0.188993,0.188993,0.188993,0.386293,0.696781,0.705088,0.689512,0.677051,0.886812,0.854621,0.852544
Qwen3-4B-Base,0.508827,0.553479,0.521288,0.598131,0.580478,0.677051,0.808930,0.805815,0.757009,0.855659,0.844237,0.406023,0.203531,0.524403,0.549325,0.626168,0.609553,0.477674,0.533749,0.578401,0.533749,0.463136,0.564901,0.599169,0.541018,0.148494,0.148494,0.148494,0.148494,0.331256,0.585670,0.613707,0.603323,0.626168,0.802700,0.824507,0.816199
Qwen3-8B-Base,0.701973,0.534787,0.661475,0.699896,0.724818,0.699896,0.833853,0.808930,0.793354,0.857736,0.859813,0.526480,0.239875,0.623053,0.609553,0.741433,0.742471,0.652129,0.529595,0.522326,0.510903,0.633437,0.712357,0.712357,0.706127,0.158879,0.158879,0.158879,0.158879,0.347871,0.657321,0.641745,0.660436,0.670820,0.830737,0.827622,0.842160
Qwen3-14B-Base,0.638629,0.506750,0.591900,0.642783,0.680166,0.695742,0.797508,0.807892,0.772586,0.856698,0.851506,0.443406,0.106957,0.538941,0.608515,0.706127,0.705088,0.557632,0.504673,0.502596,0.447560,0.528557,0.662513,0.654206,0.650052,0.072690,0.072690,0.072690,0.072690,0.203531,0.585670,0.541018,0.623053,0.608515,0.794393,0.800623,0.808930
Qwen3-0.6B,0.791277,0.781931,0.813084,0.850467,0.868120,0.840083,0.871236,0.875389,0.885774,0.895119,0.897196,0.765317,0.737279,0.814123,0.854621,0.827622,0.896158,0.879543,0.809969,0.868120,0.877466,0.880582,0.887850,0.887850,0.887850,0.706127,0.706127,0.706127,0.706127,0.733126,0.879543,0.887850,0.883697,0.830737,0.869159,0.884735,0.888889
Qwen3-1.7B,0.697819,0.659398,0.664590,0.815161,0.835929,0.884735,0.868120,0.963655,0.930426,0.975078,0.978193,0.704050,0.665628,0.674974,0.770509,0.665628,0.964694,0.957425,0.671859,0.925234,0.962617,0.968847,0.970924,0.977155,0.975078,0.629283,0.629283,0.629283,0.629283,0.666667,0.967809,0.939772,0.975078,0.817238,0.953271,0.970924,0.977155
Qwen3-4B,0.634476,0.582555,0.586708,0.806854,0.826584,0.865005,0.871236,0.976116,0.937695,0.988577,0.988577,0.650052,0.595016,0.607477,0.753894,0.598131,0.984424,0.971963,0.593977,0.916926,0.967809,0.986501,0.991693,0.989616,0.989616,0.558671,0.558671,0.558671,0.558671,0.601246,0.975078,0.961578,0.989616,0.815161,0.959502,0.985462,0.988577
Qwen3-8B,0.690550,0.633437,0.631360,0.827622,0.842160,0.882658,0.894081,0.974039,0.935618,0.990654,0.990654,0.693666,0.660436,0.669782,0.775701,0.640706,0.979232,0.985462,0.639668,0.920042,0.974039,0.990654,0.990654,0.991693,0.991693,0.607477,0.607477,0.607477,0.607477,0.664590,0.986501,0.973001,0.989616,0.819315,0.962617,0.989616,0.991693
Qwen3-14B,0.641745,0.576324,0.564901,0.812046,0.833853,0.871236,0.866044,0.974039,0.949117,0.990654,0.991693,0.650052,0.589823,0.598131,0.760125,0.590862,0.974039,0.973001,0.580478,0.917965,0.969886,0.987539,0.990654,0.991693,0.991693,0.544133,0.544133,0.544133,0.544133,0.618899,0.983385,0.957425,0.989616,0.773624,0.962617,0.987539,0.990654
Qwen3-32B,0.596054,0.539979,0.527518,0.782970,0.825545,0.872274,0.859813,0.974039,0.929387,0.993769,0.993769,0.614746,0.553479,0.573209,0.724818,0.557632,0.980270,0.985462,0.542056,0.906542,0.967809,0.989616,0.991693,0.992731,0.992731,0.499481,0.499481,0.499481,0.499481,0.564901,0.980270,0.967809,0.991693,0.777778,0.956386,0.992731,0.993769
Qwen2.5-0.5B-Base,0.890966,0.660436,0.792316,0.821391,0.931464,0.882658,0.947040,0.924195,0.906542,0.961578,0.940810,0.713396,0.233645,0.732087,0.633437,0.880582,0.940810,0.825545,0.681205,0.556594,0.483904,0.773624,0.913811,0.951194,0.936656,0.181724,0.181724,0.181724,0.181724,0.362409,0.796469,0.829699,0.916926,0.736241,0.934579,0.922118,0.923157
Qwen2.5-1.5B-Base,0.926272,0.863967,0.943925,0.936656,0.983385,0.955348,0.961578,0.947040,0.937695,0.960540,0.964694,0.840083,0.834891,0.904465,0.948079,0.962617,0.957425,0.959502,0.902388,0.936656,0.950156,0.969886,0.973001,0.980270,0.977155,0.790239,0.790239,0.790239,0.790239,0.861890,0.930426,0.935618,0.964694,0.928349,0.968847,0.962617,0.976116
Qwen2.5-3B-Base,0.829699,0.570093,0.616822,0.654206,0.725857,0.691589,0.866044,0.830737,0.788162,0.872274,0.862928,0.620976,0.153686,0.659398,0.531672,0.734164,0.764278,0.570093,0.600208,0.504673,0.330218,0.501558,0.681205,0.707165,0.726895,0.124611,0.124611,0.124611,0.124611,0.354102,0.654206,0.665628,0.673936,0.698858,0.857736,0.838006,0.841121
Qwen2.5-7B-Base,0.681205,0.555556,0.596054,0.547248,0.585670,0.691589,0.823468,0.796469,0.744548,0.839045,0.828660,0.543094,0.241952,0.585670,0.543094,0.646937,0.572170,0.435099,0.548287,0.508827,0.455867,0.467290,0.583593,0.569055,0.634476,0.158879,0.158879,0.158879,0.158879,0.339564,0.635514,0.633437,0.575286,0.635514,0.809969,0.807892,0.807892
Qwen2.5-14B-Base,0.767394,0.527518,0.611630,0.659398,0.751817,0.678089,0.830737,0.842160,0.800623,0.872274,0.849429,0.574247,0.123572,0.626168,0.601246,0.743510,0.798546,0.680166,0.541018,0.518172,0.391485,0.568017,0.688474,0.734164,0.735202,0.092420,0.092420,0.092420,0.092420,0.298027,0.669782,0.643821,0.703011,0.652129,0.814123,0.824507,0.827622
