solver,Qwen3-0.6B-Base,Qwen3-1.7B-Base,Qwen3-4B-Base,Qwen3-8B-Base,Qwen3-14B-Base,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen3-8B,Qwen3-14B,Qwen3-32B,Qwen2.5-0.5B-Base,Qwen2.5-1.5B-Base,Qwen2.5-3B-Base,Qwen2.5-7B-Base,Qwen2.5-14B-Base,Qwen2.5-32B-Base,Qwen2.5-72B-Base,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Qwen2.5-7B,Qwen2.5-14B,Qwen2.5-32B,Qwen2.5-72B,Llama3-1B-Base,Llama3-3B-Base,Llama3-8B-Base,Llama3-70B-Base,Llama3-1B,Llama3-3B,Llama3-8B,Llama3-70B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B,DeepSeek-32B
Qwen3-0.6B-Base,0.980344,0.975430,0.984439,0.977887,0.989353,0.983620,0.983620,0.992629,0.989353,0.990991,0.995086,0.974611,0.963964,0.973792,0.984439,0.973792,0.987715,0.986896,0.969697,0.974611,0.984439,0.989353,0.993448,0.990991,0.994267,0.963964,0.963964,0.963964,0.963964,0.966421,0.981163,0.984439,0.992629,0.978706,0.984439,0.992629,0.990991
Qwen3-1.7B-Base,0.996724,0.997543,0.995086,0.999181,0.998362,0.996724,0.998362,1.000000,1.000000,1.000000,1.000000,0.995086,0.994267,0.994267,0.995905,0.995905,0.998362,0.997543,0.993448,0.993448,0.998362,0.997543,0.998362,0.999181,0.999181,0.992629,0.992629,0.992629,0.992629,0.994267,0.996724,0.996724,0.999181,0.997543,0.995086,0.998362,0.999181
Qwen3-4B-Base,0.801802,0.774775,0.878788,0.879607,0.918100,0.898444,0.900082,0.931204,0.929566,0.936118,0.941032,0.785422,0.720721,0.766585,0.854218,0.797707,0.918100,0.876331,0.764947,0.818182,0.862408,0.917281,0.926290,0.921376,0.920557,0.720721,0.720721,0.720721,0.720721,0.745291,0.850942,0.869779,0.923833,0.898444,0.899263,0.914005,0.923833
Qwen3-8B-Base,0.825553,0.819001,0.916462,0.900901,0.932023,0.929566,0.938575,0.929566,0.936118,0.937756,0.948403,0.832924,0.766585,0.809173,0.894349,0.834562,0.927109,0.914005,0.806716,0.846847,0.923833,0.934480,0.936937,0.939394,0.945127,0.759214,0.759214,0.759214,0.759214,0.777232,0.862408,0.907453,0.944308,0.910729,0.941032,0.941032,0.942670
Qwen3-14B-Base,0.529894,0.559378,0.802621,0.823096,0.883702,0.881245,0.894349,0.893530,0.905815,0.896806,0.913186,0.564292,0.416871,0.502867,0.615889,0.542998,0.879607,0.846847,0.487305,0.634726,0.853399,0.890254,0.896806,0.893530,0.905815,0.416871,0.416871,0.416871,0.416871,0.453726,0.665029,0.759214,0.890254,0.812449,0.878788,0.899263,0.901720
Qwen3-0.6B,0.402129,0.267813,0.360360,0.310401,0.528256,0.557740,0.538084,0.495495,0.660115,0.705979,0.751843,0.237510,0.044226,0.385749,0.492219,0.430794,0.689599,0.658477,0.316134,0.504505,0.583129,0.636364,0.728092,0.775594,0.760033,0.032760,0.032760,0.032760,0.032760,0.066339,0.615070,0.614251,0.668305,0.519247,0.556921,0.646192,0.656839
Qwen3-1.7B,0.225225,0.146601,0.215397,0.154791,0.552007,0.702703,0.543817,0.473382,0.716626,0.738739,0.777232,0.141687,0.027846,0.271089,0.504505,0.312039,0.742015,0.733825,0.182637,0.513514,0.716626,0.738739,0.780508,0.778870,0.800164,0.023751,0.023751,0.023751,0.023751,0.056511,0.703522,0.729730,0.760852,0.576577,0.687142,0.749386,0.771499
Qwen3-4B,0.144963,0.085995,0.157248,0.095823,0.570844,0.714169,0.562654,0.467649,0.746929,0.773137,0.804259,0.082719,0.001638,0.230139,0.521704,0.273546,0.768223,0.747748,0.139230,0.515971,0.741196,0.779689,0.805897,0.808354,0.805078,0.000819,0.000819,0.000819,0.000819,0.051597,0.733006,0.774775,0.796888,0.578215,0.712531,0.781327,0.799345
Qwen3-8B,0.114660,0.088452,0.131040,0.102375,0.580672,0.743653,0.576577,0.477477,0.765766,0.742015,0.826372,0.082719,0.000000,0.228501,0.492219,0.289107,0.801802,0.778870,0.113022,0.524161,0.771499,0.806716,0.829648,0.830467,0.828829,0.000000,0.000000,0.000000,0.000000,0.052416,0.746929,0.774775,0.826372,0.579853,0.694513,0.802621,0.828010
Qwen3-14B,0.162981,0.102375,0.162981,0.131040,0.626536,0.754300,0.595414,0.469287,0.797707,0.796888,0.849304,0.111384,0.040950,0.236691,0.539722,0.282555,0.820639,0.807535,0.171990,0.550369,0.778051,0.814906,0.851761,0.846028,0.851761,0.040131,0.040131,0.040131,0.040131,0.094185,0.790336,0.792793,0.841933,0.609337,0.753481,0.817363,0.843571
Qwen3-32B,0.134316,0.083538,0.127764,0.113022,0.594595,0.747748,0.572482,0.470106,0.791974,0.773137,0.848485,0.086814,0.008190,0.207207,0.494676,0.264537,0.835381,0.814087,0.155610,0.520885,0.779689,0.815725,0.852580,0.850123,0.855037,0.007371,0.007371,0.007371,0.007371,0.059787,0.815725,0.791974,0.847666,0.584767,0.736282,0.824734,0.845209
Qwen2.5-0.5B-Base,0.998362,0.993448,0.998362,0.998362,1.000000,0.997543,1.000000,0.998362,0.998362,1.000000,1.000000,0.996724,0.992629,0.995086,0.996724,0.997543,0.998362,0.997543,0.994267,0.997543,0.995905,0.998362,1.000000,1.000000,0.999181,0.992629,0.992629,0.992629,0.992629,0.994267,0.996724,0.995905,1.000000,0.998362,0.996724,0.999181,0.999181
Qwen2.5-1.5B-Base,0.996724,0.994267,0.995905,0.995086,0.998362,0.995086,0.995905,0.997543,0.997543,0.998362,0.998362,0.995905,0.992629,0.994267,0.996724,0.995905,0.997543,0.997543,0.994267,0.994267,0.997543,0.997543,0.997543,0.998362,0.997543,0.992629,0.992629,0.992629,0.992629,0.993448,0.996724,0.995905,0.999181,0.994267,0.995086,0.996724,0.998362
Qwen2.5-3B-Base,0.968878,0.971335,0.982801,0.981982,0.987715,0.981163,0.982801,0.986896,0.987715,0.989353,0.989353,0.962326,0.951679,0.966421,0.975430,0.963964,0.983620,0.987715,0.959869,0.973792,0.981982,0.986077,0.988534,0.986896,0.985258,0.950041,0.950041,0.950041,0.950041,0.953317,0.980344,0.979525,0.983620,0.977068,0.980344,0.983620,0.986077
Qwen2.5-7B-Base,0.533170,0.509419,0.787060,0.773956,0.852580,0.841114,0.872236,0.863227,0.887797,0.883702,0.908272,0.479115,0.380835,0.488943,0.574120,0.505324,0.833743,0.788698,0.462735,0.660934,0.809992,0.856675,0.864046,0.870598,0.881245,0.372645,0.372645,0.372645,0.373464,0.410319,0.666667,0.736282,0.861589,0.770680,0.843571,0.861589,0.868141
Qwen2.5-14B-Base,0.850123,0.859132,0.933661,0.918100,0.954136,0.947584,0.956593,0.951679,0.956593,0.958231,0.962326,0.859951,0.801802,0.855856,0.891073,0.912367,0.933661,0.933661,0.858313,0.897625,0.935299,0.954955,0.950041,0.950860,0.960688,0.801802,0.801802,0.801802,0.801802,0.815725,0.861589,0.917281,0.959869,0.918100,0.950860,0.954136,0.957412
Qwen2.5-32B-Base,0.541360,0.581491,0.788698,0.743653,0.864865,0.860770,0.870598,0.847666,0.866503,0.878788,0.878788,0.542998,0.432432,0.571663,0.665029,0.628174,0.828010,0.805078,0.558559,0.715807,0.791974,0.841933,0.855037,0.854218,0.876331,0.420966,0.420966,0.420966,0.422604,0.449631,0.601147,0.738739,0.869779,0.778870,0.849304,0.867322,0.873874
Qwen2.5-72B-Base,0.632269,0.655201,0.862408,0.840295,0.916462,0.912367,0.919738,0.914824,0.927109,0.918919,0.931204,0.610975,0.538903,0.611794,0.690418,0.604423,0.900901,0.891892,0.589681,0.740377,0.888616,0.914824,0.914005,0.915643,0.929566,0.538084,0.538084,0.538084,0.538903,0.556921,0.765766,0.826372,0.925471,0.852580,0.915643,0.924652,0.923833
Qwen2.5-0.5B,0.868960,0.784603,0.859132,0.866503,0.906634,0.837019,0.903358,0.937756,0.945946,0.945946,0.957412,0.777232,0.670762,0.792793,0.857494,0.700246,0.890254,0.882883,0.751024,0.846847,0.832924,0.917281,0.927928,0.934480,0.934480,0.670762,0.670762,0.670762,0.670762,0.704341,0.874693,0.868960,0.934480,0.824734,0.874693,0.927928,0.927928
