solver,Qwen3-0.6B-Base,Qwen3-1.7B-Base,Qwen3-4B-Base,Qwen3-8B-Base,Qwen3-14B-Base,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen3-8B,Qwen3-14B,Qwen3-32B,Qwen2.5-0.5B-Base,Qwen2.5-1.5B-Base,Qwen2.5-3B-Base,Qwen2.5-7B-Base,Qwen2.5-14B-Base,Qwen2.5-32B-Base,Qwen2.5-72B-Base,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Qwen2.5-7B,Qwen2.5-14B,Qwen2.5-32B,Qwen2.5-72B,Llama3-1B-Base,Llama3-3B-Base,Llama3-8B-Base,Llama3-70B-Base,Llama3-1B,Llama3-3B,Llama3-8B,Llama3-70B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B,DeepSeek-32B
Qwen3-0.6B-Base,0.964646,0.838384,0.904040,0.929293,0.934343,0.873737,0.909091,0.924242,0.888889,0.939394,0.934343,0.777778,0.702020,0.853535,0.919192,0.924242,0.924242,0.898990,0.803030,0.909091,0.898990,0.919192,0.909091,0.944444,0.914141,0.696970,0.696970,0.696970,0.696970,0.772727,0.893939,0.863636,0.898990,0.838384,0.914141,0.944444,0.883838
Qwen3-1.7B-Base,0.964646,0.939394,0.939394,0.964646,0.989899,0.944444,0.949495,0.969697,0.969697,0.974747,0.969697,0.934343,0.863636,0.949495,0.964646,0.974747,0.979798,0.959596,0.924242,0.934343,0.944444,0.939394,0.964646,0.974747,0.954545,0.863636,0.863636,0.863636,0.863636,0.883838,0.979798,0.954545,0.969697,0.919192,0.984848,0.969697,0.979798
Qwen3-4B-Base,0.540404,0.606061,0.575758,0.636364,0.621212,0.621212,0.656566,0.691919,0.727273,0.792929,0.762626,0.489899,0.287879,0.540404,0.707071,0.696970,0.696970,0.616162,0.530303,0.656566,0.631313,0.570707,0.606061,0.636364,0.580808,0.272727,0.272727,0.272727,0.272727,0.454545,0.727273,0.727273,0.641414,0.606061,0.621212,0.752525,0.737374
Qwen3-8B-Base,0.904040,0.808081,0.808081,0.833333,0.898990,0.813131,0.833333,0.873737,0.863636,0.868687,0.863636,0.787879,0.631313,0.828283,0.828283,0.868687,0.853535,0.873737,0.767677,0.808081,0.818182,0.853535,0.823232,0.853535,0.823232,0.621212,0.621212,0.621212,0.621212,0.671717,0.883838,0.848485,0.823232,0.823232,0.823232,0.843434,0.838384
Qwen3-14B-Base,0.833333,0.525253,0.444444,0.479798,0.479798,0.489899,0.550505,0.656566,0.686869,0.686869,0.696970,0.469697,0.131313,0.570707,0.606061,0.606061,0.530303,0.454545,0.434343,0.520202,0.419192,0.474747,0.500000,0.545455,0.500000,0.131313,0.131313,0.131313,0.131313,0.333333,0.636364,0.661616,0.560606,0.454545,0.565657,0.636364,0.595960
Qwen3-0.6B,0.580808,0.590909,0.722222,0.646465,0.767677,0.530303,0.631313,0.565657,0.676768,0.641414,0.601010,0.378788,0.287879,0.712121,0.641414,0.737374,0.707071,0.626263,0.505051,0.636364,0.555556,0.666667,0.666667,0.661616,0.656566,0.282828,0.282828,0.282828,0.282828,0.318182,0.636364,0.671717,0.631313,0.606061,0.616162,0.651515,0.676768
Qwen3-1.7B,0.671717,0.691919,0.742424,0.722222,0.757576,0.797980,0.782828,0.813131,0.792929,0.818182,0.803030,0.641414,0.580808,0.767677,0.712121,0.752525,0.813131,0.803030,0.686869,0.813131,0.823232,0.813131,0.828283,0.823232,0.813131,0.580808,0.580808,0.580808,0.580808,0.585859,0.808081,0.813131,0.787879,0.772727,0.803030,0.813131,0.823232
Qwen3-4B,0.595960,0.611111,0.636364,0.646465,0.737374,0.828283,0.747475,0.833333,0.772727,0.843434,0.843434,0.575758,0.540404,0.666667,0.702020,0.676768,0.823232,0.863636,0.616162,0.833333,0.828283,0.838384,0.868687,0.853535,0.843434,0.520202,0.520202,0.520202,0.520202,0.555556,0.818182,0.838384,0.853535,0.767677,0.823232,0.838384,0.838384
Qwen3-8B,0.580808,0.580808,0.611111,0.590909,0.686869,0.808081,0.757576,0.853535,0.752525,0.883838,0.898990,0.590909,0.540404,0.641414,0.712121,0.616162,0.858586,0.888889,0.570707,0.813131,0.873737,0.888889,0.888889,0.898990,0.888889,0.520202,0.520202,0.520202,0.520202,0.555556,0.883838,0.888889,0.904040,0.762626,0.858586,0.904040,0.893939
Qwen3-14B,0.500000,0.540404,0.555556,0.590909,0.722222,0.762626,0.722222,0.813131,0.767677,0.883838,0.868687,0.530303,0.449495,0.570707,0.661616,0.560606,0.853535,0.848485,0.545455,0.762626,0.823232,0.843434,0.853535,0.863636,0.853535,0.434343,0.434343,0.434343,0.434343,0.474747,0.823232,0.797980,0.878788,0.696970,0.797980,0.858586,0.858586
Qwen3-32B,0.489899,0.500000,0.500000,0.525253,0.732323,0.767677,0.691919,0.782828,0.757576,0.868687,0.883838,0.484848,0.434343,0.565657,0.631313,0.560606,0.858586,0.863636,0.489899,0.767677,0.838384,0.823232,0.863636,0.873737,0.873737,0.409091,0.409091,0.409091,0.409091,0.459596,0.803030,0.848485,0.873737,0.696970,0.828283,0.863636,0.883838
Qwen2.5-0.5B-Base,0.984848,0.954545,0.969697,0.974747,0.979798,0.989899,0.994949,1.000000,0.984848,0.989899,0.989899,0.969697,0.919192,0.949495,0.959596,0.964646,0.974747,0.984848,0.959596,0.954545,0.984848,0.974747,0.979798,0.984848,0.979798,0.919192,0.919192,0.919192,0.919192,0.919192,0.974747,0.969697,0.984848,0.974747,0.989899,0.994949,0.984848
Qwen2.5-1.5B-Base,0.969697,0.964646,0.994949,0.979798,0.984848,0.969697,0.989899,0.989899,1.000000,0.994949,1.000000,0.964646,0.939394,0.964646,0.969697,0.969697,0.994949,0.984848,0.959596,0.974747,0.984848,0.979798,0.984848,0.989899,0.994949,0.934343,0.934343,0.934343,0.934343,0.949495,0.974747,0.974747,0.984848,0.974747,0.994949,0.989899,0.994949
Qwen2.5-3B-Base,0.898990,0.762626,0.747475,0.777778,0.808081,0.757576,0.808081,0.888889,0.893939,0.919192,0.883838,0.722222,0.570707,0.838384,0.813131,0.873737,0.893939,0.813131,0.752525,0.808081,0.707071,0.808081,0.808081,0.873737,0.853535,0.570707,0.570707,0.570707,0.570707,0.646465,0.883838,0.848485,0.838384,0.777778,0.843434,0.914141,0.878788
Qwen2.5-7B-Base,0.909091,0.898990,0.838384,0.838384,0.853535,0.848485,0.853535,0.909091,0.929293,0.914141,0.929293,0.833333,0.737374,0.919192,0.878788,0.893939,0.878788,0.873737,0.828283,0.863636,0.848485,0.843434,0.843434,0.878788,0.873737,0.717172,0.717172,0.717172,0.717172,0.777778,0.949495,0.888889,0.878788,0.848485,0.914141,0.888889,0.909091
Qwen2.5-14B-Base,0.868687,0.626263,0.666667,0.757576,0.772727,0.691919,0.742424,0.833333,0.797980,0.833333,0.813131,0.585859,0.353535,0.621212,0.661616,0.762626,0.808081,0.777778,0.565657,0.702020,0.616162,0.712121,0.742424,0.767677,0.792929,0.338384,0.338384,0.338384,0.338384,0.489899,0.797980,0.737374,0.727273,0.616162,0.772727,0.782828,0.803030
Qwen2.5-32B-Base,0.813131,0.555556,0.515152,0.626263,0.656566,0.621212,0.641414,0.727273,0.686869,0.772727,0.696970,0.484848,0.217172,0.611111,0.671717,0.666667,0.686869,0.641414,0.474747,0.565657,0.565657,0.656566,0.661616,0.616162,0.661616,0.202020,0.202020,0.202020,0.207071,0.353535,0.767677,0.676768,0.626263,0.575758,0.681818,0.757576,0.671717
Qwen2.5-72B-Base,0.823232,0.535354,0.515152,0.545455,0.575758,0.500000,0.641414,0.747475,0.712121,0.772727,0.727273,0.454545,0.146465,0.550505,0.611111,0.651515,0.651515,0.500000,0.489899,0.520202,0.398990,0.515152,0.515152,0.540404,0.484848,0.141414,0.141414,0.141414,0.141414,0.287879,0.727273,0.691919,0.585859,0.510101,0.666667,0.666667,0.691919
Qwen2.5-0.5B,0.914141,0.671717,0.803030,0.833333,0.898990,0.772727,0.868687,0.888889,0.873737,0.909091,0.888889,0.661616,0.373737,0.752525,0.823232,0.883838,0.924242,0.883838,0.671717,0.722222,0.676768,0.843434,0.883838,0.914141,0.883838,0.368687,0.368687,0.368687,0.368687,0.459596,0.858586,0.848485,0.873737,0.707071,0.898990,0.868687,0.863636
Qwen2.5-1.5B,0.838384,0.560606,0.636364,0.641414,0.732323,0.585859,0.702020,0.813131,0.823232,0.848485,0.843434,0.489899,0.131313,0.606061,0.702020,0.722222,0.833333,0.732323,0.505051,0.575758,0.520202,0.661616,0.757576,0.797980,0.787879,0.131313,0.131313,0.131313,0.131313,0.272727,0.767677,0.757576,0.747475,0.590909,0.797980,0.823232,0.787879
