solver,Qwen3-0.6B-Base,Qwen3-1.7B-Base,Qwen3-4B-Base,Qwen3-8B-Base,Qwen3-14B-Base,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen3-8B,Qwen3-14B,Qwen3-32B,Qwen2.5-0.5B-Base,Qwen2.5-1.5B-Base,Qwen2.5-3B-Base,Qwen2.5-7B-Base,Qwen2.5-14B-Base,Qwen2.5-32B-Base,Qwen2.5-72B-Base,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Qwen2.5-7B,Qwen2.5-14B,Qwen2.5-32B,Qwen2.5-72B,Llama3-1B-Base,Llama3-3B-Base,Llama3-8B-Base,Llama3-70B-Base,Llama3-1B,Llama3-3B,Llama3-8B,Llama3-70B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B,DeepSeek-32B
Qwen3-0.6B-Base,0.851403,0.806672,0.883245,0.888552,0.915845,0.921911,0.931766,0.934041,0.945413,0.940106,0.944655,0.804397,0.720243,0.817286,0.868082,0.870356,0.914329,0.910538,0.793783,0.845337,0.906748,0.912055,0.924185,0.931766,0.929492,0.705838,0.705838,0.705838,0.705838,0.741471,0.849886,0.877180,0.928734,0.904473,0.921911,0.937074,0.943897
Qwen3-1.7B-Base,0.639121,0.758150,0.915087,0.899166,0.934041,0.934041,0.951478,0.974223,0.981046,0.982563,0.986353,0.616376,0.526914,0.789992,0.791509,0.907506,0.942381,0.933283,0.738438,0.869598,0.923427,0.929492,0.957544,0.956027,0.965125,0.523124,0.523124,0.523124,0.523124,0.569371,0.735406,0.808946,0.965883,0.940864,0.965883,0.976497,0.976497
Qwen3-4B-Base,0.549659,0.541319,0.821835,0.828658,0.876422,0.911296,0.929492,0.961334,0.956785,0.962092,0.965883,0.239575,0.166793,0.308567,0.589083,0.652009,0.915087,0.919636,0.311600,0.733131,0.855193,0.918120,0.929492,0.943139,0.921911,0.152388,0.152388,0.152388,0.152388,0.242608,0.605762,0.649735,0.935557,0.908264,0.941622,0.949204,0.954511
Qwen3-8B-Base,0.350265,0.600455,0.851403,0.855951,0.905231,0.915087,0.932525,0.947688,0.952237,0.956027,0.958302,0.347233,0.228203,0.578469,0.686884,0.862017,0.918878,0.925701,0.458681,0.813495,0.914329,0.924943,0.939348,0.934799,0.939348,0.212282,0.212282,0.212282,0.212282,0.321456,0.522365,0.635330,0.923427,0.909780,0.934041,0.944655,0.954511
Qwen3-14B-Base,0.185747,0.544352,0.893859,0.841547,0.906748,0.924943,0.931766,0.956027,0.949962,0.959060,0.959060,0.207733,0.078089,0.573161,0.665656,0.855193,0.926459,0.928734,0.440485,0.832449,0.924185,0.932525,0.934799,0.941622,0.946171,0.059894,0.059894,0.059894,0.059894,0.160728,0.474602,0.594390,0.925701,0.899166,0.940864,0.954511,0.953753
Qwen3-0.6B,0.250190,0.184989,0.170584,0.276725,0.495830,0.774071,0.681577,0.632297,0.752843,0.847612,0.858226,0.207733,0.041698,0.418499,0.631539,0.679303,0.829416,0.799090,0.267627,0.694466,0.824109,0.824867,0.832449,0.840030,0.871114,0.023503,0.024261,0.023503,0.023503,0.285823,0.790751,0.788476,0.838514,0.686126,0.667930,0.865049,0.868840
Qwen3-1.7B,0.129644,0.115997,0.073541,0.166793,0.394238,0.889310,0.746020,0.639879,0.717210,0.917362,0.927976,0.222896,0.021228,0.335102,0.609553,0.735406,0.915087,0.895375,0.210008,0.799848,0.911296,0.921152,0.922669,0.924943,0.928734,0.012889,0.012889,0.012889,0.012889,0.329037,0.893859,0.881729,0.924943,0.711145,0.647460,0.920394,0.931766
Qwen3-4B,0.119788,0.121304,0.055345,0.146323,0.429871,0.915845,0.755876,0.643669,0.740713,0.943897,0.955269,0.225929,0.025777,0.343442,0.631539,0.761941,0.949962,0.937074,0.195603,0.822593,0.940864,0.952237,0.954511,0.954511,0.953753,0.009098,0.009098,0.009098,0.009098,0.278999,0.919636,0.907506,0.953753,0.711145,0.664139,0.948446,0.954511
Qwen3-8B,0.108415,0.097043,0.048522,0.161486,0.391964,0.927218,0.746778,0.653525,0.733889,0.951478,0.962851,0.238059,0.029568,0.343442,0.664139,0.722517,0.959818,0.943897,0.130402,0.839272,0.946171,0.961334,0.960576,0.960576,0.963609,0.012889,0.012889,0.012889,0.012889,0.328279,0.911296,0.925701,0.961334,0.719484,0.688400,0.954511,0.961334
Qwen3-14B,0.138741,0.073541,0.043215,0.236543,0.445792,0.924185,0.777862,0.664898,0.754359,0.956785,0.963609,0.186505,0.015921,0.375284,0.649735,0.776346,0.949962,0.943897,0.211524,0.825625,0.953753,0.962851,0.962092,0.964367,0.962092,0.006065,0.006065,0.006065,0.006065,0.308567,0.923427,0.928734,0.965125,0.742229,0.710387,0.957544,0.963609
