solver,Qwen3-0.6B-Base,Qwen3-1.7B-Base,Qwen3-4B-Base,Qwen3-8B-Base,Qwen3-14B-Base,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen3-8B,Qwen3-14B,Qwen3-32B,Qwen2.5-0.5B-Base,Qwen2.5-1.5B-Base,Qwen2.5-3B-Base,Qwen2.5-7B-Base,Qwen2.5-14B-Base,Qwen2.5-32B-Base,Qwen2.5-72B-Base,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Qwen2.5-7B,Qwen2.5-14B,Qwen2.5-32B,Qwen2.5-72B,Llama3-1B-Base,Llama3-3B-Base,Llama3-8B-Base,Llama3-70B-Base,Llama3-1B,Llama3-3B,Llama3-8B,Llama3-70B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B,DeepSeek-32B
Qwen3-0.6B-Base,0.827922,0.782468,0.870130,0.844156,0.925325,0.876623,0.909091,0.951299,0.964286,0.970779,0.980519,0.762987,0.678571,0.798701,0.827922,0.801948,0.899351,0.935065,0.727273,0.798701,0.883117,0.886364,0.938312,0.944805,0.964286,0.678571,0.678571,0.678571,0.678571,0.714286,0.827922,0.876623,0.957792,0.840909,0.896104,0.951299,0.941558
Qwen3-1.7B-Base,0.974026,0.967532,0.974026,0.974026,0.980519,0.967532,0.983766,0.990260,0.980519,0.993506,0.987013,0.970779,0.954545,0.974026,0.977273,0.964286,0.983766,0.987013,0.964286,0.977273,0.977273,0.980519,0.987013,0.987013,0.990260,0.954545,0.954545,0.954545,0.954545,0.964286,0.967532,0.974026,0.990260,0.977273,0.970779,0.987013,0.983766
Qwen3-4B-Base,0.568182,0.568182,0.707792,0.737013,0.860390,0.759740,0.766234,0.883117,0.876623,0.909091,0.918831,0.493506,0.392857,0.548701,0.711039,0.616883,0.831169,0.818182,0.519481,0.616883,0.730519,0.827922,0.870130,0.850649,0.844156,0.379870,0.379870,0.379870,0.379870,0.467532,0.665584,0.707792,0.870130,0.756494,0.844156,0.860390,0.857143
Qwen3-8B-Base,0.720779,0.743506,0.847403,0.837662,0.902597,0.863636,0.892857,0.892857,0.909091,0.909091,0.931818,0.714286,0.603896,0.707792,0.837662,0.769481,0.899351,0.876623,0.694805,0.798701,0.860390,0.892857,0.912338,0.925325,0.909091,0.597403,0.597403,0.597403,0.597403,0.636364,0.759740,0.824675,0.918831,0.834416,0.909091,0.909091,0.912338
Qwen3-14B-Base,0.295455,0.464286,0.818182,0.785714,0.850649,0.814935,0.831169,0.863636,0.863636,0.863636,0.879870,0.340909,0.123377,0.344156,0.590909,0.357143,0.837662,0.785714,0.305195,0.500000,0.814935,0.873377,0.876623,0.857143,0.866883,0.123377,0.123377,0.123377,0.123377,0.172078,0.571429,0.642857,0.844156,0.733766,0.840909,0.853896,0.857143
Qwen3-0.6B,0.402597,0.272727,0.386364,0.357143,0.532468,0.561688,0.516234,0.525974,0.613636,0.730519,0.733766,0.194805,0.061688,0.422078,0.529221,0.493506,0.662338,0.655844,0.308442,0.519481,0.603896,0.659091,0.701299,0.753247,0.766234,0.048701,0.048701,0.048701,0.048701,0.107143,0.613636,0.603896,0.704545,0.496753,0.610390,0.652597,0.711039
Qwen3-1.7B,0.152597,0.159091,0.181818,0.146104,0.522727,0.636364,0.574675,0.542208,0.577922,0.762987,0.766234,0.110390,0.012987,0.292208,0.506494,0.347403,0.746753,0.746753,0.204545,0.474026,0.711039,0.750000,0.769481,0.805195,0.801948,0.009740,0.009740,0.009740,0.009740,0.045455,0.720779,0.724026,0.775974,0.503247,0.688312,0.756494,0.788961
Qwen3-4B,0.139610,0.107143,0.133117,0.129870,0.545455,0.691558,0.636364,0.584416,0.571429,0.779221,0.860390,0.087662,0.009740,0.259740,0.493506,0.344156,0.873377,0.827922,0.214286,0.568182,0.798701,0.827922,0.860390,0.866883,0.863636,0.009740,0.009740,0.009740,0.009740,0.071429,0.821429,0.827922,0.866883,0.512987,0.775974,0.863636,0.857143
Qwen3-8B,0.084416,0.094156,0.120130,0.084416,0.581169,0.724026,0.555195,0.548701,0.685065,0.772727,0.896104,0.084416,0.009740,0.230519,0.444805,0.272727,0.857143,0.866883,0.175325,0.490260,0.827922,0.847403,0.896104,0.902597,0.896104,0.009740,0.009740,0.009740,0.009740,0.058442,0.824675,0.831169,0.896104,0.535714,0.740260,0.889610,0.892857
Qwen3-14B,0.146104,0.077922,0.123377,0.113636,0.613636,0.782468,0.655844,0.639610,0.613636,0.818182,0.905844,0.064935,0.019481,0.256494,0.441558,0.340909,0.870130,0.863636,0.191558,0.506494,0.827922,0.818182,0.899351,0.905844,0.912338,0.016234,0.016234,0.016234,0.016234,0.081169,0.827922,0.853896,0.902597,0.633117,0.792208,0.879870,0.899351
